START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: PG1R
CLUB:  
CONTEST: EA-RTTY
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 23124
OPERATORS: PG1R
NAME: Ruud Ivens
CREATED-BY: N1MM Logger+ 1.0.7147.0
SOAPBOX: TS590S, barefoot, output on average 20Watts.
SOAPBOX: Ouput reduced because of interference on the local telephone lines.
SOAPBOX: Hopefully this problem will be solved in a few weeks.
SOAPBOX: Antenna horizontal multiband dipole for 15, 20, 40 & 80M bands.
QSO: 14110 RY 2018-04-07 1657 PG1R          599 0001   RA3MBC        599 0041     
QSO: 14101 RY 2018-04-07 1714 PG1R          599 0002   EA7KE         599 SE       
QSO: 14100 RY 2018-04-07 1716 PG1R          599 0003   IT9PZM        599 0067     
QSO: 14099 RY 2018-04-07 1718 PG1R          599 0004   R7AB          599 0083     
QSO: 14098 RY 2018-04-07 1719 PG1R          599 0005   EA7ZY         599 H        
QSO: 14096 RY 2018-04-07 1721 PG1R          599 0006   EA7JOY        599 SE       
QSO: 14094 RY 2018-04-07 1728 PG1R          599 0007   N2MM          599 0030     
QSO: 14091 RY 2018-04-07 1733 PG1R          599 0008   NE3H          599 0008     
QSO: 14089 RY 2018-04-07 1736 PG1R          599 0009   YO4FPF        599 0069     
QSO: 14089 RY 2018-04-07 1740 PG1R          599 0010   CT7AJL        599 0095     
QSO: 14088 RY 2018-04-07 1741 PG1R          599 0011   EF1Z          599 CA       
QSO: 14087 RY 2018-04-07 1747 PG1R          599 0012   ED9E          599 CE       
QSO: 14085 RY 2018-04-07 1753 PG1R          599 0013   UA6CE         599 0085     
QSO: 14084 RY 2018-04-07 1758 PG1R          599 0014   EA7HAB        599 GR       
QSO: 14083 RY 2018-04-07 1759 PG1R          599 0015   UW1M          599 0186     
QSO: 14082 RY 2018-04-07 1803 PG1R          599 0016   EA7AZA        599 CA       
QSO: 14082 RY 2018-04-07 1806 PG1R          599 0017   EA5EN         599 MU       
QSO: 14081 RY 2018-04-07 1808 PG1R          599 0018   EC7AT         599 AL       
QSO:  7061 RY 2018-04-07 1812 PG1R          599 0019   IK1RGK        599 0040     
QSO:  7061 RY 2018-04-07 1814 PG1R          599 0020   LZ5XQ         599 0081     
QSO:  7059 RY 2018-04-07 1816 PG1R          599 0021   EE7Y          599 H        
QSO:  7058 RY 2018-04-07 1822 PG1R          599 0022   OH3P          599 0053     
QSO:  7055 RY 2018-04-07 1830 PG1R          599 0023   LA4C          599 0046     
QSO:  7054 RY 2018-04-07 1836 PG1R          599 0024   US7KC         599 0086     
QSO:  7053 RY 2018-04-07 1841 PG1R          599 0025   RG5R          599 0086     
QSO:  7052 RY 2018-04-07 1843 PG1R          599 0026   UT5EPP        599 0116     
QSO:  7049 RY 2018-04-07 1856 PG1R          599 0027   IW1CBG        599 0052     
QSO:  7046 RY 2018-04-07 1901 PG1R          599 0028   EA7KE         599 SE       
QSO:  7046 RY 2018-04-07 1902 PG1R          599 0029   UZ4E          599 0096     
QSO:  7045 RY 2018-04-07 1903 PG1R          599 0030   S58K          599 0253     
QSO:  7044 RY 2018-04-07 1904 PG1R          599 0031   9A1RBZ        599 0150     
QSO:  7043 RY 2018-04-07 1906 PG1R          599 0032   R3GZ          599 0102     
QSO:  7043 RY 2018-04-07 1909 PG1R          599 0033   YU7RIM        599 0016     
QSO:  7071 RY 2018-04-07 2018 PG1R          599 0034   LB2WG         599 0043     
QSO:  7068 RY 2018-04-07 2022 PG1R          599 0035   YO9HP         599 0179     
QSO:  7066 RY 2018-04-07 2025 PG1R          599 0036   ED4T          599 TO       
QSO:  7065 RY 2018-04-07 2026 PG1R          599 0037   OH5Z          599 0021     
QSO:  7065 RY 2018-04-07 2029 PG1R          599 0038   S57AM         599 0124     
QSO:  7064 RY 2018-04-07 2030 PG1R          599 0039   OH2HAN        599 0242     
QSO:  7063 RY 2018-04-07 2031 PG1R          599 0040   MM3AWD        599 0098     
QSO:  7062 RY 2018-04-07 2033 PG1R          599 0041   OH2PM         599 0194     
QSO:  7061 RY 2018-04-07 2036 PG1R          599 0042   IW2HUS        599 0090     
QSO:  7061 RY 2018-04-07 2038 PG1R          599 0043   IK8UND        599 0137     
QSO:  7060 RY 2018-04-07 2040 PG1R          599 0044   OK2HBR        599 0075     
QSO:  7059 RY 2018-04-07 2041 PG1R          599 0045   YO4NF         599 0129     
QSO:  7057 RY 2018-04-07 2047 PG1R          599 0046   RF9C          599 0150     
QSO:  7056 RY 2018-04-07 2052 PG1R          599 0047   IW2MXY        599 0091     
QSO:  7056 RY 2018-04-07 2054 PG1R          599 0048   OH2NT         599 0063     
QSO:  7054 RY 2018-04-07 2056 PG1R          599 0049   IK3TPP        599 0063     
QSO:  7051 RY 2018-04-07 2100 PG1R          599 0050   EA5KO         599 V        
QSO:  7050 RY 2018-04-07 2101 PG1R          599 0051   C31MF         599 0100     
QSO:  7049 RY 2018-04-07 2104 PG1R          599 0052   EA2XR         599 BI       
QSO:  7047 RY 2018-04-07 2108 PG1R          599 0053   EA4GOY        599 TO       
QSO:  7046 RY 2018-04-07 2115 PG1R          599 0054   EF1A          599 C        
QSO:  7043 RY 2018-04-07 2121 PG1R          599 0055   9A7B          599 0144     
QSO:  7043 RY 2018-04-07 2122 PG1R          599 0056   EA1PH         599 OU       
QSO:  7041 RY 2018-04-07 2127 PG1R          599 0057   EB3CW         599 B        
QSO:  7041 RY 2018-04-07 2129 PG1R          599 0058   CT7AJL        599 0250     
QSO:  3598 RY 2018-04-07 2147 PG1R          599 0059   OZ2TF         599 0166     
QSO:  3597 RY 2018-04-07 2151 PG1R          599 0060   I1JTQ         599 0135     
QSO:  3596 RY 2018-04-07 2156 PG1R          599 0061   SP3MEO        599 0088     
QSO:  3595 RY 2018-04-07 2159 PG1R          599 0062   EA4URE        599 HQ       
QSO:  3594 RY 2018-04-07 2201 PG1R          599 0063   PE1FTV        599 0090     
QSO:  3593 RY 2018-04-07 2203 PG1R          599 0064   DL8ZU         599 0063     
QSO:  3593 RY 2018-04-07 2205 PG1R          599 0065   US1VS         599 0095     
QSO:  3592 RY 2018-04-07 2206 PG1R          599 0066   5P9X          599 0099     
QSO:  3589 RY 2018-04-07 2211 PG1R          599 0067   9A1RBZ        599 0172     
QSO:  3589 RY 2018-04-07 2212 PG1R          599 0068   UX7QV         599 0145     
QSO:  3588 RY 2018-04-07 2213 PG1R          599 0069   EA1AKS        599 S        
QSO:  3586 RY 2018-04-07 2216 PG1R          599 0070   S57SWR        599 0094     
QSO:  3585 RY 2018-04-07 2216 PG1R          599 0071   EF1A          599 C        
QSO:  3585 RY 2018-04-07 2218 PG1R          599 0072   YU7KMN        599 0158     
QSO:  3584 RY 2018-04-07 2221 PG1R          599 0073   LB1AH         599 0229     
QSO:  3583 RY 2018-04-07 2222 PG1R          599 0074   DL1RI         599 0054     
QSO:  3582 RY 2018-04-07 2225 PG1R          599 0075   DL5RK         599 0021     
QSO:  3581 RY 2018-04-07 2226 PG1R          599 0076   F5BEG         599 0158     
QSO:  3581 RY 2018-04-07 2228 PG1R          599 0077   S58K          599 0449     
QSO:  3580 RY 2018-04-07 2229 PG1R          599 0078   I5MXX         599 0127     
QSO:  3580 RY 2018-04-07 2230 PG1R          599 0079   OH9UFO        599 0052     
QSO:  3578 RY 2018-04-07 2231 PG1R          599 0080   I2BZN         599 0102     
QSO:  3577 RY 2018-04-07 2233 PG1R          599 0081   EA1MV         599 LU       
QSO:  3577 RY 2018-04-07 2233 PG1R          599 0082   EB3CW         599 B        
QSO: 14111 RY 2018-04-08 0945 PG1R          599 0083   OH8WR         599 0126     
QSO: 14112 RY 2018-04-08 0946 PG1R          599 0084   PA1LIO        599 0122     
QSO: 14110 RY 2018-04-08 0947 PG1R          599 0085   OH7MJU        599 0184     
QSO: 14109 RY 2018-04-08 0951 PG1R          599 0086   OH8WW         599 0468     
QSO: 14106 RY 2018-04-08 0956 PG1R          599 0087   RW4NN         599 0169     
QSO: 14105 RY 2018-04-08 1000 PG1R          599 0088   EA4BAS        599 M        
QSO: 14105 RY 2018-04-08 1001 PG1R          599 0089   R3PV          599 0070     
QSO: 14103 RY 2018-04-08 1005 PG1R          599 0090   R3LC          599 0052     
QSO: 14102 RY 2018-04-08 1011 PG1R          599 0091   UR2Y          599 0242     
QSO: 14100 RY 2018-04-08 1017 PG1R          599 0092   EB2RA         599 HU       
QSO: 14098 RY 2018-04-08 1020 PG1R          599 0093   9A1RBZ        599 0413     
QSO: 14098 RY 2018-04-08 1021 PG1R          599 0094   RA3MBC        599 0179     
