START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: DJ3GE
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 1000
CREATED-BY: UcxLog 7.83
OPERATORS: DJ3GE
NAME: Ferdinand Dahl
SOAPBOX: QRP 5 Watt from FT817 via tuner Z11 t0 2 Ele Mini-Yagi MFB23
SOAPBOX: 11m high and off-center-fed diplole FD3 21m long 8m high
QSO: 14000 RY 2018-04-07 1819 DJ3GE         599 001    EF5Y          599 A
QSO:  7000 RY 2018-04-07 1848 DJ3GE         599 002    RG9A          599 187
QSO:  7000 RY 2018-04-07 1856 DJ3GE         599 003    EE1I          599 LE
QSO:  7000 RY 2018-04-07 1902 DJ3GE         599 004    9A2EU         599 053
QSO:  7000 RY 2018-04-07 1959 DJ3GE         599 005    LB1AH         599 123
QSO:  7000 RY 2018-04-07 2017 DJ3GE         599 006    G8APB         599 184
QSO:  7000 RY 2018-04-07 2021 DJ3GE         599 007    9A1RBZ        599 187
QSO: 14000 RY 2018-04-08 0713 DJ3GE         599 008    RA4HL         599 273
QSO: 14000 RY 2018-04-08 0715 DJ3GE         599 009    EM2G          599 287
QSO: 14000 RY 2018-04-08 0726 DJ3GE         599 010    RG4A          599 292
QSO: 14000 RY 2018-04-08 0736 DJ3GE         599 011    UW1M          599 637
QSO:  7000 RY 2018-04-08 0747 DJ3GE         599 012    IK2SBB        599 246
QSO:  7000 RY 2018-04-08 0749 DJ3GE         599 013    EA5EN         599 MU
QSO: 14000 RY 2018-04-08 0815 DJ3GE         599 014    EF1Z          599 CA
QSO: 14000 RY 2018-04-08 1041 DJ3GE         599 015    EF5T          599 MU
QSO: 14000 RY 2018-04-08 1045 DJ3GE         599 016    TA4A          599 070
QSO: 14000 RY 2018-04-08 1047 DJ3GE         599 017    R7AB          599 411
QSO: 14000 RY 2018-04-08 1057 DJ3GE         599 018    EE2W          599 BI
QSO: 14000 RY 2018-04-08 1108 DJ3GE         599 019    EA4BAS        599 M
QSO: 14000 RY 2018-04-08 1112 DJ3GE         599 020    RA3MBC        599 194
QSO: 14000 RY 2018-04-08 1113 DJ3GE         599 021    UT5EPP        599 509
QSO: 14000 RY 2018-04-08 1316 DJ3GE         599 022    EC5AC         599 A
QSO: 14000 RY 2018-04-08 1320 DJ3GE         599 023    EA7ZY         599 H
QSO:  7000 RY 2018-04-08 1332 DJ3GE         599 024    IK5TBI        599 060
QSO:  7000 RY 2018-04-08 1336 DJ3GE         599 025    OK2HBR        599 268
QSO:  7000 RY 2018-04-08 1340 DJ3GE         599 026    LA4C          599 163
QSO:  7000 RY 2018-04-08 1345 DJ3GE         599 027    OZ11A         599 503
QSO: 14000 RY 2018-04-08 1352 DJ3GE         599 028    UA6CE         599 661
QSO: 14000 RY 2018-04-08 1356 DJ3GE         599 029    UX7QV         599 386
QSO: 14000 RY 2018-04-08 1504 DJ3GE         599 030    EM0I          599 927
QSO:  7000 RY 2018-04-08 1530 DJ3GE         599 031    IK1UGX        599 046
QSO:  7000 RY 2018-04-08 1537 DJ3GE         599 032    I3PXN         599 276
END-OF-LOG:
