START-OF-LOG: 2.0
CONTEST: EA-RTTY
CALLSIGN: JA1HFY
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 750
OPERATORS: JA1HFY
CLUB: RTTY  Contest Of JAPAN
NAME: Eiichi Miyauchi
SOAPBOX: This contest was in good condition,
SOAPBOX: so that I could enjoy the wonderful contest.
CREATED-BY: Radio Teletype Contest Log and RTCL print by JK1IQK
QSO: 14000 RY 2018-04-07 2352 JA1HFY        599 002    DU3LA         599 477    
QSO: 14000 RY 2018-04-08 0002 JA1HFY        599 002    YB1BML        599 024    
QSO: 14000 RY 2018-04-08 0003 JA1HFY        599 003    W7CT          599 082    
QSO: 14000 RY 2018-04-08 0007 JA1HFY        599 004    RN0D          599 046    
QSO: 14000 RY 2018-04-08 0010 JA1HFY        599 005    7N2UQC        599 022    
QSO: 14000 RY 2018-04-08 0012 JA1HFY        599 006    RZ9UO         599 006    
QSO: 14000 RY 2018-04-08 0030 JA1HFY        599 007    NG7M          599 058    
QSO: 14000 RY 2018-04-08 0054 JA1HFY        599 008    YB1HDR        599 013    
QSO: 14000 RY 2018-04-08 0115 JA1HFY        599 009    R0CM          599 018    
QSO: 14000 RY 2018-04-08 0130 JA1HFY        599 010    RK9AX         599 233    
QSO: 14000 RY 2018-04-08 0147 JA1HFY        599 011    UA0ZK         599 081    
QSO: 21000 RY 2018-04-08 0151 JA1HFY        599 012    DU3LA         599 057    
QSO: 14000 RY 2018-04-08 0225 JA1HFY        599 013    N8OO/5        599 362    
QSO: 14000 RY 2018-04-08 0512 JA1HFY        599 014    9A1RBZ        599 279    
QSO: 14000 RY 2018-04-08 0518 JA1HFY        599 015    UW1M          599 590    
QSO: 14000 RY 2018-04-08 0522 JA1HFY        599 016    EM0I          599 516    
QSO: 14000 RY 2018-04-08 0531 JA1HFY        599 017    YL2CI         599 142    
QSO: 14000 RY 2018-04-08 0549 JA1HFY        599 018    9U1RBZ        599 288    
QSO: 14000 RY 2018-04-08 0552 JA1HFY        599 019    JA1SCE        599 015    
QSO: 14000 RY 2018-04-08 0746 JA1HFY        599 020    BU2EC         599 012    
QSO: 14000 RY 2018-04-08 0749 JA1HFY        599 021    OH8WW         599 346    
QSO: 21000 RY 2018-04-08 0800 JA1HFY        599 022    YB9GWR        599 027    
QSO: 21000 RY 2018-04-08 0803 JA1HFY        599 023    YB7SKM        599 017    
QSO: 14000 RY 2018-04-08 0848 JA1HFY        599 024    R7AB          599 347    
QSO:  7000 RY 2018-04-08 0855 JA1HFY        599 025    DU3LA         599 103    
QSO:  7000 RY 2018-04-08 1118 JA1HFY        599 026    JA1AYO        599 094    
QSO:  7000 RY 2018-04-08 1121 JA1HFY        599 027    N8OO/5        599 520    
QSO:  7000 RY 2018-04-08 1123 JA1HFY        599 028    WN6K          599 143    
QSO:  7000 RY 2018-04-08 1145 JA1HFY        599 029    W7WW          599 153    
QSO: 14000 RY 2018-04-08 1311 JA1HFY        599 030    RG9A          599 889    
END-OF-LOG:
