START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: IK2MXM
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 6380
CLUB: 
CONTEST: EA-RTTY
CREATED-BY: MixW 3.2
NAME: GIGI SAPO
OPERATORS: 
SOAPBOX: PWR 50w  ft991 - trapped dipole 40-80 - multiband vertical antenna
QSO: 14103 RY 2018-04-07 2131 IK2MXM        599 001    VE2FK         599 050    0
QSO:  7041 RY 2018-04-07 2142 IK2MXM        599 002    EM0I          599 324    0
QSO:  7044 RY 2018-04-07 2143 IK2MXM        599 003    UT5EPP        599 229    0
QSO:  7048 RY 2018-04-07 2147 IK2MXM        599 004    UA9TO         599 131    0
QSO:  7059 RY 2018-04-07 2158 IK2MXM        599 005    RG9A          599 382    0
QSO:  3587 RY 2018-04-07 2200 IK2MXM        599 006    S57SWR        599 078    0
QSO:  3587 RY 2018-04-07 2201 IK2MXM        599 007    PA5N          599 063    0
QSO:  3589 RY 2018-04-07 2202 IK2MXM        599 008    9A1RBZ        599 165    0
QSO:  3589 RY 2018-04-07 2203 IK2MXM        599 009    EA3KU         599 T      0
QSO:  3588 RY 2018-04-07 2205 IK2MXM        599 010    EA3EZD        599 B      0
QSO:  3588 RY 2018-04-07 2206 IK2MXM        599 011    EA1AKS        599 S      0
QSO:  3592 RY 2018-04-07 2209 IK2MXM        599 012    G0HDV         599 167    0
QSO:  3591 RY 2018-04-07 2210 IK2MXM        599 013    UR5SD         599 112    0
QSO:  3591 RY 2018-04-07 2214 IK2MXM        599 014    ED1MK         599 P      0
QSO:  3594 RY 2018-04-07 2216 IK2MXM        599 015    ED9E          599 CE     0
QSO:  3595 RY 2018-04-07 2217 IK2MXM        599 016    EA4URE        599 HQ     0
QSO:  3596 RY 2018-04-07 2218 IK2MXM        599 017    PA3EWP        599 096    0
QSO:  3598 RY 2018-04-07 2219 IK2MXM        599 018    OZ2TF         599 198    0
QSO:  3599 RY 2018-04-07 2220 IK2MXM        599 019    EA2ASB        599 BI     0
QSO:  3597 RY 2018-04-07 2226 IK2MXM        599 020    EE2W          599 BI     0
QSO:  3597 RY 2018-04-07 2229 IK2MXM        599 021    YO9HP         599 324    0
QSO:  3596 RY 2018-04-07 2231 IK2MXM        599 022    HA0MS         599 152    0
QSO:  3601 RY 2018-04-07 2231 IK2MXM        599 023    OH8WW         599 299    0
QSO:  3600 RY 2018-04-07 2233 IK2MXM        599 024    RG9A          599 412    0
QSO:  3599 RY 2018-04-07 2234 IK2MXM        599 025    G1XKZ         599 158    0
QSO:  3598 RY 2018-04-07 2235 IK2MXM        599 026    EA2XR         599 BI     0
QSO:  3593 RY 2018-04-07 2236 IK2MXM        599 027    PA3DUU        599 204    0
QSO:  3594 RY 2018-04-07 2237 IK2MXM        599 028    YO4NF         599 197    0
QSO:  3592 RY 2018-04-07 2240 IK2MXM        599 029    SQ6PLE        599 133    0
QSO:  3586 RY 2018-04-07 2244 IK2MXM        599 030    EA4GOY        599 TO     0
QSO:  3586 RY 2018-04-07 2249 IK2MXM        599 031    EF1A          599 C      0
QSO:  3583 RY 2018-04-07 2251 IK2MXM        599 032    YU7KMN        599 173    0
QSO:  3582 RY 2018-04-07 2252 IK2MXM        599 033    F5BEG         599 177    0
QSO:  3582 RY 2018-04-07 2253 IK2MXM        599 034    OH9UFO        599 060    0
QSO:  3581 RY 2018-04-07 2253 IK2MXM        599 035    S58K          599 466    0
QSO:  3581 RY 2018-04-07 2255 IK2MXM        599 036    EA7HAB        599 GR     0
QSO:  3581 RY 2018-04-07 2256 IK2MXM        599 037    EW7BA         599 148    0
QSO:  7044 RY 2018-04-07 2258 IK2MXM        599 038    R3WA          599 057    0
QSO:  7054 RY 2018-04-08 0710 IK2MXM        599 039    EB2A          599 HU     0
QSO:  7053 RY 2018-04-08 0711 IK2MXM        599 040    EA5HRT        599 V      0
QSO:  7052 RY 2018-04-08 0713 IK2MXM        599 041    EB7KA         599 AL     0
QSO: 14088 RY 2018-04-08 0725 IK2MXM        599 042    EM2G          599 292    0
QSO: 14083 RY 2018-04-08 0727 IK2MXM        599 043    RW3XZ         599 122    0
QSO: 14083 RY 2018-04-08 0728 IK2MXM        599 044    RA4HL         599 290    0
QSO: 14091 RY 2018-04-08 0729 IK2MXM        599 045    UW1M          599 629    0
QSO:  7042 RY 2018-04-08 0733 IK2MXM        599 046    HA6NL         599 256    0
QSO:  7047 RY 2018-04-08 0737 IK2MXM        599 047    PA3EVY        599 046    0
QSO:  7048 RY 2018-04-08 0737 IK2MXM        599 048    DK0OF         599 154    0
QSO:  7045 RY 2018-04-08 0740 IK2MXM        599 049    DL3VZL        599 040    0
QSO:  7045 RY 2018-04-08 0743 IK2MXM        599 050    EA4URE        599 HQ     0
QSO:  7048 RY 2018-04-08 0748 IK2MXM        599 051    EA5RW         599 V      0
QSO:  7049 RY 2018-04-08 0749 IK2MXM        599 052    ED1LO         599 LO     0
QSO: 14081 RY 2018-04-08 0752 IK2MXM        599 053    OH8WW         599 354    0
QSO: 14083 RY 2018-04-08 0752 IK2MXM        599 054    UA6CE         599 476    0
QSO: 14092 RY 2018-04-08 0757 IK2MXM        599 055    R7AB          599 318    0
QSO: 14095 RY 2018-04-08 0759 IK2MXM        599 056    EA7ZY         599 H      0
QSO: 14080 RY 2018-04-08 0802 IK2MXM        599 057    EM0I          599 606    0
QSO:  7046 RY 2018-04-08 0807 IK2MXM        599 058    OK2PF         599 033    0
QSO:  7051 RY 2018-04-08 0809 IK2MXM        599 059    PA4O          599 098    0
QSO:  7051 RY 2018-04-08 0813 IK2MXM        599 060    OZ11A         599 325    0
QSO:  7054 RY 2018-04-08 0815 IK2MXM        599 061    OH2PM         599 342    0
QSO:  7056 RY 2018-04-08 0822 IK2MXM        599 062    DL3SYA        599 180    0
QSO: 14096 RY 2018-04-08 0830 IK2MXM        599 063    LZ5XQ         599 267    0
QSO: 14107 RY 2018-04-08 0834 IK2MXM        599 064    RK9AX         599 465    0
QSO: 14102 RY 2018-04-08 0836 IK2MXM        599 065    RG9A          599 744    0
QSO: 14101 RY 2018-04-08 1539 IK2MXM        599 066    EF1Z          599 CA     0
QSO: 14103 RY 2018-04-08 1543 IK2MXM        599 067    R3LC          599 122    0
QSO: 14098 RY 2018-04-08 1545 IK2MXM        599 068    EW7BA         599 262    0
QSO:  7049 RY 2018-04-08 1550 IK2MXM        599 069    EA5EN         599 MU     0
QSO:  7051 RY 2018-04-08 1554 IK2MXM        599 070    EA3KU         599 T      0
QSO:  7054 RY 2018-04-08 1556 IK2MXM        599 071    PE1FTV        599 217    0
