START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: G0TSM
CATEGORY: SINGLE-OP-ASSISTED ALL
CLAIMED-SCORE: 508080
CLUB: 
CONTEST: CQ-WW-SSB
CREATED-BY: WriteLog V10.55D
NAME: Darren Collins
OPERATORS: G0TSM
SOAPBOX: FT1000MP, Yaesu Quadra, 10,15,20M Hexbeam @25ft. 40/80/160 Windom @ 40ft.
SOAPBOX:  
QSO:  1876 PH 2005-10-29 0408 G0TSM          59     14 OZ1DD          59     14 
QSO:  1870 PH 2005-10-29 0408 G0TSM          59     14 YT6Y           59     15 
QSO:  1867 PH 2005-10-29 0410 G0TSM          59     14 RW2F           59     15 
QSO:  1865 PH 2005-10-29 0410 G0TSM          59     14 SP6HEQ         59     15 
QSO:  1862 PH 2005-10-29 0412 G0TSM          59     14 OZ5ESB         59     14 
QSO:  1858 PH 2005-10-29 0412 G0TSM          59     14 GD6IA          59     14 
QSO:  1853 PH 2005-10-29 0413 G0TSM          59     14 PA6Z           59     14 
QSO:  1849 PH 2005-10-29 0415 G0TSM          59     14 IZ6ERS         59     15 
QSO:  1841 PH 2005-10-29 0417 G0TSM          59     14 OE6Z           59     15 
QSO:  1839 PH 2005-10-29 0417 G0TSM          59     14 OK1TP          59     15 
QSO:  1834 PH 2005-10-29 0418 G0TSM          59     14 PI4CC          59     14 
QSO:  1832 PH 2005-10-29 0419 G0TSM          59     14 EA5AT          59     14 
QSO:  1831 PH 2005-10-29 0420 G0TSM          59     14 PA0AGA         59     14 
QSO:  1829 PH 2005-10-29 0420 G0TSM          59     14 TM2Y           59     14 
QSO:  1824 PH 2005-10-29 0421 G0TSM          59     14 LY3UM          59     15 
QSO:  1822 PH 2005-10-29 0421 G0TSM          59     14 ON4WW          59     14 
QSO:  1816 PH 2005-10-29 0422 G0TSM          59     14 MD4K           59     14 
QSO:  1812 PH 2005-10-29 0423 G0TSM          59     14 SQ6Z           59     15 
QSO:  3666 PH 2005-10-29 0431 G0TSM          59     14 WE3C           59      5 
QSO:  3675 PH 2005-10-29 0431 G0TSM          59     14 W3LPL          59      5 
QSO:  3600 PH 2005-10-29 0432 G0TSM          59     14 VY2PA          59      5 
QSO:  3671 PH 2005-10-29 0433 G0TSM          59     14 N3RS           59      5 
QSO:  3608 PH 2005-10-29 0434 G0TSM          59     14 WB9Z           59      4 
QSO:  3685 PH 2005-10-29 0436 G0TSM          59     14 W4RM           59      5 
QSO:  3654 PH 2005-10-29 0437 G0TSM          59     14 K0TV           59      5 
QSO:  3680 PH 2005-10-29 0439 G0TSM          59     14 K4ZW           59      5 
QSO:  3627 PH 2005-10-29 0443 G0TSM          59     14 K3NA           59      5 
QSO:  7023 PH 2005-10-29 0445 G0TSM          59     14 AA3B           59      5 
QSO:  7027 PH 2005-10-29 0447 G0TSM          59     14 K1RX           59      5 
QSO:  7088 PH 2005-10-29 0448 G0TSM          59     14 K3LR           59      5 
QSO:  7190 PH 2005-10-29 0449 G0TSM          59     14 HB9AAL         59     14 
QSO:  7187 PH 2005-10-29 0450 G0TSM          59     14 W3LPL          59      5 
QSO:  7093 PH 2005-10-29 0453 G0TSM          59     14 IS0/DL3EW      59     15 
QSO:  7096 PH 2005-10-29 0454 G0TSM          59     14 HG6N           59     15 
QSO:  7100 PH 2005-10-29 0455 G0TSM          59     14 CT3YA          59     33 
QSO:  7094 PH 2005-10-29 0456 G0TSM          59     14 RU9CK          59     17 
QSO:  7053 PH 2005-10-29 0459 G0TSM          59     14 IR4X           59     15 
QSO:  3798 PH 2005-10-29 0500 G0TSM          59     14 SM0W           59     14 
QSO:  7194 PH 2005-10-29 0504 G0TSM          59     14 WE3C           59      5 
QSO:  7046 PH 2005-10-29 0505 G0TSM          59     14 W4RM           59      5 
QSO:  7043 PH 2005-10-29 0511 G0TSM          59     14 SO6X           59     15 
QSO:  7047 PH 2005-10-29 0511 G0TSM          59     14 CN2R           59     33 
QSO:  3795 PH 2005-10-29 0515 G0TSM          59     14 ON4AEK         59     14 
QSO:  3791 PH 2005-10-29 0515 G0TSM          59     14 MD4K           59     14 
QSO:  3721 PH 2005-10-29 0517 G0TSM          59     14 KC1XX          59      5 
