START-OF-LOG: 2.0
 SINGLE-OP ALL LOW SSB
CREATED-BY: LM Version 4.0 (c) 1992, 2004 by DL8WAA
ARRL-SECTION: DX
CONTEST: CQ-WW-SSB
CALLSIGN: DG5OBB
CATEGORY: SINGLE-OP ALL LOW SSB
CLAIMED-SCORE: 16554
OPERATORS: DG5OBB
CLUB: BCC
NAME:  Klaus Hopp
SOAPBOX: I had fun during this contest. See you next year 2006.
QSO: 14000 PH 2005-10-29 0750 DG5OBB        59  14     YU55HFG       59  15     0
QSO: 21000 PH 2005-10-29 0754 DG5OBB        59  14     RK9JWV        59  17     0
QSO: 21000 PH 2005-10-29 0757 DG5OBB        59  14     5B/HA5PP      59  20     0
QSO: 21000 PH 2005-10-29 0801 DG5OBB        59  14     SX5P          59  20     0
QSO: 21000 PH 2005-10-29 0802 DG5OBB        59  14     J49Z          59  20     0
QSO: 21000 PH 2005-10-29 0804 DG5OBB        59  14     SV9/OH4FR     59  20     0
QSO: 14000 PH 2005-10-29 0806 DG5OBB        59  14     SV1JMO        59  20     0
QSO: 14000 PH 2005-10-29 0808 DG5OBB        59  14     EA1COZ        59  14     0
QSO: 14000 PH 2005-10-29 0812 DG5OBB        59  14     RA3CW/3       59  16     0
QSO: 14000 PH 2005-10-29 0821 DG5OBB        59  14     CU2A          59  14     0
QSO: 21000 PH 2005-10-29 0824 DG5OBB        59  14     5B/AJ2O       59  20     0
QSO: 21000 PH 2005-10-29 0826 DG5OBB        59  14     4K7Z          59  21     0
QSO: 21000 PH 2005-10-29 0831 DG5OBB        59  14     EA7HF         59  14     0
QSO: 21000 PH 2005-10-29 0832 DG5OBB        59  14     DJ1AA         59  14     0
QSO: 21000 PH 2005-10-29 0834 DG5OBB        59  14     9G5A          59  35     0
QSO: 21000 PH 2005-10-29 0848 DG5OBB        59  14     PQ7Q          59  11     0
QSO: 21000 PH 2005-10-29 0852 DG5OBB        59  14     4X4DZ         59  20     0
QSO: 14000 PH 2005-10-29 0904 DG5OBB        59  14     TF/N0HJZ      59  40     0
QSO: 14000 PH 2005-10-29 0910 DG5OBB        59  14     YT9X          59  15     0
QSO: 14000 PH 2005-10-29 0912 DG5OBB        59  14     MD4K          59  14     0
QSO: 14000 PH 2005-10-29 0912 DG5OBB        59  14     UU7J          59  16     0
QSO: 14000 PH 2005-10-29 0915 DG5OBB        59  14     IS0/DL3EW     59  15     0
QSO: 21000 PH 2005-10-29 1321 DG5OBB        59  14     RN6BY         59  16     0
QSO: 21000 PH 2005-10-29 1329 DG5OBB        59  14     RZ4HZW        59  16     0
QSO: 21000 PH 2005-10-29 1332 DG5OBB        59  14     VO1TA         59  05     0
QSO: 21000 PH 2005-10-29 1336 DG5OBB        59  14     KC1XX         59  05     0
QSO: 14000 PH 2005-10-29 1342 DG5OBB        59  14     LZ9W          59  20     0
QSO: 14000 PH 2005-10-29 1719 DG5OBB        59  14     YZ9A          59  15     0
QSO:  7000 PH 2005-10-29 1726 DG5OBB        59  14     HG3M          59  15     0
QSO:  7000 PH 2005-10-29 1727 DG5OBB        59  14     RK4FD         59  16     0
QSO: 28000 PH 2005-10-29 2142 DG5OBB        59  14     DB7HH         59  14     0
QSO:  3500 PH 2005-10-29 2158 DG5OBB        59  14     MD4K          59  14     0
QSO:  3500 PH 2005-10-29 2203 DG5OBB        59  14     RU1A          59  16     0
QSO:  3500 PH 2005-10-29 2205 DG5OBB        59  14     OT5A          59  14     0
QSO:  3500 PH 2005-10-29 2207 DG5OBB        59  14     DQ4W          59  14     0
QSO:  3500 PH 2005-10-29 2208 DG5OBB        59  14     SM0W          59  14     0
QSO:  7000 PH 2005-10-30 0746 DG5OBB        59  14     OK1RI         59  14     0
QSO: 28000 PH 2005-10-30 0750 DG5OBB        59  14     UA4LCQ/9      59  17     0
QSO: 14000 PH 2005-10-30 0755 DG5OBB        59  14     ES4RD         59  15     0
QSO: 14000 PH 2005-10-30 0756 DG5OBB        59  14     OH8L          59  15     0
QSO: 14000 PH 2005-10-30 0804 DG5OBB        59  14     3V5A          59  33     0
QSO: 14000 PH 2005-10-30 0807 DG5OBB        59  14     IR8P          59  15     0
QSO: 21000 PH 2005-10-30 0809 DG5OBB        59  14     RZ3VA         59  16     0
QSO: 14000 PH 2005-10-30 0810 DG5OBB        59  14     OH5B          59  15     0
QSO: 14000 PH 2005-10-30 0815 DG5OBB        59  14     DQ0Q          59  14     0
QSO: 14000 PH 2005-10-30 0816 DG5OBB        59  14     JA3YBK        59  05     0
QSO: 14000 PH 2005-10-30 0824 DG5OBB        59  14     UP0L          59  17     0
QSO: 14000 PH 2005-10-30 0826 DG5OBB        59  14     CT8T          59  14     0
QSO: 21000 PH 2005-10-30 0828 DG5OBB        59  14     TA2IB         59  20     0
QSO: 14000 PH 2005-10-30 0832 DG5OBB        59  14     JAOJHA        59  25     0
QSO: 14000 PH 2005-10-30 0835 DG5OBB        59  14     IS0/WH0Q      59  15     0
QSO: 21000 PH 2005-10-30 0839 DG5OBB        59  14     CT9L          59  33     0
QSO: 21000 PH 2005-10-30 0842 DG5OBB        59  14     4Z5FI         59  20     0
QSO: 21000 PH 2005-10-30 0850 DG5OBB        59  14     P3J           59  20     0
QSO: 14000 PH 2005-10-30 0854 DG5OBB        59  14     KC1XX         59  05     0
QSO: 14000 PH 2005-10-30 0854 DG5OBB        59  14     YZ5Z          59  15     0
QSO: 14000 PH 2005-10-30 0859 DG5OBB        59  14     OH4MDY        59  15     0
QSO: 28000 PH 2005-10-30 0900 DG5OBB        59  14     4Z4DX         59  20     0
QSO: 28000 PH 2005-10-30 0901 DG5OBB        59  14     4K7Z          59  15     0
QSO: 28000 PH 2005-10-30 0905 DG5OBB        59  14     YP3A          59  20     0
QSO: 14000 PH 2005-10-30 0908 DG5OBB        59  14     VO1MP         59  05     0
QSO: 14000 PH 2005-10-30 0910 DG5OBB        59  14     VE6WQ         59  04     0
QSO: 21000 PH 2005-10-30 0923 DG5OBB        59  14     AY8A          59  13     0
