START-OF-LOG: 2.3
CREATED-BY: TR Log POST Version 6.79
CALLSIGN: VE5RI 
CONTEST: CQ-WW-SSB
ARRL-SECTION: SK
CATEGORY: MULTI-MULTI  
CLAIMED-SCORE: 1433128
CLUB: Sask Alta Contesters
NAME: c/o Bill Till
OPERATORS: VE5CMA VE5FF VE5FN VE5WI VA6NJK VE6BBP VE6FN VE6EZ 
SOAPBOX: Weird condx.  At start could hear scads of stations but they 
SOAPBOX: couldnt hear us. This continued for several hours then a switch 
SOAPBOX: got flipped and we could work anything we could hear. 20 was a 
SOAPBOX: screaming shambles and it was almost impossible to get a clear 
SOAPBOX: run freq.  15 was fun and held up nicely during daylight. 40, 
SOAPBOX: 80 and 160 were very productive after dark and produced some 
SOAPBOX: quite amazing DX for latitude 53+.  We had a weak N-S opening 
SOAPBOX: on 10 on the second day and 20 was even more crowded with EUs 
SOAPBOX: running wild from 14100 to 14350 until the last few hours when 
SOAPBOX: we got the usual run into the USA.  As can be seen from our 
SOAPBOX: score, our group took several beer breaks when enthusiasm waned.
SOAPBOX: We claim to contest for fun and fun is what we had.  
QSO: 21000 PH 2005-10-29 0000 VE5RI         59  04     JA7NVF        59  25
QSO: 21000 PH 2005-10-29 0001 VE5RI         59  04     JA7YRR        59  25
QSO: 21000 PH 2005-10-29 0002 VE5RI         59  04     VK2APG        59  30
QSO: 14000 PH 2005-10-29 0002 VE5RI         59  04     XE2AC         59  06
QSO: 21000 PH 2005-10-29 0003 VE5RI         59  04     VK4WR         59  30
QSO: 21000 PH 2005-10-29 0004 VE5RI         59  04     VK1CC         59  30
QSO: 14000 PH 2005-10-29 0008 VE5RI         59  04     LY8YE         59  15
QSO: 14000 PH 2005-10-29 0013 VE5RI         59  04     XE1L          59  06
QSO: 14000 PH 2005-10-29 0017 VE5RI         59  04     XE2K          59  06
QSO: 21000 PH 2005-10-29 0019 VE5RI         59  04     AH7C          59  31
QSO: 14000 PH 2005-10-29 0020 VE5RI         59  04     KX7M          59  03
QSO: 21000 PH 2005-10-29 0024 VE5RI         59  04     JA3YBK        59  25
QSO: 21000 PH 2005-10-29 0025 VE5RI         59  04     JH4UYB        59  25
QSO: 14000 PH 2005-10-29 0026 VE5RI         59  04     AL9A          59  01
QSO: 21000 PH 2005-10-29 0027 VE5RI         59  04     JE4VVM        59  25
