START-OF-LOG: 2.0
CREATED-BY: N3FJP's CQ World Wide Log 2.0
CONTEST: CQ-WW-SSB
CALLSIGN: WI7F
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 48158
OPERATORS: WI7F
CLUB: northern calif contest club
NAME: jerry schnor
SOAPBOX: not as good as last years score but still fun
SOAPBOX:
SOAPBOX:
QSO: 14000 PH 2005-10-29 0003 WI7F          59  03     PS2T          59  11      
QSO: 14000 PH 2005-10-29 0010 WI7F          59  03     4M5R          59  09      
QSO: 14000 PH 2005-10-29 0013 WI7F          59  03     AA5NT         59  04      
QSO: 14000 PH 2005-10-29 0017 WI7F          59  03     W0CEM         59  04      
QSO:  3500 PH 2005-10-29 0526 WI7F          59  03     VE6FI         59  04      
QSO:  3500 PH 2005-10-29 0606 WI7F          59  03     N6AJR         59  03      
QSO:  3500 PH 2005-10-29 0624 WI7F          59  03     XE2K          59  06      
QSO: 21000 PH 2005-10-29 1553 WI7F          59  03     VC3O          59  03      
QSO: 21000 PH 2005-10-29 1556 WI7F          59  03     6Y2Z          59  08      
QSO: 21000 PH 2005-10-29 1613 WI7F          59  03     TI5N          59  07      
QSO: 21000 PH 2005-10-29 1615 WI7F          59  03     WB9Z          59  04      
QSO: 14000 PH 2005-10-29 1640 WI7F          59  03     EA1MR         59  14      
QSO: 14000 PH 2005-10-29 1706 WI7F          59  03     KH7X          59  31      
QSO: 14000 PH 2005-10-29 1710 WI7F          59  03     AL1G          59  01      
QSO: 14000 PH 2005-10-29 1715 WI7F          59  03     DF0CG         59  14      
QSO: 14000 PH 2005-10-29 1716 WI7F          59  03     EA4KR         59  14      
QSO: 21000 PH 2005-10-29 1727 WI7F          59  03     P49Y          59  09      
QSO: 14000 PH 2005-10-29 1737 WI7F          59  03     NL7Z          59  01      
QSO: 14000 PH 2005-10-29 1739 WI7F          59  03     OH6KN         59  15      
QSO: 14000 PH 2005-10-29 1741 WI7F          59  03     RW1ZA         59  16      
QSO: 14000 PH 2005-10-29 1751 WI7F          59  03     VY1MB         59  01      
QSO: 14000 PH 2005-10-29 1753 WI7F          59  03     M7Z           59  14      
QSO: 14000 PH 2005-10-29 1754 WI7F          59  03     OH5B          59  15      
QSO: 14000 PH 2005-10-29 1756 WI7F          59  03     AL9A          59  01      
QSO: 14000 PH 2005-10-29 1758 WI7F          59  03     CT9L          59  33      
QSO: 14000 PH 2005-10-29 1801 WI7F          59  03     G4UJS         59  14      
QSO: 14000 PH 2005-10-29 1804 WI7F          59  03     GM2T          59  14      
QSO: 14000 PH 2005-10-29 1805 WI7F          59  03     VE3SY         59  04      
QSO: 14000 PH 2005-10-29 1808 WI7F          59  03     KD3TB/VE2     59  02      
QSO: 14000 PH 2005-10-29 1820 WI7F          59  03     8P1A          59  08      
QSO: 21000 PH 2005-10-29 1833 WI7F          59  03     VE3EJ         59  04      
QSO: 21000 PH 2005-10-29 1836 WI7F          59  03     VE3XN         59  04      
QSO: 21000 PH 2005-10-29 1837 WI7F          59  03     VP5DX         59  08      
QSO: 21000 PH 2005-10-29 1844 WI7F          59  03     FY5KE         59  09      
QSO: 21000 PH 2005-10-29 1851 WI7F          59  03     WP2Z          59  08      
QSO: 21000 PH 2005-10-29 1858 WI7F          59  03     K3LR          59  05      
QSO: 21000 PH 2005-10-29 1905 WI7F          59  03     AY8A          59  13      
QSO: 21000 PH 2005-10-29 1914 WI7F          59  03     PJ2T          59  09      
QSO: 14000 PH 2005-10-29 1924 WI7F          59  03     6Y2Z          59  08      
QSO: 14000 PH 2005-10-29 1927 WI7F          59  03     K5ZD          59  05      
QSO: 14000 PH 2005-10-29 1928 WI7F          59  03     VE3RM         59  04      
QSO: 14000 PH 2005-10-29 1933 WI7F          59  03     D44TD         59  35      
QSO: 14000 PH 2005-10-29 1935 WI7F          59  03     VA3SK         59  04      
QSO: 21000 PH 2005-10-29 1942 WI7F          59  03     AL9A          59  01      
QSO: 21000 PH 2005-10-29 1943 WI7F          59  03     AL1G          59  01      
QSO: 14000 PH 2005-10-29 2016 WI7F          59  03     VE3JAQ        59  04      
QSO: 21000 PH 2005-10-29 2020 WI7F          59  03     CE1L          59  12      
QSO: 21000 PH 2005-10-29 2052 WI7F          59  03     PJ4W          59  09      
QSO: 14000 PH 2005-10-29 2100 WI7F          59  03     VC3O          59  04      
QSO: 14000 PH 2005-10-29 2103 WI7F          59  03     XE2MX         59  06      
QSO: 14000 PH 2005-10-29 2104 WI7F          59  03     NI6W          59  03      
QSO: 14000 PH 2005-10-29 2127 WI7F          59  03     JH1OGC        59  25      
QSO: 14000 PH 2005-10-29 2128 WI7F          59  03     JA3YBK        59  25      
QSO: 14000 PH 2005-10-29 2129 WI7F          59  03     JA7YAA        59  25      
QSO: 14000 PH 2005-10-29 2130 WI7F          59  03     JA7YRR        59  25      
QSO: 14000 PH 2005-10-29 2132 WI7F          59  03     JR1AIB        59  25      
QSO: 14000 PH 2005-10-29 2133 WI7F          59  03     JA7BJS        59  25      
QSO: 14000 PH 2005-10-29 2136 WI7F          59  03     JS3CTQ        59  25      
QSO: 21000 PH 2005-10-29 2140 WI7F          59  03     8P1A          59  08      
QSO: 21000 PH 2005-10-29 2143 WI7F          59  03     PY1KN         59  11      
QSO: 21000 PH 2005-10-29 2149 WI7F          59  03     HC1JQ         59  10      
QSO: 21000 PH 2005-10-29 2155 WI7F          59  03     HI3NR         59  08      
QSO: 21000 PH 2005-10-29 2158 WI7F          59  03     JA3YBK        59  25      
QSO: 21000 PH 2005-10-29 2200 WI7F          59  03     JA2BNN        59  25      
QSO: 21000 PH 2005-10-29 2203 WI7F          59  03     PX5E          59  11      
QSO: 21000 PH 2005-10-29 2206 WI7F          59  03     JA7BSV        59  25      
QSO: 21000 PH 2005-10-29 2210 WI7F          59  03     JA9IPF        59  25      
QSO: 21000 PH 2005-10-29 2216 WI7F          59  03     HR2A          59  07      
QSO: 21000 PH 2005-10-29 2218 WI7F          59  03     JA7YRR        59  25      
QSO: 21000 PH 2005-10-29 2225 WI7F          59  03     JF2SKV        59  25      
QSO: 21000 PH 2005-10-29 2231 WI7F          59  03     AH7C          59  31      
QSO: 21000 PH 2005-10-29 2235 WI7F          59  03     NH7FY         59  31      
QSO: 21000 PH 2005-10-29 2238 WI7F          59  03     ZL2AL         59  32      
QSO: 21000 PH 2005-10-29 2248 WI7F          59  03     KG6DX         59  27      
QSO: 21000 PH 2005-10-29 2300 WI7F          59  03     KH6GMP        59  31      
QSO: 21000 PH 2005-10-29 2308 WI7F          59  03     VK4AN         59  30      
QSO: 14000 PH 2005-10-29 2316 WI7F          59  03     JA0JHA        59  25      
QSO: 14000 PH 2005-10-29 2319 WI7F          59  03     LR2F          59  13      
QSO: 14000 PH 2005-10-29 2324 WI7F          59  03     P40W          59  09      
QSO: 14000 PH 2005-10-29 2326 WI7F          59  03     FY5KE         59  09      
QSO: 14000 PH 2005-10-29 2329 WI7F          59  03     LT1F          59  13      
QSO: 14000 PH 2005-10-29 2331 WI7F          59  03     LR4E          59  13      
QSO: 14000 PH 2005-10-29 2344 WI7F          59  03     JA5BJC        59  25      
QSO: 14000 PH 2005-10-29 2346 WI7F          59  03     JG2KKG        59  25      
QSO: 14000 PH 2005-10-29 2348 WI7F          59  03     JA8RWU        59  25      
QSO: 14000 PH 2005-10-29 2355 WI7F          59  03     9V1YC         59  28      
QSO: 14000 PH 2005-10-30 0003 WI7F          59  03     OH8L          59  15      
QSO: 14000 PH 2005-10-30 0008 WI7F          59  03     HK1XX         59  09      
QSO: 14000 PH 2005-10-30 0012 WI7F          59  03     PY2NY         59  11      
QSO: 14000 PH 2005-10-30 0041 WI7F          59  03     VR2BG         59  24      
QSO: 14000 PH 2005-10-30 0110 WI7F          59  03     JH1NBN        59  25      
QSO: 14000 PH 2005-10-30 0112 WI7F          59  03     UA0AZA        59  18      
QSO: 14000 PH 2005-10-30 0121 WI7F          59  03     UA0FGZ        59  19      
QSO: 14000 PH 2005-10-30 0129 WI7F          59  03     JH0EPI        59  25      
QSO: 14000 PH 2005-10-30 0135 WI7F          59  03     AH2R          59  27      
QSO: 14000 PH 2005-10-30 0207 WI7F          59  03     RU0SN         59  18      
QSO: 14000 PH 2005-10-30 1543 WI7F          59  03     ON5ZO         59  14      
QSO: 14000 PH 2005-10-30 1547 WI7F          59  03     VA2VFT        59  02      
QSO: 14000 PH 2005-10-30 1552 WI7F          59  03     OT5A          59  14      
QSO: 21000 PH 2005-10-30 1615 WI7F          59  03     HK3JJH        59  09      
QSO: 21000 PH 2005-10-30 1622 WI7F          59  03     EA5DFV        59  14      
QSO: 21000 PH 2005-10-30 1629 WI7F          59  03     CO8LY         59  08      
QSO: 21000 PH 2005-10-30 1630 WI7F          59  03     EA1CCM        59  14      
QSO: 21000 PH 2005-10-30 1633 WI7F          59  03     GM5A          59  14      
QSO: 21000 PH 2005-10-30 1643 WI7F          59  03     ED2WW         59  14      
QSO: 21000 PH 2005-10-30 1645 WI7F          59  03     CU2/OH1VR     59  14      
QSO: 21000 PH 2005-10-30 1650 WI7F          59  03     EA7RU         59  14      
QSO: 21000 PH 2005-10-30 1654 WI7F          59  03     EA5DY         59  14      
QSO: 14000 PH 2005-10-30 1732 WI7F          59  03     US5D          59  16      
QSO: 21000 PH 2005-10-30 1752 WI7F          59  03     CT3YA         59  33      
QSO: 21000 PH 2005-10-30 1754 WI7F          59  03     V47KP         59  08      
QSO: 21000 PH 2005-10-30 1800 WI7F          59  03     VO1MP         59  05      
QSO: 14000 PH 2005-10-30 1813 WI7F          59  03     GM0F          59  14      
QSO: 14000 PH 2005-10-30 1820 WI7F          59  03     DL2ARD        59  14      
QSO: 14000 PH 2005-10-30 1831 WI7F          59  03     DL4MCF        59  14      
QSO: 21000 PH 2005-10-30 1839 WI7F          59  03     CE3BFZ        59  12      
QSO: 14000 PH 2005-10-30 1856 WI7F          59  03     S55A          59  15      
QSO: 21000 PH 2005-10-30 1902 WI7F          59  03     P40A          59  09      
QSO: 21000 PH 2005-10-30 1904 WI7F          59  03     VP5T          59  08      
QSO: 21000 PH 2005-10-30 1920 WI7F          59  03     FJ2T          59  09      
QSO: 21000 PH 2005-10-30 1932 WI7F          59  03     J3A           59  08      
QSO: 14000 PH 2005-10-30 1940 WI7F          59  03     VE9HF         59  05      
QSO: 28000 PH 2005-10-30 1941 WI7F          59  03     K7ZSD         59  03      
QSO: 21000 PH 2005-10-30 1959 WI7F          59  03     LT1F          59  13      
QSO: 21000 PH 2005-10-30 2031 WI7F          59  03     HR1RTF        59  07      
QSO: 21000 PH 2005-10-30 2056 WI7F          59  03     VP2MRJ        59  08      
QSO: 21000 PH 2005-10-30 2102 WI7F          59  03     FM5BH         59  08      
QSO: 14000 PH 2005-10-30 2133 WI7F          59  03     J3A           59  08      
QSO: 14000 PH 2005-10-30 2139 WI7F          59  03     JI2ZJS        59  25      
QSO: 14000 PH 2005-10-30 2146 WI7F          59  03     VY2TT         59  05      
QSO: 14000 PH 2005-10-30 2151 WI7F          59  03     VE2IM         59  02      
QSO: 14000 PH 2005-10-30 2153 WI7F          59  03     VE3EJ         59  04      
QSO: 14000 PH 2005-10-30 2154 WI7F          59  03     VE6WQ         59  04      
QSO: 14000 PH 2005-10-30 2158 WI7F          59  03     P40A          59  09      
QSO: 14000 PH 2005-10-30 2205 WI7F          59  03     JA1CG         59  25      
QSO: 14000 PH 2005-10-30 2207 WI7F          59  03     JH0JHA        59  25      
QSO: 21000 PH 2005-10-30 2212 WI7F          59  03     JA7YAA        59  25      
QSO: 21000 PH 2005-10-30 2214 WI7F          59  03     AL7FD         59  01      
QSO: 21000 PH 2005-10-30 2218 WI7F          59  03     ZX2B          59  11      
QSO: 14000 PH 2005-10-30 2229 WI7F          59  03     KG4WW         59  08      
QSO: 14000 PH 2005-10-30 2242 WI7F          59  03     JR3NZC        59  25      
QSO: 14000 PH 2005-10-30 2248 WI7F          59  03     WP2Z          59  08      
QSO: 14000 PH 2005-10-30 2254 WI7F          59  03     JA3YRR        59  25      
QSO: 14000 PH 2005-10-30 2300 WI7F          59  03     JI2ZEY        59  25      
QSO: 21000 PH 2005-10-30 2306 WI7F          59  03     JA3CZY        59  25      
QSO: 21000 PH 2005-10-30 2309 WI7F          59  03     ZP0R          59  11      
QSO: 14000 PH 2005-10-30 2313 WI7F          59  03     TI2JCY        59  07      
QSO: 21000 PH 2005-10-30 2316 WI7F          59  03     BD5RT         59  34      
QSO: 21000 PH 2005-10-30 2325 WI7F          59  03     A35BO         59  32      
QSO: 21000 PH 2005-10-30 2328 WI7F          59  03     9M8YY         59  28      
QSO: 14000 PH 2005-10-30 2334 WI7F          59  03     4A1UN         59  06      
QSO: 21000 PH 2005-10-30 2340 WI7F          59  03     JR1AIB        59  25      
QSO: 21000 PH 2005-10-30 2341 WI7F          59  03     JH9KVF        59  25      
QSO: 21000 PH 2005-10-30 2343 WI7F          59  03     VK2KPP        59  30      
QSO: 14000 PH 2005-10-30 2351 WI7F          59  03     VY1CQ         59  01      
QSO: 21000 PH 2005-10-30 2355 WI7F          59  03     JI2UNR        59  25      
QSO: 21000 PH 2005-10-30 2357 WI7F          59  03     JE7JIS        59  25      
END-OF-LOG:
