START-OF-LOG: 2.0
CREATED-BY: E21EIC
CALLSIGN: HS0AR
NAME: SIAM DX GROUP CONTEST CLUB
CLUB: SIAM DX GROUP
CLAIMED-SCORE: 887260
CONTEST: CQ-WW-SSB
OPERATORS: E21EIC,E21YDP,E20PFE,HS0EHF,HS6MYW,HS8KGG
OPERATORS:
SOAPBOX: We run 100 watts limited power in Multi Single class and
SOAPBOX: we have new Thai HF hams joy with us in Contest. a Lot of Fun!
SOAPBOX: Thanks to all QSOs. 73, Champ/E21EIC
SOAPBOX:
CATEGORY: MULTI-ONE ALL LOW
QSO: 14000 PH 2005-10-29 0007 HS0AR 59 26 K7RI 59 03 1
QSO: 14000 PH 2005-10-29 0008 HS0AR 59 26 WK7U 59 03 1
QSO: 14000 PH 2005-10-29 0009 HS0AR 59 26 VR2BG 59 24 1
QSO: 14000 PH 2005-10-29 0009 HS0AR 59 26 JT1BG 59 23 1
QSO: 14000 PH 2005-10-29 0010 HS0AR 59 26 YB0AI 59 28 1
QSO: 14000 PH 2005-10-29 0011 HS0AR 59 26 KX7M 59 03 1
QSO: 14000 PH 2005-10-29 0012 HS0AR 59 26 HS0ZCW 59 26 1
QSO: 14000 PH 2005-10-29 0013 HS0AR 59 26 VR2XMT 59 24 1
QSO: 14000 PH 2005-10-29 0013 HS0AR 59 26 9A7A 59 15 1
QSO: 14000 PH 2005-10-29 0014 HS0AR 59 26 9M6DXX 59 28 1
QSO: 14000 PH 2005-10-29 0015 HS0AR 59 26 OH8L 59 15 1
QSO: 14000 PH 2005-10-29 0018 HS0AR 59 26 K6KR 59 03 1
QSO: 14000 PH 2005-10-29 0020 HS0AR 59 26 RX9JD 59 17 1
QSO: 14000 PH 2005-10-29 0020 HS0AR 59 26 RW0AQ 59 18 1
QSO: 14000 PH 2005-10-29 0023 HS0AR 59 26 BV0J 59 24 1
QSO: 14000 PH 2005-10-29 0023 HS0AR 59 26 UA4LCH 59 16 1
QSO: 14000 PH 2005-10-29 0024 HS0AR 59 26 K7ZSD 59 03 1
QSO: 14000 PH 2005-10-29 0025 HS0AR 59 26 YB5QZ 59 28 1
QSO: 14000 PH 2005-10-29 0025 HS0AR 59 26 NK7U 59 03 1
QSO: 14000 PH 2005-10-29 0026 HS0AR 59 26 VR2MX 59 24 1
QSO: 14000 PH 2005-10-29 0026 HS0AR 59 26 K7RL 59 03 1
QSO: 14000 PH 2005-10-29 0027 HS0AR 59 26 K6KM 59 03 1
QSO: 14000 PH 2005-10-29 0027 HS0AR 59 26 JA1CG 59 25 1
QSO: 14000 PH 2005-10-29 0030 HS0AR 59 26 K7ZZ 59 03 1
QSO: 14000 PH 2005-10-29 0030 HS0AR 59 26 JT1JA 59 23 1
QSO: 14000 PH 2005-10-29 0031 HS0AR 59 26 UA0APV 59 18 1
QSO: 14000 PH 2005-10-29 0031 HS0AR 59 26 UA0LD 59 19 1
QSO: 14000 PH 2005-10-29 0032 HS0AR 59 26 JA2XCR 59 25 1
QSO: 14000 PH 2005-10-29 0032 HS0AR 59 26 RU0AW 59 18 1
QSO: 14000 PH 2005-10-29 0033 HS0AR 59 26 UA4FER 59 16 1
QSO: 14000 PH 2005-10-29 0034 HS0AR 59 26 DU7LA 59 27 1
QSO: 14000 PH 2005-10-29 0035 HS0AR 59 26 JA2KQE 59 25 1
QSO: 14000 PH 2005-10-29 0036 HS0AR 59 26 JA5CPJ 59 25 1
QSO: 21000 PH 2005-10-29 0038 HS0AR 59 26 VK9XD 59 29 1
QSO: 21000 PH 2005-10-29 0039 HS0AR 59 26 DU1KGJ/DU4 59 27 1
QSO: 21000 PH 2005-10-29 0040 HS0AR 59 26 UA9UR 59 18 1
QSO: 21000 PH 2005-10-29 0041 HS0AR 59 26 JH1NBN 59 25 1
QSO: 21000 PH 2005-10-29 0043 HS0AR 59 26 WE6DX 59 03 1
QSO: 21000 PH 2005-10-29 0043 HS0AR 59 26 W6YI 59 03 1
QSO: 21000 PH 2005-10-29 0044 HS0AR 59 26 BD5RT 59 24 1
QSO: 21000 PH 2005-10-29 0045 HS0AR 59 26 CE1L 59 12 1
QSO: 21000 PH 2005-10-29 0048 HS0AR 59 26 JJ1ZNF 59 25 1
QSO: 21000 PH 2005-10-29 0048 HS0AR 59 26 JM1LPN 59 25 1
QSO: 21000 PH 2005-10-29 0050 HS0AR 59 26 YB0DPO 59 28 1
QSO: 21000 PH 2005-10-29 0051 HS0AR 59 26 JA1BNW 59 25 1
QSO: 21000 PH 2005-10-29 0052 HS0AR 59 26 JA8IJI 59 25 1
QSO: 21000 PH 2005-10-29 0054 HS0AR 59 26 AH6HY 59 31 1
QSO: 21000 PH 2005-10-29 0057 HS0AR 59 26 UA0DC 59 19 1
QSO: 21000 PH 2005-10-29 0058 HS0AR 59 26 YC1UGK 59 28 1
QSO: 21000 PH 2005-10-29 0058 HS0AR 59 26 JA1GSG 59 25 1
QSO: 21000 PH 2005-10-29 0058 HS0AR 59 26 HS1OVH 59 26 1
QSO: 21000 PH 2005-10-29 0058 HS0AR 59 26 JA1WPX 59 25 1
QSO: 21000 PH 2005-10-29 0059 HS0AR 59 26 JA7MGP 59 25 1
QSO: 21000 PH 2005-10-29 0059 HS0AR 59 26 JA7YAA 59 25 1
QSO: 21000 PH 2005-10-29 0059 HS0AR 59 26 JR5XPG 59 25 1
QSO: 21000 PH 2005-10-29 0100 HS0AR 59 26 BU2AO 59 24 1
QSO: 21000 PH 2005-10-29 0100 HS0AR 59 26 KH6LS 59 31 1
QSO: 21000 PH 2005-10-29 0101 HS0AR 59 26 RX0AB 59 18 1
QSO: 21000 PH 2005-10-29 0101 HS0AR 59 26 JH4UYB 59 25 1
QSO: 21000 PH 2005-10-29 0102 HS0AR 59 26 JI2WYK 59 25 1
QSO: 21000 PH 2005-10-29 0102 HS0AR 59 26 JA7RPC 59 25 1
QSO: 21000 PH 2005-10-29 0102 HS0AR 59 26 JH8JYV 59 25 1
QSO: 21000 PH 2005-10-29 0102 HS0AR 59 26 JR1MQT 59 25 1
QSO: 21000 PH 2005-10-29 0103 HS0AR 59 26 JO1WOK 59 25 1
QSO: 21000 PH 2005-10-29 0103 HS0AR 59 26 JA1PCY 59 25 1
QSO: 21000 PH 2005-10-29 0103 HS0AR 59 26 JA1BOQ 59 25 1
QSO: 21000 PH 2005-10-29 0103 HS0AR 59 26 JH1UUT 59 25 1
QSO: 21000 PH 2005-10-29 0104 HS0AR 59 26 JE2ILG 59 25 1
QSO: 21000 PH 2005-10-29 0104 HS0AR 59 26 JH3EDG 59 25 1
QSO: 21000 PH 2005-10-29 0104 HS0AR 59 26 JJ1TKN 59 25 1
QSO: 21000 PH 2005-10-29 0105 HS0AR 59 26 JH8TTS 59 25 1
QSO: 21000 PH 2005-10-29 0105 HS0AR 59 26 JA1OCA 59 25 1
QSO: 21000 PH 2005-10-29 0105 HS0AR 59 26 JA3BJZ 59 25 1
QSO: 21000 PH 2005-10-29 0105 HS0AR 59 26 JA1HO 59 25 1
QSO: 21000 PH 2005-10-29 0106 HS0AR 59 26 JA0AXV 59 25 1
QSO: 21000 PH 2005-10-29 0106 HS0AR 59 26 JI2ZEY 59 25 1
QSO: 21000 PH 2005-10-29 0106 HS0AR 59 26 PS2T 59 11 1
QSO: 21000 PH 2005-10-29 0106 HS0AR 59 26 JA4HDO 59 25 1
QSO: 21000 PH 2005-10-29 0107 HS0AR 59 26 JJ3TTH 59 25 1
QSO: 21000 PH 2005-10-29 0107 HS0AR 59 26 JA4AZY 59 25 1
QSO: 21000 PH 2005-10-29 0107 HS0AR 59 26 JA8TGD 59 25 1
QSO: 21000 PH 2005-10-29 0108 HS0AR 59 26 JI1KXL 59 25 1
QSO: 21000 PH 2005-10-29 0108 HS0AR 59 26 BX1AAB 59 24 1
QSO: 21000 PH 2005-10-29 0108 HS0AR 59 26 JR3RIY 59 25 1
QSO: 21000 PH 2005-10-29 0108 HS0AR 59 26 JR1AHL 59 25 1
QSO: 21000 PH 2005-10-29 0109 HS0AR 59 26 UA9YAB 59 18 1
QSO: 21000 PH 2005-10-29 0109 HS0AR 59 26 JH9KVF 59 25 1
QSO: 21000 PH 2005-10-29 0109 HS0AR 59 26 JA1CSL 59 25 1
QSO: 21000 PH 2005-10-29 0110 HS0AR 59 26 RW0LG 59 19 1
QSO: 21000 PH 2005-10-29 0110 HS0AR 59 26 JA6RCH 59 25 1
QSO: 21000 PH 2005-10-29 0110 HS0AR 59 26 JA1RRA 59 25 1
QSO: 21000 PH 2005-10-29 0111 HS0AR 59 26 JH1FOP 59 25 1
QSO: 21000 PH 2005-10-29 0111 HS0AR 59 26 JO1WZM 59 25 1
QSO: 21000 PH 2005-10-29 0111 HS0AR 59 26 JE1LFX 59 25 1
QSO: 21000 PH 2005-10-29 0112 HS0AR 59 26 KG6DX 59 27 1
