START-OF-LOG:  V2.0
CREATED-BY:    SD V12.05 and SDCHECK V12.05
CONTEST:       CQ-WW-SSB
CALLSIGN:      EA1EBJ
CATEGORY:      SINGLE-OP ALL LOW
CLAIMED-SCORE: 4860
NAME:          J.M. Santurio
OPERATORS:     EA1EBJ
SOAPBOX:       A pleasure to work some new ones with low power.
QSO: 28000 PH 2005-10-29 1044 EA1EBJ        59  14     UA3R          59  16                    
QSO: 28000 PH 2005-10-29 1051 EA1EBJ        59  14     IR4X          59  15                    
QSO: 28000 PH 2005-10-29 1053 EA1EBJ        59  14     OZ5ESB        59  14                    
QSO: 28000 PH 2005-10-29 1055 EA1EBJ        59  14     9A4A          59  15                    
QSO: 28000 PH 2005-10-29 1056 EA1EBJ        59  14     UZ0G          59  16                    
QSO: 28000 PH 2005-10-29 1100 EA1EBJ        59  14     TA2ZAF        59  20                    
QSO: 28000 PH 2005-10-29 1102 EA1EBJ        59  14     S58P          59  15                    
QSO: 28000 PH 2005-10-29 1103 EA1EBJ        59  14     DF0CG         59  14                    
QSO: 28000 PH 2005-10-29 1122 EA1EBJ        59  14     GM0B          59  14                    
QSO: 28000 PH 2005-10-29 1150 EA1EBJ        59  14     3V5A          59  33                    
QSO: 28000 PH 2005-10-29 1155 EA1EBJ        59  14     CT3YA         59  33                    
QSO: 28000 PH 2005-10-29 1159 EA1EBJ        59  14     GJ2A          59  14                    
QSO: 28000 PH 2005-10-29 1201 EA1EBJ        59  14     G0AEV         59  14                    
QSO: 28000 PH 2005-10-29 1207 EA1EBJ        59  14     MD4K          59  14                    
QSO:  7000 PH 2005-10-29 1212 EA1EBJ        59  14     MD4K          59  14                    
QSO:  7000 PH 2005-10-29 1214 EA1EBJ        59  14     GM5A          59  14                    
QSO:  7000 PH 2005-10-29 1216 EA1EBJ        59  14     MI0LLL        59  14                    
QSO: 21000 PH 2005-10-29 1243 EA1EBJ        59  14     SF50A         59  14                    
QSO: 21000 PH 2005-10-29 1248 EA1EBJ        59  14     ES5TV         59  15                    
QSO: 21000 PH 2005-10-29 1254 EA1EBJ        59  14     OH5Z          59  15                    
QSO: 21000 PH 2005-10-29 1305 EA1EBJ        59  14     EC5AAJ        59  14                    
QSO: 21000 PH 2005-10-29 1444 EA1EBJ        59  14     VE2IM         59  02                    
QSO: 21000 PH 2005-10-29 1450 EA1EBJ        59  14     YO3RU         59  20                    
QSO: 21000 PH 2005-10-29 1503 EA1EBJ        59  14     J48PL         59  20                    
QSO: 21000 PH 2005-10-29 1628 EA1EBJ        59  14     EA8URL        59  33                    
QSO: 21000 PH 2005-10-29 1709 EA1EBJ        59  14     VC3O          59  04                    
QSO: 21000 PH 2005-10-29 1714 EA1EBJ        59  14     AA1K          59  05                    
QSO: 21000 PH 2005-10-29 1715 EA1EBJ        59  14     N4CT          59  05                    
QSO: 21000 PH 2005-10-29 1729 EA1EBJ        59  14     XE2K          59  06                    
QSO: 21000 PH 2005-10-29 1730 EA1EBJ        59  14     W4MYA         59  05                    
QSO: 21000 PH 2005-10-29 1733 EA1EBJ        59  14     W4RM          59  05                    
QSO: 21000 PH 2005-10-29 1734 EA1EBJ        59  14     K5NZ          59  04                    
QSO: 21000 PH 2005-10-29 1738 EA1EBJ        59  14     K4SSU         59  05                    
QSO: 21000 PH 2005-10-29 1751 EA1EBJ        59  14     K1TTT         59  05                    
QSO:  7000 PH 2005-10-29 1757 EA1EBJ        59  14     RU1A          59  16                    
QSO:  7000 PH 2005-10-29 1812 EA1EBJ        59  14     SQ6Z          59  15                    
QSO:  7000 PH 2005-10-29 1815 EA1EBJ        59  14     RK4FD         59  16                    
QSO:  3500 PH 2005-10-29 1831 EA1EBJ        59  14     PC2T          59  14                    
QSO:  3500 PH 2005-10-29 1835 EA1EBJ        59  14     ON6MG         59  14                    
QSO:  3500 PH 2005-10-29 1837 EA1EBJ        59  14     IR4M          59  15                    
QSO:  3500 PH 2005-10-29 1840 EA1EBJ        59  14     OK5W          59  15                    
QSO:  3500 PH 2005-10-29 1842 EA1EBJ        59  14     LX/ON4ACA     59  14                    
QSO:  3500 PH 2005-10-29 1907 EA1EBJ        59  14     DF0CG         59  14                    
QSO:  3500 PH 2005-10-29 1910 EA1EBJ        59  14     IR4X          59  15                    
QSO:  3500 PH 2005-10-29 1914 EA1EBJ        59  14     SO9O          59  15                    
QSO:  3500 PH 2005-10-29 1942 EA1EBJ        59  14     OL7R          59  15                    
QSO:  3500 PH 2005-10-29 1944 EA1EBJ        59  14     M8C           59  14                    
QSO:  3500 PH 2005-10-29 1950 EA1EBJ        59  14     HB9FBS        59  14                    
QSO:  3500 PH 2005-10-29 1951 EA1EBJ        59  14     EA8/OH4NL     59  33                    
QSO:  3500 PH 2005-10-29 1958 EA1EBJ        59  14     OM7M          59  15                    
QSO:  3500 PH 2005-10-29 2003 EA1EBJ        59  14     9A1P          59  15                    
QSO:  3500 PH 2005-10-29 2005 EA1EBJ        59  14     PA0IJM        59  14                    
END-OF-LOG: 
