START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: KR8L
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: EM57pe
CLAIMED-SCORE:
NAME: William Parmley
OPERATORS: KR8L
CREATED-BY: WA7BNM Web2Cabrillo 2.07
SOAPBOX: Ran one watt to a vertical antenna. Challenging but fun!
QSO:   14000 CW 2026-05-30 2019 KR8L             599 001   CR2X             599  1948     
QSO:   14000 CW 2026-05-30 2021 KR8L             599 002   CT3KN            599  1737     
QSO:   14000 CW 2026-05-30 2218 KR8L             599 003   HG5E             599  1697     
QSO:   14000 CW 2026-05-30 2225 KR8L             599 004   TM6M             599  2038     
QSO:   14000 CW 2026-05-31 0215 KR8L             599 005   ED7W             599  1533     
QSO:   14000 CW 2026-05-31 0222 KR8L             599 006   9H6A             599  1492     
QSO:   14000 CW 2026-05-31 0235 KR8L             599 007   II2S             599  1773     
QSO:   14000 CW 2026-05-31 0326 KR8L             599 008   KH6AQ            599  911      
QSO:   14000 CW 2026-05-31 0336 KR8L             599 009   CN3A             599  2267     
QSO:   14000 CW 2026-05-31 0355 KR8L             599 010   S50R             599  1197     
QSO:   14000 CW 2026-05-31 0401 KR8L             599 011   YT1NP            599  2072     
QSO:   14000 CW 2026-05-31 0416 KR8L             599 012   CR3DX            599  4307     
QSO:   14000 CW 2026-05-31 1355 KR8L             599 013   XM3T             599  1973     
QSO:   14000 CW 2026-05-31 1410 KR8L             599 014   KM7W             599  2516     
QSO:   14000 CW 2026-05-31 1744 KR8L             599 015   XE2X             599  1193     
QSO:   14000 CW 2026-05-31 2358 KR8L             599 016   DQ2A             599  1198     
END-OF-LOG:
