START-OF-LOG: 2.0
CATEGORY: Single-OP low
CONTEST: WAE CW
ARRL-SECTION: DX
CALLSIGN: EC5AGM
CLUB:
CLAIMED-SCORE: 2325 puntos.
OPERATORS: EC5AGM
CREATED-BY: WinURECon 3.13 (Windows 7 64 bits), modified by DXHF upload.
QSO: 21000 CW 2017-08-12 1709 EC5AGM        599 001    PY5FB         599 337
QSO: 14000 CW 2017-08-12 1811 EC5AGM        599 002    A45WG         599 370
QSO: 14000 CW 2017-08-12 1824 EC5AGM        599 003    UI9I          599 123
QSO: 14000 CW 2017-08-12 1833 EC5AGM        599 004    TA7I          599 521
QSO: 21000 CW 2017-08-12 1855 EC5AGM        599 005    4X6FR         599 1005
QSO: 21000 CW 2017-08-12 1900 EC5AGM        599 006    PY4HO         599 124
QSO: 14000 CW 2017-08-12 2043 EC5AGM        599 007    ZM4T          599 189
QSO: 14000 CW 2017-08-12 2058 EC5AGM        599 008    N3RS          599 909
QSO: 14000 CW 2017-08-12 2112 EC5AGM        599 009    ZM1A          599 289
QSO: 14000 CW 2017-08-12 2122 EC5AGM        599 010    VP9/DL1YAF    599 139
QSO: 14000 CW 2017-08-12 2127 EC5AGM        599 011    K8MP          599 060
QSO: 14000 CW 2017-08-12 2129 EC5AGM        599 012    K1VR          599 681
QSO: 14000 CW 2017-08-12 2131 EC5AGM        599 013    VE2FK         599 360
QSO:  7000 CW 2017-08-12 2141 EC5AGM        599 014    VY2ZM         599 1151
QSO:  7000 CW 2017-08-12 2144 EC5AGM        599 015    K1MK          599 078
QSO:  7000 CW 2017-08-12 2149 EC5AGM        599 016    CG3AT         599 834
QSO:  7000 CW 2017-08-12 2153 EC5AGM        599 017    K1VR          599 702
QSO: 21000 CW 2017-08-13 0700 EC5AGM        599 018    4X4DZ         599 422
QSO: 14000 CW 2017-08-13 0718 EC5AGM        599 019    R0QA          599 451
QSO: 21000 CW 2017-08-13 0725 EC5AGM        599 020    P33W          599 1554
QSO: 21000 CW 2017-08-13 0731 EC5AGM        599 021    FH/DJ9RR      599 801
QSO: 14000 CW 2017-08-13 0830 EC5AGM        599 022    4Z4AK         599 1227
QSO: 21000 CW 2017-08-13 1050 EC5AGM        599 023    UP0L          599 1600
QSO: 21000 CW 2017-08-13 1051 EC5AGM        599 024    NR4M          599 1308
QSO: 21000 CW 2017-08-13 1053 EC5AGM        599 025    NR3X          599 1372
QSO: 21000 CW 2017-08-13 1104 EC5AGM        599 026    KD4D          599 1085
QSO: 21000 CW 2017-08-13 1108 EC5AGM        599 027    AA3B          599 1251
END-OF-LOG:
