START-OF-LOG: 3.0
ARRL-SECTION:
CALLSIGN: DO3PKE
CLAIMED-SCORE: 4572
CLUB: AFC-NL
CONTEST: CQ-WPX-RTTY
CREATED-BY: MixW 2.19
NAME: Peter
OPERATORS:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
QSO: ***** ** yyyy-mm-dd nnnn ************* nnn ****** ************* nnn ****** n
QSO:  3575 RY 2012-02-11 2239 DO3PKE        599 001    F/TU5KG       599 988    0
QSO:  3578 RY 2012-02-11 2245 DO3PKE        599 002    LY2BUU        599 406    0
QSO:  3596 RY 2012-02-11 2258 DO3PKE        599 003    OH8X          599 1340   0
QSO:  3595 RY 2012-02-11 2300 DO3PKE        599 004    7S5S          599 267    0
QSO:  3592 RY 2012-02-11 2302 DO3PKE        599 005    IQ4RA         599 547    0
QSO:  3589 RY 2012-02-11 2309 DO3PKE        599 006    3Z5W          599 565    0
QSO:  3588 RY 2012-02-11 2313 DO3PKE        599 007    SN2M          599 501    0
QSO:  3587 RY 2012-02-11 2315 DO3PKE        599 008    IW3IFJ        599 344    0
QSO:  3584 RY 2012-02-11 2320 DO3PKE        599 009    EA2RCF        599 1009   0
QSO:  3580 RY 2012-02-11 2327 DO3PKE        599 010    IK3ORD        599 467    0
QSO:  3578 RY 2012-02-11 2330 DO3PKE        599 011    F5OWT         599 090    0
QSO:  3577 RY 2012-02-11 2334 DO3PKE        599 012    RT9J          599 744    0
QSO:  3575 RY 2012-02-11 2336 DO3PKE        599 013    RV6LCI        599 174    0
QSO:  3574 RY 2012-02-11 2340 DO3PKE        599 014    DR7B          599 862    0
QSO:  3573 RY 2012-02-11 2341 DO3PKE        599 015    LA1TV         599 278    0
QSO:  3570 RY 2012-02-11 2343 DO3PKE        599 016    OZ4VW         599 373    0
QSO:  3569 RY 2012-02-11 2346 DO3PKE        599 017    IZ8JFL/1      599 410    0
QSO:  3606 RY 2012-02-11 2349 DO3PKE        599 018    S57PR         599 215    0
QSO:  3603 RY 2012-02-11 2351 DO3PKE        599 019    HF3A          599 807    0
QSO:  3596 RY 2012-02-12 0028 DO3PKE        599 020    DK5QN         599 141    0
QSO:  3582 RY 2012-02-12 0044 DO3PKE        599 021    DO5OT         599 143    0
QSO: 21080 RY 2012-02-12 1140 DO3PKE        599 022    US0MM         599 471    0
QSO: 21080 RY 2012-02-12 1142 DO3PKE        599 023    RK8I          599 676    0
QSO: 21087 RY 2012-02-12 1153 DO3PKE        599 024    ED5D          599 275    0
QSO: 21088 RY 2012-02-12 1157 DO3PKE        599 025    5D5A          599 2997   0
QSO: 21093 RY 2012-02-12 1210 DO3PKE        599 026    KN6DV         599 824    0
QSO: 21094 RY 2012-02-12 1215 DO3PKE        599 027    5C2P          599 557    0
QSO: 21098 RY 2012-02-12 1220 DO3PKE        599 028    K8PO          599 437    0
QSO: 21098 RY 2012-02-12 1225 DO3PKE        599 029    EE7T          599 1234   0
QSO: 21099 RY 2012-02-12 1231 DO3PKE        599 030    MM0EAX        599 674    0
QSO:  3578 RY 2012-02-12 1821 DO3PKE        599 031    EE1Z          599 338    0
QSO:  3586 RY 2012-02-12 1828 DO3PKE        599 032    SP6QKP        599 207    0
QSO:  3587 RY 2012-02-12 1829 DO3PKE        599 033    Z32XU         599 100    0
QSO:  3592 RY 2012-02-12 1838 DO3PKE        599 034    LX1NO         599 677    0
QSO:  3598 RY 2012-02-12 1844 DO3PKE        599 035    IK3HAR        599 216    0
QSO:  3599 RY 2012-02-12 1846 DO3PKE        599 036    DJ5HB         599 385    0
QSO:  3590 RY 2012-02-12 1858 DO3PKE        599 037    DK0OF         599 198    0
END-OF-LOG:
