START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: DK4VY
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 52038
CREATED-BY: RCKLog V3.25
OPERATORS: DK4VY
CLUB: RHEIN RUHR DX ASSOCIATION
NAME: Reiner Lüdtke
SOAPBOX: Kenwood TS-870  CPA Eagle verical Dipol  FD4  LW  micro Keyer II
SOAPBOX:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 14078 RY 2012-02-12 0955 DK4VY         599 001    UR0HQ         599 905    0
QSO: 14079 RY 2012-02-12 0959 DK4VY         599 002    UU4JO         599 443    0
QSO: 14079 RY 2012-02-12 1000 DK4VY         599 003    S55W          599 585    0
QSO: 14080 RY 2012-02-12 1001 DK4VY         599 004    IT9HBT        599 1115   0
QSO: 28082 RY 2012-02-12 1005 DK4VY         599 005    RY9C          599 740    0
QSO: 28084 RY 2012-02-12 1006 DK4VY         599 006    UA9TF         599 636    0
QSO: 28085 RY 2012-02-12 1007 DK4VY         599 007    UA4ALI        599 549    0
QSO: 28086 RY 2012-02-12 1010 DK4VY         599 008    R7MM          599 922    0
QSO: 28087 RY 2012-02-12 1015 DK4VY         599 009    UY8IF         599 061    0
QSO: 28089 RY 2012-02-12 1019 DK4VY         599 010    UN1L          599 1405   0
QSO: 28093 RY 2012-02-12 1023 DK4VY         599 011    RN6MA         599 480    0
QSO: 28096 RY 2012-02-12 1024 DK4VY         599 012    RG9A          599 2238   0
QSO: 28099 RY 2012-02-12 1026 DK4VY         599 013    RA9RR         599 307    0
QSO: 28099 RY 2012-02-12 1028 DK4VY         599 014    5B4AIF        599 985    0
QSO: 28105 RY 2012-02-12 1031 DK4VY         599 015    EA8MT         599 575    0
QSO: 28107 RY 2012-02-12 1035 DK4VY         599 016    R9SA          599 522    0
QSO: 28109 RY 2012-02-12 1036 DK4VY         599 017    ZC4LI         599 927    0
QSO: 28109 RY 2012-02-12 1037 DK4VY         599 018    RT9S          599 959    0
QSO: 28083 RY 2012-02-12 1039 DK4VY         599 019    5D5A          599 2868   0
QSO: 21080 RY 2012-02-12 1047 DK4VY         599 020    UC0A          599 1065   0
QSO: 21082 RY 2012-02-12 1050 DK4VY         599 021    UT7I          599 716    0
QSO: 21082 RY 2012-02-12 1052 DK4VY         599 022    US0MM         599 423    0
QSO: 21082 RY 2012-02-12 1054 DK4VY         599 023    RK8I          599 626    0
QSO: 21084 RY 2012-02-12 1058 DK4VY         599 024    YO3VU         599 375    0
QSO: 21084 RY 2012-02-12 1059 DK4VY         599 025    SV2GJV        599 469    0
QSO: 21086 RY 2012-02-12 1104 DK4VY         599 026    TA7AO         599 359    0
QSO: 21086 RY 2012-02-12 1106 DK4VY         599 027    R3GZ          599 273    0
QSO: 21087 RY 2012-02-12 1109 DK4VY         599 028    CS2P          599 1601   0
QSO: 21088 RY 2012-02-12 1114 DK4VY         599 029    5C2P          599 495    0
QSO: 21089 RY 2012-02-12 1115 DK4VY         599 030    US1IV         599 156    0
QSO: 21089 RY 2012-02-12 1116 DK4VY         599 031    ED5D          599 222    0
QSO: 21090 RY 2012-02-12 1125 DK4VY         599 032    5D5A          599 2938   0
QSO: 21092 RY 2012-02-12 1127 DK4VY         599 033    EA5HT         599 654    0
QSO: 21093 RY 2012-02-12 1128 DK4VY         599 034    EO3Q          599 1236   0
QSO: 21093 RY 2012-02-12 1130 DK4VY         599 035    RT4F          599 315    0
QSO: 21095 RY 2012-02-12 1132 DK4VY         599 036    KN6DV         599 774    0
QSO: 21096 RY 2012-02-12 1136 DK4VY         599 037    OH8X          599 2011   0
QSO: 21098 RY 2012-02-12 1139 DK4VY         599 038    RN6MA         599 577    0
QSO: 21099 RY 2012-02-12 1140 DK4VY         599 039    US4LPY        599 919    0
QSO: 21099 RY 2012-02-12 1141 DK4VY         599 040    ED2Y          599 1129   0
QSO: 21100 RY 2012-02-12 1141 DK4VY         599 041    EA5BZ         599 086    0
QSO: 21101 RY 2012-02-12 1142 DK4VY         599 042    EE7T          599 1192   0
QSO: 21106 RY 2012-02-12 1144 DK4VY         599 043    UZ2M          599 2492   0
QSO: 21107 RY 2012-02-12 1146 DK4VY         599 044    Z37M          599 753    0
QSO: 21108 RY 2012-02-12 1147 DK4VY         599 045    R6DX          599 913    0
QSO: 21110 RY 2012-02-12 1152 DK4VY         599 046    TF3PPN        599 239    0
QSO: 21112 RY 2012-02-12 1153 DK4VY         599 047    UW4I          599 1041   0
