START-OF-LOG: 3.0
CREATED-BY: HMRA public YU DX downloader
CONTEST: YU-DX-CONTEST
CALLSIGN: R5AF
OPERATORS: R5AF
CATEGORY: A. (SO-AB CW QRP <= 5 W) (Out of Serbia)
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: QRP
SOAPBOX: Recreated from YU DX public QSO table for 2020.
SOAPBOX: Public Error Summary rows are ignored; QSO rows include adjudication status.
SOAPBOX: Source: https://yudx.yu1srs.org.rs/results?year=2020
SOAPBOX: Published final score: 19992.
QSO:  7000 CW 2020-04-18 0700 R5AF          599 1          RC9J          599 1         
QSO:  7000 CW 2020-04-18 0702 R5AF          599 2          UR7QC         599 3         
QSO:  7000 CW 2020-04-18 0716 R5AF          599 3          UY2IG         599 9         
QSO:  7000 CW 2020-04-18 0717 R5AF          599 4          RV3ZD         599 7         
QSO:  7000 CW 2020-04-18 0718 R5AF          599 5          R7AT          599 23        
QSO:  7000 CW 2020-04-18 0721 R5AF          599 6          SP1C          599 11        
QSO:  7000 CW 2020-04-18 0722 R5AF          599 8          YT4T          599 BGD       
QSO:  7000 CW 2020-04-18 0724 R5AF          599 7          LZ3QE         599 35        
QSO:  7000 CW 2020-04-18 0725 R5AF          599 9          EU8U          599 38        
QSO:  7000 CW 2020-04-18 0729 R5AF          599 10         SP7P          599 20        
QSO:  7000 CW 2020-04-18 0730 R5AF          599 11         YL3GQ         599 22        
QSO:  7000 CW 2020-04-18 0736 R5AF          599 12         LA7SI         599 10        
QSO:  7000 CW 2020-04-18 0742 R5AF          599 13         UT1WW         599 18        
QSO:  7000 CW 2020-04-18 0745 R5AF          599 14         SF0A          599 16        
QSO:  7000 CW 2020-04-18 0748 R5AF          599 15         UA3R          599 29        
QSO:  7000 CW 2020-04-18 0751 R5AF          599 16         UA3RBR        599 42        
QSO:  7000 CW 2020-04-18 0754 R5AF          599 17         YU1BFG        599 BRA       
QSO:  7000 CW 2020-04-18 0757 R5AF          599 18         UA5C          599 55        
QSO:  7000 CW 2020-04-18 0800 R5AF          599 19         SP2R          599 39        
QSO:  7000 CW 2020-04-18 0802 R5AF          599 20         SP1AEN        599 52        
QSO: 14000 CW 2020-04-18 0808 R5AF          599 21         R8WO          599 9         
QSO: 14000 CW 2020-04-18 0810 R5AF          599 22         LZ5R          599 96        
QSO: 14000 CW 2020-04-18 0811 R5AF          599 23         YT1Q          599 SUM       
QSO: 14000 CW 2020-04-18 0812 R5AF          599 24         RX9CM         599 50        
QSO: 14000 CW 2020-04-18 0813 R5AF          599 25         F8NAN         599 35        
QSO: 14000 CW 2020-04-18 0814 R5AF          599 26         RA7R          599 12        
QSO: 14000 CW 2020-04-18 0815 R5AF          599 27         4Z5LU         599 5         
QSO: 14000 CW 2020-04-18 0817 R5AF          599 28         F5IN          599 98        
QSO: 14000 CW 2020-04-18 0819 R5AF          599 29         YP6C          599 12        
QSO: 14000 CW 2020-04-18 0821 R5AF          599 30         PD1RP         599 18        
QSO: 14000 CW 2020-04-18 0822 R5AF          599 31         HG20ME        599 32        
QSO: 14000 CW 2020-04-18 0824 R5AF          599 32         F5PAL         599 52        
QSO: 14000 CW 2020-04-18 0825 R5AF          599 33         R7MT          599 30        
QSO: 14000 CW 2020-04-18 0825 R5AF          599 34         E73KM         599 11        
QSO: 14000 CW 2020-04-18 0827 R5AF          599 35         DL0WW         599 24        
QSO: 14000 CW 2020-04-18 0827 R5AF          599 36         IK1ZFO        599 23        
QSO: 14000 CW 2020-04-18 0830 R5AF          599 37         YT4T          599 BGD       
QSO: 14000 CW 2020-04-18 0830 R5AF          599 38         YU0W          599 BGD       
QSO: 14000 CW 2020-04-18 0831 R5AF          599 39         YU1YV         599 RAS       
QSO: 14000 CW 2020-04-18 0833 R5AF          599 40         R7AT          599 110       
QSO: 14000 CW 2020-04-18 0834 R5AF          599 41         OR5T          599 102       
QSO: 14000 CW 2020-04-18 0836 R5AF          599 42         UN9GD         599 71        
QSO: 14000 CW 2020-04-18 0844 R5AF          599 43         YT1Z          599 ZAJ       
QSO: 14000 CW 2020-04-18 0845 R5AF          599 44         YT5M          599 MAC       
QSO: 14000 CW 2020-04-18 0846 R5AF          599 45         F5LPY         599 55        
QSO: 14000 CW 2020-04-18 0847 R5AF          599 46         S57DX         599 111       
QSO: 14000 CW 2020-04-18 0849 R5AF          599 47         IK1RGK        599 12        
QSO: 14000 CW 2020-04-18 0852 R5AF          599 48         YT2ISM        599 RAS       
QSO: 14000 CW 2020-04-18 0853 R5AF          599 49         RC9J          599 133       
