START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: HA3LN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: LOW
OPERATORS: HA3LN
QSO: 14016 CW 2026-04-11 1201 HA3LN         599 28     RT2C          599 CU    
QSO: 14012 CW 2026-04-11 1205 HA3LN         599 28     IT9/DK6XZ     599 28    
QSO: 14011 CW 2026-04-11 1205 HA3LN         599 28     MM0T          599 27    
QSO: 14010 CW 2026-04-11 1206 HA3LN         599 28     RN4K          599 PG    
QSO: 14011 CW 2026-04-11 1207 HA3LN         599 28     MM0T          599 27    
QSO: 14011 CW 2026-04-11 1208 HA3LN         599 28     R4BD          599 29    
QSO: 14014 CW 2026-04-11 1209 HA3LN         599 28     PA3AAV        599 27    
QSO: 14014 CW 2026-04-11 1209 HA3LN         599 28     UA3QGT        599 29    
QSO: 14017 CW 2026-04-11 1211 HA3LN         599 28     UA5L          599 YG    
QSO: 14018 CW 2026-04-11 1211 HA3LN         599 28     RA5G          599 29    
QSO: 14021 CW 2026-04-11 1213 HA3LN         599 28     R5AG          599 AL    
QSO: 14022 CW 2026-04-11 1215 HA3LN         599 28     RW1A          599 PR    
QSO: 14022 CW 2026-04-11 1216 HA3LN         599 28     RF9C          599 AM    
QSO: 14024 CW 2026-04-11 1218 HA3LN         599 28     RT3F          599 CP    
QSO: 14028 CW 2026-04-11 1219 HA3LN         599 28     RN6AT         599 29    
QSO: 14030 CW 2026-04-11 1220 HA3LN         599 28     RN9N          599 30    
QSO: 14031 CW 2026-04-11 1221 HA3LN         599 28     RD6OK         599 29    
QSO: 14032 CW 2026-04-11 1221 HA3LN         599 28     UC4Y          599 29    
QSO: 14035 CW 2026-04-11 1222 HA3LN         599 28     RD1T          599 RA    
QSO: 14035 CW 2026-04-11 1223 HA3LN         599 28     RN3QO         599 29    
QSO: 14038 CW 2026-04-11 1223 HA3LN         599 28     IZ8FWN        599 28    
QSO: 14041 CW 2026-04-11 1224 HA3LN         599 28     RG2X          599 RK    
QSO: 14042 CW 2026-04-11 1224 HA3LN         599 28     F6HKA         599 27    
QSO: 14045 CW 2026-04-11 1227 HA3LN         599 28     UN8PT         599 30    
QSO: 14049 CW 2026-04-11 1228 HA3LN         599 28     RX7T          599 29    
QSO: 14049 CW 2026-04-11 1229 HA3LN         599 28     RN4SC         599 29    
QSO: 14053 CW 2026-04-11 1230 HA3LN         599 28     OY1CT         599 18    
QSO: 21011 CW 2026-04-11 1231 HA3LN         599 28     4X6FR         599 39    
QSO: 21011 CW 2026-04-11 1233 HA3LN         599 28     RT4F          599 FI    
QSO: 21033 CW 2026-04-11 1234 HA3LN         599 28     CT1DRB        599 37    
QSO: 14045 CW 2026-04-11 1236 HA3LN         599 28     RK3PWA        599 BZ    
QSO: 14044 CW 2026-04-11 1236 HA3LN         599 28     RK6O          599 29    
QSO: 14043 CW 2026-04-11 1239 HA3LN         599 28     R8IZ          599 PL    
QSO: 14043 CW 2026-04-11 1240 HA3LN         599 28     PA0CT         599 27    
QSO: 14042 CW 2026-04-11 1241 HA3LN         599 28     RD0A          599 RV    
QSO: 14041 CW 2026-04-11 1241 HA3LN         599 28     RC6U          599 29    
QSO: 14040 CW 2026-04-11 1243 HA3LN         599 28     R9YU          599 AT    
QSO: 14038 CW 2026-04-11 1243 HA3LN         599 28     RZ9UO         599 31    
