START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: 9A2JK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 9A2JK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2010.
QSO: 21084 RY 2010-09-25 1512 9A2JK         599 15 DX YB4IR         599 28 DX
QSO: 21000 RY 2010-09-25 1515 9A2JK         599 15 DX ZS2DL         599 38 DX
QSO: 21090 RY 2010-09-25 1517 9A2JK         599 15 DX W0LSD         599 4 CO
QSO: 21093 RY 2010-09-25 1520 9A2JK         599 15 DX PG3N          599 14 DX
QSO: 21095 RY 2010-09-25 1521 9A2JK         599 15 DX GW4BLE        599 14 GW
QSO: 21104 RY 2010-09-25 1526 9A2JK         599 15 DX G3V           599 14 DX
QSO: 21107 RY 2010-09-25 1535 9A2JK         599 15 DX HZ1PS         599 21 DX
QSO: 28000 RY 2010-09-25 1544 9A2JK         599 15 DX LS1D          599 13 DX
QSO: 28094 RY 2010-09-25 1548 9A2JK         599 15 DX PY2MTV        599 11 DX
QSO: 28084 RY 2010-09-25 1600 9A2JK         599 15 DX 5N7M          599 35 DX
QSO: 28090 RY 2010-09-25 1605 9A2JK         599 15 DX PY2SEX        599 11 DX
QSO: 14085 RY 2010-09-25 1648 9A2JK         599 15 DX K1TTT         599 05 MA
QSO: 14000 RY 2010-09-25 1651 9A2JK         599 15 DX VE6WQ         599 04 AB
QSO: 14064 RY 2010-09-25 1654 9A2JK         599 15 DX TF3AO         599 40 TF
QSO: 14066 RY 2010-09-25 1656 9A2JK         599 15 DX N8BJQ         599 04 OH
