START-OF-LOG: 3.0
CALLSIGN: YB2ECG
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 1008
NAME: SARDJANA
LOCATION: DX
OPERATORS: YB2ECG
CLUB: YB LAND DX CLUB
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7591.0
SOAPBOX: Just playing with my EFHW and got some fun.
QSO: 14145 PH 2019-03-30 0541 YB2ECG        59  0001   YC8EJ         59  0050
QSO: 14249 PH 2019-03-30 0547 YB2ECG        59  0002   JE3RPM        59  0073
QSO: 14224 PH 2019-03-30 0555 YB2ECG        59  0003   BD7MQ         59  0239
QSO: 14255 PH 2019-03-30 0558 YB2ECG        59  0004   DU1R          59  0089
QSO: 14222 PH 2019-03-30 0632 YB2ECG        59  0005   9M6MI         59  0105
QSO: 14145 PH 2019-03-30 0658 YB2ECG        59  0006   YC6RMT        59  0151
QSO: 14221 PH 2019-03-30 0700 YB2ECG        59  0007   9M2ZAK        59  0118
QSO:  7130 PH 2019-03-30 0721 YB2ECG        59  0008   YD2KJC        59  0054
QSO:  7175 PH 2019-03-30 0723 YB2ECG        59  0009   YB3DY         59  0049
QSO: 14223 PH 2019-03-30 0729 YB2ECG        59  0010   BG7JJW        59  0249
QSO: 14178 PH 2019-03-30 0745 YB2ECG        59  0011   E2A           59  0350
QSO: 14000 PH 2019-03-30 1214 YB2ECG        59  0012   YB7SKM        59  0053
QSO: 14000 PH 2019-03-30 1218 YB2ECG        59  0013   YC2BDL        59  0077
QSO: 14205 PH 2019-03-30 1243 YB2ECG        59  0014   9M4COO        59  0055
QSO: 14248 PH 2019-03-30 1245 YB2ECG        59  0015   E20WUE        59  0098
QSO: 14209 PH 2019-03-30 1330 YB2ECG        59  0016   UW1M          59  1139
QSO: 14232 PH 2019-03-30 2305 YB2ECG        59  0017   BG2WRJ        59  0263
QSO: 14183 PH 2019-03-30 2320 YB2ECG        59  0018   BI8FZA        59  0753
QSO: 14208 PH 2019-03-30 2335 YB2ECG        59  0019   9M6IH         59  0283
QSO: 14189 PH 2019-03-31 0000 YB2ECG        59  0020   JA7NVF        59  0326
QSO: 14218 PH 2019-03-31 0003 YB2ECG        59  0021   RX0L          59  0223
QSO: 14185 PH 2019-03-31 0004 YB2ECG        59  0022   BA7QT         59  0320
END-OF-LOG:
