START-OF-LOG: 3.0
CALLSIGN: GM4UYZ
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 11040
NAME: Bob Glasgow
LOCATION: DX
OPERATORS: GM4UYZ
CLUB: Cockenzie and Port Seton ARC
CERTIFICATE: NO
CREATED-BY: Win-Test 4.28.0
SOAPBOX: A bit of a struggle but enjoyable all the same
QSO: 14205 PH 2019-03-30 1010 GM4UYZ        59  0001   CR6P          59  615
QSO: 14115 PH 2019-03-30 1014 GM4UYZ        59  0002   YT1A          59  362
QSO: 14119 PH 2019-03-30 1015 GM4UYZ        59  0003   EE100V        59  164
QSO: 14163 PH 2019-03-30 1018 GM4UYZ        59  0004   LY29A         59  315
QSO: 14162 PH 2019-03-30 1020 GM4UYZ        59  0005   YT0A          59  470
QSO: 14188 PH 2019-03-30 1024 GM4UYZ        59  0006   IO9A          59  816
QSO: 14228 PH 2019-03-30 1025 GM4UYZ        59  0007   SN2B          59  225
QSO: 14220 PH 2019-03-30 1027 GM4UYZ        59  0008   S50R          59  176
QSO: 14252 PH 2019-03-30 1029 GM4UYZ        59  0009   RJ4P          59  961
QSO: 14280 PH 2019-03-30 1035 GM4UYZ        59  0010   YL2BJ         59  245
QSO: 14282 PH 2019-03-30 1037 GM4UYZ        59  0011   UA5L          59  1559
QSO: 14309 PH 2019-03-30 1042 GM4UYZ        59  0012   UD4F          59  653
QSO: 14313 PH 2019-03-30 1043 GM4UYZ        59  0013   RU1A          59  1275
QSO: 14321 PH 2019-03-30 1044 GM4UYZ        59  0014   OM70KAP       59  491
QSO: 14330 PH 2019-03-30 1045 GM4UYZ        59  0015   S57DX         59  485
QSO: 14332 PH 2019-03-30 1046 GM4UYZ        59  0016   LY7Z          59  1170
QSO: 14105 PH 2019-03-30 1048 GM4UYZ        59  0017   OH6K          59  387
QSO:  7091 PH 2019-03-30 1055 GM4UYZ        59  0018   5P1B          59  051
QSO:  7154 PH 2019-03-30 1057 GM4UYZ        59  0019   OH0V          59  563
QSO:  7194 PH 2019-03-30 1059 GM4UYZ        59  0020   EI19RE        59  1123
QSO:  7185 PH 2019-03-30 1103 GM4UYZ        59  0021   IR6T          59  1161
QSO: 14107 PH 2019-03-30 1108 GM4UYZ        59  0022   RW3DU         59  227
QSO: 14147 PH 2019-03-30 1110 GM4UYZ        59  0023   ED7O          59  861
QSO: 14167 PH 2019-03-30 1111 GM4UYZ        59  0024   IK2YCW        59  345
QSO: 14170 PH 2019-03-30 1112 GM4UYZ        59  0025   J42L          59  799
QSO: 14183 PH 2019-03-30 1114 GM4UYZ        59  0026   HG1S          59  322
QSO: 14200 PH 2019-03-30 1115 GM4UYZ        59  0027   IK0PHY        59  363
QSO: 14208 PH 2019-03-30 1117 GM4UYZ        59  0028   EA5DFV        59  598
QSO: 14210 PH 2019-03-30 1118 GM4UYZ        59  0029   IR6T          59  348
