START-OF-LOG: 3.0
CALLSIGN: KF5MU
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 19352
NAME: Paul Masuy
LOCATION: KY
OPERATORS: KF5MU
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7583.0
SOAPBOX: Enjoyed the party.  Looking forward to more  QSO parties.
QSO: 14000 PH 2019-03-30 0003 KF5MU         59  0001   N6JV          59  0006
QSO: 14000 PH 2019-03-30 0005 KF5MU         59  0002   K7JQ          59  0006
QSO: 14000 PH 2019-03-30 0007 KF5MU         59  0003   NR5W          59  0018
QSO: 14000 PH 2019-03-30 0012 KF5MU         59  0004   WC6H          59  0029
QSO: 14000 PH 2019-03-30 0014 KF5MU         59  0005   NO6T          59  0034
QSO: 14000 PH 2019-03-30 0022 KF5MU         59  0006   N6WIN         59  0032
QSO:  7000 PH 2019-03-30 0028 KF5MU         59  0007   KB1LZ         59  0058
QSO:  7000 PH 2019-03-30 0035 KF5MU         59  0008   K1LZ          59  0076
QSO:  7000 PH 2019-03-30 0038 KF5MU         59  0009   WU2X          59  0000
QSO:  7000 PH 2019-03-30 0041 KF5MU         59  0010   K5WA          59  0070
QSO:  7000 PH 2019-03-30 0048 KF5MU         59  0011   VP5P          59  0098
QSO:  7000 PH 2019-03-30 0051 KF5MU         59  0012   W0RIC         59  0138
QSO:  7000 PH 2019-03-30 0054 KF5MU         59  0013   VE4EA         59  0128
QSO:  7000 PH 2019-03-30 0057 KF5MU         59  0014   KI6QDH        59  0053
QSO:  7000 PH 2019-03-30 0059 KF5MU         59  0015   N2MM          59  0057
QSO:  7000 PH 2019-03-30 0101 KF5MU         59  0016   KT7E          59  0080
