START-OF-LOG: 3.0
CALLSIGN: F4GFT
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1
NAME: Andreas Schumm
LOCATION: DX
OPERATORS: F4GFT
CLUB:
CERTIFICATE: NO
CREATED-BY: cadif
SOAPBOX: SSB is tough for a small pistol like my station
QSO: 14116 PH 2019-03-30 0958 F4GFT         59 001 YT1A                    59 321
QSO: 14166 PH 2019-03-30 1000 F4GFT         59 002 YP0C                    59 443
QSO: 14185 PH 2019-03-30 1003 F4GFT         59 003 LZ9W                    59 429
QSO: 14201 PH 2019-03-30 1011 F4GFT         59 004 UC6K                    59 136
QSO: 14237 PH 2019-03-30 1019 F4GFT         59 005 RZ3Q                    59 619
QSO: 14113 PH 2019-03-30 1028 F4GFT         59 006 CN2CO                   59 1488
QSO: 14102 PH 2019-03-30 1030 F4GFT         59 007 R3XA                    59 492
QSO: 14167 PH 2019-03-30 1113 F4GFT         59 008 RX3APM                  59 617
QSO: 14187 PH 2019-03-30 1117 F4GFT         59 009 IO9A                    59 893
QSO: 14165 PH 2019-03-30 1613 F4GFT         59 010 RW3XZ                   59 718
QSO: 14300 PH 2019-03-30 1744 F4GFT         59 011 SX2AIU                  59 625
QSO: 14118 PH 2019-03-31 1021 F4GFT         59 012 RK7A                    59 1122
QSO: 14200 PH 2019-03-31 1023 F4GFT         59 013 SP1NY                   59 1339
QSO: 14237 PH 2019-03-31 1027 F4GFT         59 014 EW5Z                    59 2101
QSO: 14316 PH 2019-03-31 1035 F4GFT         59 015 YL7X                    59 688
QSO: 14212 PH 2019-03-31 1038 F4GFT         59 016 UW1M                    59 2654
END-OF-LOG:
