START-OF-LOG: 3.0
CALLSIGN: VO1ZAP
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 420
NAME: Paul Sherren
LOCATION: NL
CLUB:
CERTIFICATE: NO
CREATED-BY: RUMlogNG (4.2) by DL2RUM
SOAPBOX: 2nd contest ever.  Used a home made aluminium tent pole antenna.
QSO: 14281 PH 2019-03-30 1723 VO1ZAP        59  001    VO1IDX        59  400    0
QSO: 14000 PH 2019-03-30 1725 VO1ZAP        59  002    VE3DZ         59  1138   0
QSO: 14128 PH 2019-03-30 1728 VO1ZAP        59  003    VC6V          59  474    0
QSO: 14154 PH 2019-03-30 1732 VO1ZAP        59  004    WA1Z          59  1640   0
QSO: 14183 PH 2019-03-30 1735 VO1ZAP        59  005    WX3B          59  319    0
QSO: 14319 PH 2019-03-30 1743 VO1ZAP        59  006    IO5O          59  1865   0
QSO: 14278 PH 2019-03-30 1749 VO1ZAP        59  007    EA5DFV        59  786    0
QSO: 14320 PH 2019-03-30 1758 VO1ZAP        59  008    EF5T          59  95     0
QSO: 14248 PH 2019-03-30 1803 VO1ZAP        59  009    NW3Y          59  723    0
QSO: 14141 PH 2019-03-30 1926 VO1ZAP        59  010    IS0SWW        59  524    0
QSO: 14152 PH 2019-03-30 2003 VO1ZAP        59  011    K3LR          59  1181   0
QSO: 14155 PH 2019-03-30 2004 VO1ZAP        59  012    NN3W          59  1894   0
QSO: 14285 PH 2019-03-30 2036 VO1ZAP        59  013    D4C           59  1534   0
QSO: 14162 PH 2019-03-31 1847 VO1ZAP        59  014    K1LZ          59 3595   0
END-OF-LOG:
