START-OF-LOG: 3.0
CALLSIGN: LX/G1TPA
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 180848
NAME: Tor Lovas
LOCATION: DX
OPERATORS: G1TPA
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7591.0
SOAPBOX: Thank you Luxembourg for your hospitality, see you again next
SOAPBOX: year
QSO:  3774 PH 2019-03-30 0801 LX/G1TPA    59  0001   9A1A          59  0544
QSO:  3783 PH 2019-03-30 0803 LX/G1TPA    59  0002   OT5A          59  0304
QSO:  7200 PH 2019-03-30 0806 LX/G1TPA    59  0003   LZ9W          59  0819
QSO:  7195 PH 2019-03-30 0808 LX/G1TPA    59  0004   EI19RE        59  0818
QSO:  7178 PH 2019-03-30 0809 LX/G1TPA    59  0005   9A1A          59  0759
QSO:  7175 PH 2019-03-30 0811 LX/G1TPA    59  0006   OM70KAP       59  0699
QSO:  7171 PH 2019-03-30 0812 LX/G1TPA    59  0007   ED3M          59  0232
QSO:  7167 PH 2019-03-30 0814 LX/G1TPA    59  0008   CN3A          59  0646
QSO:  7158 PH 2019-03-30 0815 LX/G1TPA    59  0009   SP2KPD        59  0301
QSO:  7151 PH 2019-03-30 0816 LX/G1TPA    59  0010   9A73A         59  0880
QSO:  7141 PH 2019-03-30 0818 LX/G1TPA    59  0011   OM3BH         59  0853
QSO:  7096 PH 2019-03-30 0823 LX/G1TPA    59  0012   IK2YCW        59  0384
QSO:  7091 PH 2019-03-30 0824 LX/G1TPA    59  0013   OL9Z          59  0413
QSO: 14134 PH 2019-03-30 0829 LX/G1TPA    59  0014   UV5U          59  0306
QSO: 14136 PH 2019-03-30 0829 LX/G1TPA    59  0015   RL6M          59  0492
QSO: 14140 PH 2019-03-30 0831 LX/G1TPA    59  0016   UI6A          59  0184
QSO: 14144 PH 2019-03-30 0834 LX/G1TPA    59  0017   CR3DX         59  1053
