START-OF-LOG: 3.0
CALLSIGN: OK1NF/P
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 160M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 684
NAME: Jan Kraus
LOCATION: DX
CLUB: OK QRP Klub
CERTIFICATE: NO
CREATED-BY: TR4W v.4.65.0
SOAPBOX: Just a brief operation from a SOTA summit. Great fun!
QSO:  1800 PH 2019-03-30 2030 OK1NF/P       59  001    LC5K          59  043
QSO:  1800 PH 2019-03-30 2030 OK1NF/P       59  002    LY4ZZ         59  187
QSO:  1800 PH 2019-03-30 2033 OK1NF/P       59  003    IK0NMJ        59  015
QSO:  1800 PH 2019-03-30 2036 OK1NF/P       59  004    IQ4FA         59  161
QSO:  1800 PH 2019-03-30 2039 OK1NF/P       59  005    LY2J          59  812
QSO:  1800 PH 2019-03-30 2039 OK1NF/P       59  006    HG0R          59  280
QSO:  1800 PH 2019-03-30 2040 OK1NF/P       59  007    9A1A          59  394
QSO:  1800 PH 2019-03-30 2041 OK1NF/P       59  008    OK6Y          59  131
QSO:  1800 PH 2019-03-30 2043 OK1NF/P       59  009    SP3GTS        59  166
QSO:  1800 PH 2019-03-30 2043 OK1NF/P       59  010    SQ2NNN        59  121
QSO:  1800 PH 2019-03-30 2044 OK1NF/P       59  011    OK1JOK        59  090
QSO:  1800 PH 2019-03-30 2045 OK1NF/P       59  012    SQ1OD         59  767
QSO:  1800 PH 2019-03-30 2046 OK1NF/P       59  013    DK2OY         59 1108
QSO:  1800 PH 2019-03-30 2049 OK1NF/P       59  014    YT8A          59  207
QSO:  1800 PH 2019-03-30 2051 OK1NF/P       59  015    LY29A         59 2516
QSO:  1800 PH 2019-03-30 2054 OK1NF/P       59  016    II2S          59  121
QSO:  1800 PH 2019-03-30 2059 OK1NF/P       59  017    ON6CL         59  572
QSO:  1800 PH 2019-03-30 2102 OK1NF/P       59  018    OK1OA         59  276
QSO:  1800 PH 2019-03-30 2104 OK1NF/P       59  019    S573G         59  379
END-OF-LOG:
