START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: II0K
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: II0K
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2023.
QSO: 28005 CW 2023-07-08 1202 II0K          599 28 PX2A          599 15
QSO: 28000 CW 2023-07-08 1204 II0K          599 28 CX1AA         599 RCU
QSO: 28022 CW 2023-07-08 1207 II0K          599 28 OP0HQ         599 UBA
QSO: 28030 CW 2023-07-08 1213 II0K          599 28 EF8BBM        599 36
QSO: 28039 CW 2023-07-08 1215 II0K          599 28 A71HQ         599 QARS
QSO: 28040 CW 2023-07-08 1218 II0K          599 28 LU7HN         599 14
QSO: 28042 CW 2023-07-08 1218 II0K          599 28 EA8BQM        599 36
QSO: 28038 CW 2023-07-08 1219 II0K          599 28 M3AWD         599 27
QSO: 28043 CW 2023-07-08 1226 II0K          599 28 LZ5DD         599 28
QSO: 28030 CW 2023-07-08 1228 II0K          599 28 LW1F          599 14
QSO: 28027 CW 2023-07-08 1230 II0K          599 28 EF4HQ         599 URE
QSO: 28021 CW 2023-07-08 1232 II0K          599 28 EA8ZS         599 36
QSO: 28000 PH 2023-07-08 1235 II0K          59 28 LU3DK         59 14
QSO: 28018 CW 2023-07-08 1237 II0K          599 28 EA3X          599 37
QSO: 28490 PH 2023-07-08 1240 II0K          59 28 EF4HQ         59 URE
QSO: 28481 PH 2023-07-08 1241 II0K          59 28 EB1DJ         59 37
QSO: 28000 PH 2023-07-08 1242 II0K          59 28 YT0HQ         59 SRS
QSO: 28432 PH 2023-07-08 1243 II0K          59 28 YB0AGW        59 54
QSO: 21255 PH 2023-07-08 1252 II0K          59 28 YT0HQ         59 SRS
QSO: 28000 CW 2023-07-08 1253 II0K          599 28 YR0HQ         599 FRR
QSO: 21257 PH 2023-07-08 1255 II0K          59 28 5B4AIF        59 39
QSO: 21278 PH 2023-07-08 1257 II0K          59 28 PY4JW         59 15
QSO: 21308 PH 2023-07-08 1258 II0K          59 28 C37HQ         59 URA
QSO: 21309 PH 2023-07-08 1301 II0K          59 28 N2PP          59 08
QSO: 21326 PH 2023-07-08 1304 II0K          59 28 GR2HQ         59 RSGB
QSO: 28000 PH 2023-07-08 1304 II0K          59 28 V51MA         59 57
QSO: 21335 PH 2023-07-08 1305 II0K          59 28 MD7C          59 27
QSO: 28000 PH 2023-07-08 1308 II0K          59 28 PY6AA         59 LABRE
QSO: 28502 PH 2023-07-08 1312 II0K          59 28 HG0HQ         59 MRASZ
QSO: 28508 PH 2023-07-08 1312 II0K          59 28 TM0HQ         59 REF
QSO: 21000 PH 2023-07-08 1313 II0K          59 28 PJ4DX         59 11
QSO: 21236 PH 2023-07-08 1318 II0K          59 28 EF4HQ         59 URE
QSO: 21260 PH 2023-07-08 1319 II0K          59 28 TA3NE         59 39
QSO: 21272 PH 2023-07-08 1321 II0K          59 28 BG0CAB        59 42
QSO: 21262 PH 2023-07-08 1324 II0K          59 28 SV7QNV        59 28
QSO: 21207 PH 2023-07-08 1325 II0K          59 28 EA1FDJ        59 37
QSO: 21200 PH 2023-07-08 1326 II0K          59 28 N1UR          59 8
QSO: 21202 PH 2023-07-08 1333 II0K          59 28 N4OX          59 08
QSO: 21190 PH 2023-07-08 1335 II0K          59 28 ZX2B          59 15
QSO: 21214 PH 2023-07-08 1341 II0K          59 28 A47HQ         59 ROARS
QSO: 21225 PH 2023-07-08 1345 II0K          59 28 YB8RVI        59 54
QSO: 21262 PH 2023-07-08 1347 II0K          59 28 W3LL          59 08
QSO: 21284 PH 2023-07-08 1349 II0K          59 28 IK0PHY        59 28
QSO: 21300 PH 2023-07-08 1351 II0K          59 28 TF/4X6TT      59 17
QSO: 21311 PH 2023-07-08 1354 II0K          59 28 EE7P          59 37
QSO: 14005 CW 2023-07-08 1417 II0K          599 28 3Z0X          599 28
QSO: 14006 CW 2023-07-08 1418 II0K          599 28 DA0DX         599 28
QSO: 14007 CW 2023-07-08 1418 II0K          599 28 GR2HQ         599 RSGB
QSO: 14000 CW 2023-07-08 1420 II0K          599 28 P3X           599 39
QSO: 14011 CW 2023-07-08 1422 II0K          599 28 UP0L          599 30
QSO: 14016 CW 2023-07-08 1422 II0K          599 28 UF5A          599 29
QSO: 14014 CW 2023-07-08 1423 II0K          599 28 R6AF          599 29
QSO: 14014 CW 2023-07-08 1424 II0K          599 28 EU2F          599 29
QSO: 14020 CW 2023-07-08 1425 II0K          599 28 UR6EA         599 29
QSO: 14021 CW 2023-07-08 1426 II0K          599 28 YU1ED         599 28
QSO: 14021 CW 2023-07-08 1427 II0K          599 28 RK9CYA        599 30
QSO: 14000 CW 2023-07-08 1429 II0K          599 28 YR0HQ         599 FRR
QSO: 14022 CW 2023-07-08 1429 II0K          599 28 OH2HQ         599 SRAL
QSO: 14010 CW 2023-07-08 1431 II0K          599 28 OP0HQ         599 UBA
QSO: 14029 CW 2023-07-08 1433 II0K          599 28 RM9A          599 30
QSO: 14001 CW 2023-07-08 1435 II0K          599 28 UP2L          599 30
QSO: 14002 CW 2023-07-08 1437 II0K          599 28 UY2UZ         599 29
QSO: 14005 CW 2023-07-08 1437 II0K          599 28 UA4S          599 29
QSO: 14008 CW 2023-07-08 1440 II0K          599 28 UX1VX         599 29
QSO: 14010 CW 2023-07-08 1440 II0K          599 28 EA5OH         599 37
QSO: 14002 CW 2023-07-08 1443 II0K          599 28 UY2UZ         599 29
QSO: 14012 CW 2023-07-08 1443 II0K          599 28 UN1HQ         599 KFRR
QSO: 14033 CW 2023-07-08 1445 II0K          599 28 PA6HQ         599 VERON
QSO: 14017 CW 2023-07-08 1446 II0K          599 28 ER7HQ         599 ARM
QSO: 14017 CW 2023-07-08 1447 II0K          599 28 RX9CC         599 20
QSO: 14020 CW 2023-07-08 1448 II0K          599 28 LZ1ZF         599 28
QSO: 14024 CW 2023-07-08 1451 II0K          599 28 EF4HQ         599 URE
QSO: 14028 CW 2023-07-08 1453 II0K          599 28 SN0HQ         599 PZK
QSO: 14002 CW 2023-07-08 1454 II0K          599 28 OH1VR         599 18
QSO: 14025 CW 2023-07-08 1456 II0K          599 28 UA1F          599 19
QSO: 14025 CW 2023-07-08 1456 II0K          599 28 YL2KO         599 29
QSO: 14059 CW 2023-07-08 1457 II0K          599 28 SM6TOL        599 18
QSO: 14000 CW 2023-07-08 1459 II0K          599 28 EW1TO         599 29
QSO: 14011 CW 2023-07-08 1503 II0K          599 28 UW2U          599 29
QSO: 14032 CW 2023-07-08 1503 II0K          599 28 DA0HQ         599 DARC
QSO: 14064 CW 2023-07-08 1504 II0K          599 28 UY1HY         599 29
QSO: 14040 CW 2023-07-08 1506 II0K          599 28 OZ1HQ         599 EDR
QSO: 14019 CW 2023-07-08 1510 II0K          599 28 RK3ER         599 29
QSO: 14060 CW 2023-07-08 1511 II0K          599 28 EI0HQ         599 IRTS
QSO: 14005 CW 2023-07-08 1513 II0K          599 28 UA4S          599 29
QSO: 14054 CW 2023-07-08 1514 II0K          599 28 R4HQ          599 SRR
QSO: 14000 CW 2023-07-08 1515 II0K          599 28 K1LZ          599 8
QSO: 14051 CW 2023-07-08 1515 II0K          599 28 A71HQ         599 QARS
QSO: 14000 CW 2023-07-08 1518 II0K          599 28 YL5W          599 29
QSO: 14029 CW 2023-07-08 1518 II0K          599 28 YT0HQ         599 SRS
QSO: 14061 CW 2023-07-08 1518 II0K          599 28 M3AWD         599 27
QSO: 14036 CW 2023-07-08 1519 II0K          599 28 OK7W          599 28
QSO: 14027 CW 2023-07-08 1521 II0K          599 28 EA2BD         599 37
QSO: 14045 CW 2023-07-08 1527 II0K          599 28 SP7IIT        599 28
QSO: 14047 CW 2023-07-08 1528 II0K          599 28 SK9HQ         599 SSA
QSO: 14056 CW 2023-07-08 1529 II0K          599 28 UC4L          599 29
QSO: 14012 CW 2023-07-08 1531 II0K          599 28 RA9DZ         599 30
QSO: 14064 CW 2023-07-08 1531 II0K          599 28 RW9OW         599 31
QSO: 14070 CW 2023-07-08 1532 II0K          599 28 BA5CW         599 44
QSO: 28485 PH 2023-07-08 1547 II0K          59 28 DA0HQ         59 DARC
QSO: 28510 PH 2023-07-08 1551 II0K          59 28 EI0HQ         59 IRTS
QSO: 28493 PH 2023-07-08 1554 II0K          59 28 G0MTN         59 27
QSO: 28435 PH 2023-07-08 1559 II0K          59 28 OA4O          59 RCP
QSO: 28475 PH 2023-07-08 1600 II0K          59 28 GR2HQ         59 RSGB
QSO: 28435 PH 2023-07-08 1603 II0K          59 28 M6W           59 27
QSO: 28469 PH 2023-07-08 1605 II0K          59 28 LT4RCA        59 RCA
QSO: 28415 PH 2023-07-08 1612 II0K          59 28 EA8DHV        59 36
QSO: 21288 PH 2023-07-08 1628 II0K          59 28 SN0HQ         59 PZK
QSO: 21301 PH 2023-07-08 1632 II0K          59 28 OL7T          59 28
QSO: 21000 PH 2023-07-08 1633 II0K          59 28 LT4RCA        59 RCA
QSO: 21000 PH 2023-07-08 1633 II0K          59 28 LT4RCA        59 RCA
QSO: 21217 PH 2023-07-08 1636 II0K          59 28 PY8WW         59 13
QSO: 21193 PH 2023-07-08 1639 II0K          59 28 VE3AT         59 04
QSO: 21218 PH 2023-07-08 1649 II0K          59 28 YB1RQX        59 54
QSO: 21201 PH 2023-07-08 1651 II0K          59 28 W3LL          59 08
QSO: 21214 PH 2023-07-08 1658 II0K          59 28 PX2A          59 15
QSO: 21222 PH 2023-07-08 1700 II0K          59 28 NG1M          59 08
QSO: 21227 PH 2023-07-08 1701 II0K          59 28 KM3T          59 8
QSO: 21233 PH 2023-07-08 1703 II0K          59 28 E77EA         59 28
QSO: 21280 PH 2023-07-08 1703 II0K          59 28 DA0HQ         59 DARC
QSO: 21218 PH 2023-07-08 1704 II0K          59 28 SV9FBG        59 28
QSO: 21307 PH 2023-07-08 1708 II0K          59 28 JJ0PKS        59 45
