START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: JR3IIR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JR3IIR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2023.
QSO:  1823 CW 2023-07-08 1256 JR3IIR        599 45 8N8HQ         599 JARL
QSO:  1849 PH 2023-07-08 1258 JR3IIR        59 45 8N2HQ         59 JARL
QSO: 21321 PH 2023-07-08 2348 JR3IIR        59 45 8N8HQ         59 JARL
QSO: 21036 CW 2023-07-09 0043 JR3IIR        599 45 DS1TUW        599 44
QSO: 21042 CW 2023-07-09 0046 JR3IIR        599 45 E2HQ          599 RAST
QSO: 21023 CW 2023-07-09 0047 JR3IIR        599 45 BD3TR         599 44
QSO: 21014 CW 2023-07-09 0049 JR3IIR        599 45 DS0AHQ        599 44
QSO: 21026 CW 2023-07-09 0052 JR3IIR        599 45 B8HQ          599 CRAC
QSO: 21000 CW 2023-07-09 0053 JR3IIR        599 45 HL4CEL        599 44
QSO: 21000 CW 2023-07-09 0556 JR3IIR        599 45 YR0HQ         599 FRR
QSO: 21000 CW 2023-07-09 0600 JR3IIR        599 45 7A3HQ         599 ORARI
QSO: 21059 CW 2023-07-09 0601 JR3IIR        599 45 EV1R          599 29
QSO: 21051 CW 2023-07-09 0602 JR3IIR        599 45 LZ2PL         599 28
QSO: 21037 CW 2023-07-09 0605 JR3IIR        599 45 RC6U          599 29
QSO: 21038 CW 2023-07-09 0605 JR3IIR        599 45 DA0HQ         599 DARC
QSO: 21036 CW 2023-07-09 0606 JR3IIR        599 45 II9HQ         599 ARI
QSO: 21033 CW 2023-07-09 0607 JR3IIR        599 45 SN0HQ         599 PZK
QSO: 21029 CW 2023-07-09 0608 JR3IIR        599 45 HG0HQ         599 MRASZ
QSO: 21028 CW 2023-07-09 0609 JR3IIR        599 45 LZ0HQ         599 BFRA
QSO: 21027 CW 2023-07-09 0613 JR3IIR        599 45 RG6G          599 29
QSO: 21019 CW 2023-07-09 0615 JR3IIR        599 45 OH2HQ         599 SRAL
QSO: 21006 CW 2023-07-09 0618 JR3IIR        599 45 HA5JI         599 28
QSO: 21011 CW 2023-07-09 0619 JR3IIR        599 45 HG4I          599 28
QSO: 21015 CW 2023-07-09 0620 JR3IIR        599 45 RK3ER         599 29
QSO: 21021 CW 2023-07-09 0621 JR3IIR        599 45 SM2EKM        599 18
QSO: 21000 CW 2023-07-09 0622 JR3IIR        599 45 SD1A          599 18
QSO: 21022 CW 2023-07-09 0623 JR3IIR        599 45 OP0HQ         599 UBA
QSO: 21024 CW 2023-07-09 0624 JR3IIR        599 45 S50HQ         599 ZRS
QSO: 21026 CW 2023-07-09 0627 JR3IIR        599 45 DX0HQ         599 PARA
QSO: 21028 CW 2023-07-09 0805 JR3IIR        599 45 R4HQ          599 SRR
QSO: 21034 CW 2023-07-09 0807 JR3IIR        599 45 DL5YM         599 28
QSO: 21036 CW 2023-07-09 0807 JR3IIR        599 45 UN1HQ         599 KFRR
QSO: 21039 CW 2023-07-09 0808 JR3IIR        599 45 BI8CZM        599 43
QSO: 21040 CW 2023-07-09 0812 JR3IIR        599 45 EF4HQ         599 URE
QSO: 21042 CW 2023-07-09 0814 JR3IIR        599 45 EF6T          599 37
QSO: 21043 CW 2023-07-09 0815 JR3IIR        599 45 DD2D          599 28
QSO: 21043 CW 2023-07-09 0815 JR3IIR        599 45 OK7O          599 28
QSO: 21044 CW 2023-07-09 0816 JR3IIR        599 45 HG3N          599 28
QSO: 21000 CW 2023-07-09 0817 JR3IIR        599 45 DL2DXA        599 28
QSO: 21049 CW 2023-07-09 0818 JR3IIR        599 45 RW9DX         599 30
QSO: 21049 CW 2023-07-09 0819 JR3IIR        599 45 SM3PZG        599 18
QSO: 21052 CW 2023-07-09 0820 JR3IIR        599 45 EU1DC         599 29
QSO: 21053 CW 2023-07-09 0820 JR3IIR        599 45 JI1RXQ        599 45
QSO: 21053 CW 2023-07-09 0821 JR3IIR        599 45 YU7KW         599 28
QSO: 21055 CW 2023-07-09 0822 JR3IIR        599 45 DL4WA         599 28
QSO: 21056 CW 2023-07-09 0823 JR3IIR        599 45 DL3JAN        599 28
QSO: 21061 CW 2023-07-09 0824 JR3IIR        599 45 8N8HQ         599 JARL
QSO: 21061 CW 2023-07-09 0825 JR3IIR        599 45 SN6A          599 28
QSO: 21062 CW 2023-07-09 0825 JR3IIR        599 45 HA6P          599 28
QSO: 21063 CW 2023-07-09 0826 JR3IIR        599 45 JI1HFJ        599 45
