START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: EA3QC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: EA3QC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2023.
QSO: 14001 CW 2023-07-08 1246 EA3QC         599 37 LZ0HQ         599 BFRA
QSO: 14008 CW 2023-07-08 1249 EA3QC         599 37 LY7R          599 29
QSO: 14012 CW 2023-07-08 1253 EA3QC         599 37 HA2KMR        599 28
QSO: 14016 CW 2023-07-08 1255 EA3QC         599 37 HA7A          599 28
QSO: 14018 CW 2023-07-08 1258 EA3QC         599 37 EF4HQ         599 URE
QSO: 14021 CW 2023-07-08 1302 EA3QC         599 37 DL3JAN        599 28
QSO: 14000 CW 2023-07-08 1304 EA3QC         599 37 HG0HQ         599 MRASZ
QSO: 14200 PH 2023-07-08 1308 EA3QC         59 37 OE0HQ         59 OV
QSO: 14270 PH 2023-07-08 1314 EA3QC         59 37 ED8W          59 36
QSO: 14278 PH 2023-07-08 1316 EA3QC         59 37 E7HQ          59 ARABH
QSO: 14198 PH 2023-07-08 1329 EA3QC         59 37 SP7MC         59 28
QSO: 14204 PH 2023-07-08 1331 EA3QC         59 37 HG0HQ         59 MRASZ
QSO: 28013 CW 2023-07-08 1347 EA3QC         599 37 S50HQ         599 ZRS
QSO: 28016 CW 2023-07-08 1349 EA3QC         599 37 YT0HQ         599 SRS
QSO: 28027 CW 2023-07-08 1351 EA3QC         599 37 EF4HQ         599 URE
QSO: 28034 CW 2023-07-08 1354 EA3QC         599 37 GR2HQ         599 RSGB
QSO: 28452 PH 2023-07-08 1357 EA3QC         59 37 9A0HQ         59 HRS
QSO: 28007 CW 2023-07-08 1405 EA3QC         599 37 EE3O          599 37
QSO: 28038 CW 2023-07-08 1719 EA3QC         599 37 OP0HQ         599 UBA
QSO: 28415 PH 2023-07-08 1720 EA3QC         59 37 EA8DHV        59 36
QSO: 28485 PH 2023-07-08 1723 EA3QC         59 37 DA0HQ         59 DARC
QSO: 28024 CW 2023-07-08 1726 EA3QC         599 37 PJ2HQ         599 VRONA
QSO: 28498 PH 2023-07-08 1736 EA3QC         59 37 PA6HQ         59 VERON
QSO: 21212 PH 2023-07-08 1740 EA3QC         59 37 SV9FBG        59 28
QSO: 21000 CW 2023-07-08 1744 EA3QC         599 37 P3N           599 39
QSO: 21009 CW 2023-07-08 1746 EA3QC         599 37 DA0HQ         599 DARC
QSO: 21022 CW 2023-07-08 1748 EA3QC         599 37 OH2HQ         599 SRAL
QSO: 21046 CW 2023-07-08 1752 EA3QC         599 37 OG73X         599 18
QSO: 21047 CW 2023-07-08 1757 EA3QC         599 37 SK9HQ         599 SSA
QSO: 14001 CW 2023-07-08 1804 EA3QC         599 37 LZ6E          599 28
QSO: 14005 CW 2023-07-08 1808 EA3QC         599 37 9A1AA         599 28
QSO: 14007 CW 2023-07-08 1810 EA3QC         599 37 GR2HQ         599 RSGB
QSO: 14008 CW 2023-07-08 1812 EA3QC         599 37 TF3W          599 17
QSO: 14010 CW 2023-07-08 1816 EA3QC         599 37 UW2U          599 29
QSO: 14000 CW 2023-07-09 0458 EA3QC         599 37 K2LE          599 08
QSO: 14002 CW 2023-07-09 0501 EA3QC         599 37 K8AZ          599 8
QSO: 14005 CW 2023-07-09 0504 EA3QC         599 37 K7SV          599 08
QSO: 14006 CW 2023-07-09 0505 EA3QC         599 37 K0RF          599 07
QSO: 14012 CW 2023-07-09 0511 EA3QC         599 37 N4UU          599 8
QSO: 14017 CW 2023-07-09 0520 EA3QC         599 37 N9RV          599 6
QSO: 14019 CW 2023-07-09 0549 EA3QC         599 37 YO9RIJ        599 28
QSO: 14021 CW 2023-07-09 0550 EA3QC         599 37 YO3GCL        599 28
QSO: 14021 CW 2023-07-09 0553 EA3QC         599 37 OH2HQ         599 SRAL
QSO: 14023 CW 2023-07-09 0555 EA3QC         599 37 N4SS          599 08
QSO: 14000 CW 2023-07-09 0557 EA3QC         599 37 Z30HQ         599 RSM
QSO: 14027 CW 2023-07-09 0559 EA3QC         599 37 N3AD          599 08
QSO: 14028 CW 2023-07-09 0604 EA3QC         599 37 YT0HQ         599 SRS
QSO: 14030 CW 2023-07-09 0606 EA3QC         599 37 AB3CX         599 08
QSO: 14032 CW 2023-07-09 0610 EA3QC         599 37 DA0HQ         599 DARC
QSO: 14036 CW 2023-07-09 0611 EA3QC         599 37 K1LZ          599 8
QSO: 14037 CW 2023-07-09 0613 EA3QC         599 37 K8MP          599 8
QSO: 14040 CW 2023-07-09 0616 EA3QC         599 37 K6ZH          599 06
