START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: G3XTT
CATEGORY: SINGLE-OP ALL HIGH MIXED
CATEGORY-OVERLAY: 
CLAIMED-SCORE: 81468
CLUB: 
CONTEST: EUHFC
OPERATORS: 
NAME: Don Field
ADDRESS: 105 Shiplake Bottom Peppard Henley on Thames RG9 5HJ G
ADDRESS: 
QSO: 28000 CW 2012-08-04 1218 G3XTT         599 68     G0ORH         599 91
QSO: 28000 CW 2012-08-04 1218 G3XTT         599 68     4O3A          599 81
QSO: 28000 CW 2012-08-04 1218 G3XTT         599 68     9A1AA         599 77
QSO: 28000 CW 2012-08-04 1221 G3XTT         599 68     LY2BAW        599 71
QSO: 28000 CW 2012-08-04 1221 G3XTT         599 68     S50R          599 65
QSO: 28000 CW 2012-08-04 1222 G3XTT         599 68     E74Y          599 70
QSO: 28000 CW 2012-08-04 1222 G3XTT         599 68     IZ1GLX        599 04
QSO: 28000 CW 2012-08-04 1223 G3XTT         599 68     YT5A          599 86
QSO: 28000 CW 2012-08-04 1223 G3XTT         599 68     YT5W          599 66
QSO: 28000 CW 2012-08-04 1225 G3XTT         599 68     S52AW         599 71
QSO: 28000 PH 2012-08-04 1226 G3XTT         59  68     S53F          59  83
QSO: 28000 PH 2012-08-04 1227 G3XTT         59  68     E7DX          59  88
QSO: 28000 PH 2012-08-04 1227 G3XTT         59  68     S53EO         59  63
QSO: 28000 PH 2012-08-04 1228 G3XTT         59  68     TK4LS         59  09
QSO: 28000 PH 2012-08-04 1228 G3XTT         59  68     IT9BUN        59  97
QSO: 28000 PH 2012-08-04 1229 G3XTT         59  68     EC5SP         59  85
QSO: 28000 PH 2012-08-04 1230 G3XTT         59  68     E7CW          59  95
QSO: 28000 PH 2012-08-04 1230 G3XTT         59  68     LY2AE         59  67
QSO: 28000 PH 2012-08-04 1231 G3XTT         59  68     IT9GSF        59  81
QSO: 28000 PH 2012-08-04 1232 G3XTT         59  68     EA5DFV        59  82
QSO: 28000 PH 2012-08-04 1232 G3XTT         59  68     YT0W          59  83
QSO: 28000 PH 2012-08-04 1233 G3XTT         59  68     IZ3AYQ        59  01
QSO: 28000 PH 2012-08-04 1233 G3XTT         59  68     EA5HJO        59  95
QSO: 21000 CW 2012-08-04 1234 G3XTT         599 68     YT5W          599 66
QSO: 21000 CW 2012-08-04 1235 G3XTT         599 68     IK8TEO        599 92
QSO: 21000 CW 2012-08-04 1235 G3XTT         599 68     9A3VM         599 69
QSO: 21000 CW 2012-08-04 1236 G3XTT         599 68     LZ1RF         599 75
QSO: 21000 CW 2012-08-04 1236 G3XTT         599 68     G0ORH         599 91
QSO: 21000 CW 2012-08-04 1237 G3XTT         599 68     S57WJ         599 89
QSO: 21000 CW 2012-08-04 1238 G3XTT         599 68     YT2AAA        599 07
QSO: 21000 CW 2012-08-04 1239 G3XTT         599 68     HA6P          599 85
QSO: 21000 CW 2012-08-04 1239 G3XTT         599 68     LY2J          599 84
QSO: 21000 CW 2012-08-04 1241 G3XTT         599 68     4O3A          599 81
QSO: 21000 CW 2012-08-04 1243 G3XTT         599 68     IK2HDF        599 86
QSO: 21000 CW 2012-08-04 1246 G3XTT         599 68     S53MM         599 92
QSO: 21000 CW 2012-08-04 1246 G3XTT         599 68     RU4SO         599 91
QSO: 21000 CW 2012-08-04 1247 G3XTT         599 68     RA6CZ/P       599 73
QSO: 21000 CW 2012-08-04 1247 G3XTT         599 68     LY4G          599 05
QSO: 21000 PH 2012-08-04 1248 G3XTT         59  68     EA5HJO        59  95
QSO: 21000 PH 2012-08-04 1249 G3XTT         59  68     IZ5RKC        59  09
QSO: 21000 PH 2012-08-04 1250 G3XTT         59  68     ES5TV         59  92
QSO: 21000 PH 2012-08-04 1250 G3XTT         59  68     YL1XN         59  10
QSO: 21000 PH 2012-08-04 1251 G3XTT         59  68     ES5RY         59  79
QSO: 21000 PH 2012-08-04 1251 G3XTT         59  68     IZ5MMB        59  07
QSO: 21000 PH 2012-08-04 1252 G3XTT         59  68     LY2AE         59  67
QSO: 21000 PH 2012-08-04 1252 G3XTT         59  68     IZ3KKE        59  06
QSO: 21000 PH 2012-08-04 1253 G3XTT         59  68     I2WIJ         59  73
QSO: 21000 PH 2012-08-04 1254 G3XTT         59  68     9A7R          59  72
QSO: 21000 PH 2012-08-04 1256 G3XTT         59  68     EC1DBO        59  98
QSO: 21000 PH 2012-08-04 1257 G3XTT         59  68     IQ2LS         59  91
QSO: 14000 CW 2012-08-04 1301 G3XTT         599 68     SA1A          599 89
