START-OF-LOG: 2.0
CATEGORY: Single-OP low
CONTEST: WAE SSB
CALLSIGN: SP8DR
LOCATOR: ko10rk
PROVINCE:
CLAIMED-SCORE: 0
CREATED-BY: Cabrillo_gen v.2.2.0 - (c) SP7DQR, modified by DXHF upload.
QSO: 14000 PH 2023-09-09 0448 SP8DR         59            1 VL4U          59           55
QSO: 14000 PH 2023-09-09 0450 SP8DR         59            2 4X0T          59          149
QSO: 14000 PH 2023-09-09 0455 SP8DR         59            3 V3O           59          183
QSO: 14000 PH 2023-09-09 0457 SP8DR         59            4 PR1T          59          133
QSO:  7000 PH 2023-09-09 0518 SP8DR         59            5 FY5KE         59          284
QSO:  7000 PH 2023-09-09 0521 SP8DR         59            6 K1LZ          59          355
QSO:  7000 PH 2023-09-09 0525 SP8DR         59            7 PY8WW         59          104
QSO: 14000 PH 2023-09-09 0533 SP8DR         59            8 TI1K          59           80
QSO: 28000 PH 2023-09-09 1425 SP8DR         59            9 PJ4DX         59          162
QSO: 28000 PH 2023-09-09 1426 SP8DR         59           10 ZW2N          59          449
QSO: 28000 PH 2023-09-09 1429 SP8DR         59           11 PR1T          59          692
QSO: 28000 PH 2023-09-09 1433 SP8DR         59           12 PP4T          59          865
QSO: 21000 PH 2023-09-09 1438 SP8DR         59           13 K1RM          59          294
QSO: 21000 PH 2023-09-09 1439 SP8DR         59           14 4X7R          59          982
QSO: 21000 PH 2023-09-09 1440 SP8DR         59           15 A44A          59          527
QSO: 21000 PH 2023-09-09 1443 SP8DR         59           16 P33W          59         1022
QSO: 21000 PH 2023-09-09 1447 SP8DR         59           17 BG1HGS        59           59
QSO: 21000 PH 2023-09-09 1449 SP8DR         59           18 WS7X          59          298
QSO: 21000 PH 2023-09-09 1450 SP8DR         59           19 TO7K          59          142
QSO: 21000 PH 2023-09-09 1451 SP8DR         59           20 VE3AT         59          849
QSO: 21000 PH 2023-09-09 1453 SP8DR         59           21 V3O           59         1013
QSO: 14000 PH 2023-09-09 1502 SP8DR         59           22 TA3NE         59          308
