START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
CREATED-BY: DXLog.net v2.5.48, modified by DXHF upload.
CALLSIGN: OH1NA
GRID-LOCATOR: KP01TM
CLAIMED-SCORE: 10872
CLUB: Contest Club Finland
QSO: 21221 PH 2023-09-09 1043 OH1NA         59  001    A44A          59  338
QSO: 21300 PH 2023-09-09 1044 OH1NA         59  002    JA7NVF        59  286
QSO: 21297 PH 2023-09-09 1045 OH1NA         59  003    JH1GEX        59  161
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0858 DA0M          005
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0859 9A5Y          160
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0900 G4OBB         021
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0900 DL7PIP        025
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0901 DK0WAE        034
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0902 DH4PSG        049
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0902 G8XTJ         001
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0903 DL1LRI        002
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0904 HA8QB         002
QTC: 21271 PH  2023-09-09 1047 OH1NA         023/10     UN0LM         0904 PD1ADS        010
QSO: 21218 PH 2023-09-09 1048 OH1NA         59  004    UN0LM         59  256
QSO: 21218 PH 2023-09-09 1049 OH1NA         59  005    JA1BJI        59  061
QSO: 21287 PH 2023-09-09 1050 OH1NA         59  006    P33W          59  721
QSO: 28484 PH 2023-09-09 1059 OH1NA         59  007    4X7R          59  619
QSO: 28446 PH 2023-09-09 1103 OH1NA         59  008    TO7K          59  040
QSO: 14219 PH 2023-09-09 1120 OH1NA         59  009    TA3NE         59  189
QSO: 21208 PH 2023-09-09 1133 OH1NA         59  010    K5ZD          59  077
QSO: 21215 PH 2023-09-09 1134 OH1NA         59  011    K1RM          59  070
