START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SCV
CALLSIGN: K6MG
CATEGORY-BAND: ALL
OPERATORS: K6MG
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2019-08-17 1631 K6MG CM97KH N9JIM CM97BC
QSO: 10G PH 2019-08-17 1636 K6MG CM97KH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1637 K6MG CM97KH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1637 K6MG CM97KH N5BF DM04MS
QSO: 24G PH 2019-08-17 1641 K6MG CM97KH W6QIW DM04MS
QSO: 24G PH 2019-08-17 1649 K6MG CM97KH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1704 K6MG CM97KH N6VI DM05HI
QSO: 10G PH 2019-08-17 1704 K6MG CM97KH N6TEB DM05HI
QSO: 10G PH 2019-08-17 1751 K6MG CM97MH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1752 K6MG CM97MH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1756 K6MG CM97MH N5BF DM04MS
QSO: 10G PH 2019-08-17 1801 K6MG CM97MH K6TJ CM97AV
QSO: 10G PH 2019-08-17 1801 K6MG CM97MH N6JET CM97AV
QSO: 10G PH 2019-08-17 1802 K6MG CM97MH N6KLD CM97AV
QSO: 10G PH 2019-08-17 1804 K6MG CM97MH AD6IW CM88WJ
QSO: 10G PH 2019-08-17 1820 K6MG CM97PH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1821 K6MG CM97PH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1821 K6MG CM97PH N5BF DM04MS
QSO: 10G PH 2019-08-17 1823 K6MG CM97PH N9JIM CM97BC
QSO: 24G PH 2019-08-17 1825 K6MG CM97PH N9JIM CM97BC
QSO: 10G PH 2019-08-17 1828 K6MG CM97PH K6TJ CM97AV
QSO: 10G PH 2019-08-17 1828 K6MG CM97PH N6JET CM97AV
QSO: 10G PH 2019-08-17 1829 K6MG CM97PH N6KLD CM97AV
QSO: 10G PH 2019-08-17 1829 K6MG CM97PH N6RAC CM97AV
QSO: 10G PH 2019-08-17 1855 K6MG CM97RH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1855 K6MG CM97RH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1856 K6MG CM97RH N5BF DM04MS
QSO: 10G PH 2019-08-17 1925 K6MG CM97TH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1926 K6MG CM97TH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1926 K6MG CM97TH N5BF DM04MS
QSO: 10G PH 2019-08-17 1937 K6MG CM97TH K6TJ CM97AV
QSO: 10G PH 2019-08-17 1938 K6MG CM97TH N6KLD CM97AV
QSO: 10G PH 2019-08-17 1939 K6MG CM97TH N6JET CM97AV
QSO: 10G PH 2019-08-17 2014 K6MG CM97VI K6TJ CM97AV
QSO: 10G PH 2019-08-17 2014 K6MG CM97VI N6JET CM97AV
QSO: 10G PH 2019-08-17 2015 K6MG CM97VI N6KLD CM97AV
QSO: 10G PH 2019-08-17 2015 K6MG CM97VI N6RAC CM97AV
QSO: 10G PH 2019-08-17 2016 K6MG CM97VI N9JIM CM97BC
QSO: 10G PH 2019-08-17 2025 K6MG CM97VI W6QIW DM04MS
QSO: 10G PH 2019-08-17 2026 K6MG CM97VI K6GZA DM04MS
QSO: 10G PH 2019-08-17 2026 K6MG CM97VI N5BF DM04MS
