START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SCV
CALLSIGN: N9JIM
CATEGORY-BAND: ALL
OPERATORS: N9JIM
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2019-08-17 1612 N9JIM CM97BC AD6A CM87XK
QSO: 10G PH 2019-08-17 1627 N9JIM CM97BC N6VI DM05HI
QSO: 10G PH 2019-08-17 1627 N9JIM CM97BC N6TEB DM05HI
QSO: 10G PH 2019-08-17 1629 N9JIM CM97BC K6MG CM97KH
QSO: 10G PH 2019-08-17 1657 N9JIM CM97BC K6GZA DM04MS
QSO: 10G PH 2019-08-17 1657 N9JIM CM97BC W6QIW DM04MS
QSO: 10G PH 2019-08-17 1658 N9JIM CM97BC N5BF DM04MS
QSO: 10G PH 2019-08-17 1710 N9JIM CM97BC K6ML CM97KH
QSO: 24G PH 2019-08-17 1726 N9JIM CM97BC K6ML CM97KH
QSO: 10G PH 2019-08-17 1806 N9JIM CM97BC N6JET CM97AV
QSO: 10G PH 2019-08-17 1806 N9JIM CM97BC K6TJ CM97AV
QSO: 10G PH 2019-08-17 1807 N9JIM CM97BC N6KLD CM97AV
QSO: 10G PH 2019-08-17 1812 N9JIM CM97BC N6RAC CM97AV
QSO: 10G PH 2019-08-17 1817 N9JIM CM97BC AD6A CM97FR
QSO: 10G PH 2019-08-17 1823 N9JIM CM97BC K6MG CM97PH
QSO: 24G PH 2019-08-17 1823 N9JIM CM97BC K6MG CM97PH
QSO: 10G PH 2019-08-17 2005 N9JIM CM97BC K6ML CM97QH
QSO: 24G PH 2019-08-17 2007 N9JIM CM97BC K6ML CM97QH
QSO: 10G PH 2019-08-17 2010 N9JIM CM97BC AD6A CM97KH
QSO: 10G PH 2019-08-17 2014 N9JIM CM97BC K6MG CM97VI
QSO: 10G PH 2019-08-17 2035 N9JIM CM97BC WB6CWN DM13RR
QSO: 10G PH 2019-08-17 2052 N9JIM CM97BC K6MG CM97VD
QSO: 10G PH 2019-08-17 2101 N9JIM CM97BC N6VI DM05DR
QSO: 10G PH 2019-08-17 2103 N9JIM CM97BC N6TEB DM05DR
QSO: 10G PH 2019-08-17 2113 N9JIM CM97BC WA6QDP CM88WJ
QSO: 24G PH 2019-08-17 2113 N9JIM CM97BC WA6QDP CM88WJ
QSO: 10G PH 2019-08-17 2120 N9JIM CM97BC WA6CDR DM25GW
QSO: 10G PH 2019-08-18 0148 N9JIM CM97KH N6JET CM97AV
QSO: 10G PH 2019-08-18 0148 N9JIM CM97KH K6TJ CM97AV
QSO: 10G PH 2019-08-18 0249 N9JIM CM97KH N6KLD CM97AV
QSO: 10G PH 2019-08-18 0149 N9JIM CM97KH N6RAC CM97AV
QSO: 24G PH 2019-08-18 0153 N9JIM CM97KH N6JET CM97AV
QSO: 24G PH 2019-08-18 0153 N9JIM CM97KH K6TJ CM97AV
QSO: 10G PH 2019-08-18 0159 N9JIM CM97KH K6ML CM97TA
QSO: 10G PH 2019-08-18 0159 N9JIM CM97KH KD6W CM97TA
QSO: 24G PH 2019-08-18 0202 N9JIM CM97KH K6ML CM97TA
QSO: 24G PH 2019-08-18 0202 N9JIM CM97KH KD6W CM97TA
QSO: 10G PH 2019-08-18 0211 N9JIM CM97KH W6QIW DM04MS
QSO: 10G PH 2019-08-18 0212 N9JIM CM97KH K6GZA DM04MS
QSO: 10G PH 2019-08-18 0213 N9JIM CM97KH N5BF DM04MS
