START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: K6ML
CATEGORY-BAND: ALL
OPERATORS: K6ML
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 24G PH 2019-08-17 1644 K6ML CM97KH W6QIW DM04MS
QSO: 24G PH 2019-08-17 1645 K6ML CM97KH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1649 K6ML CM97KH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1649 K6ML CM97KH N5BF DM04MS
QSO: 10G PH 2019-08-17 1650 K6ML CM97KH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1701 K6ML CM97KH N6VI DM05HI
QSO: 10G PH 2019-08-17 1702 K6ML CM97KH N6TEB DM05HI
QSO: 10G PH 2019-08-17 1711 K6ML CM97KH N9JIM CM97BC
QSO: 24G PH 2019-08-17 1724 K6ML CM97KH N9JIM CM97BC
QSO: 10G PH 2019-08-17 1734 K6ML CM97KH AD6IW CM88WJ
QSO: 10G PH 2019-08-17 1843 K6ML CM97MH K6TJ CM97AV
QSO: 10G PH 2019-08-17 1846 K6ML CM97MH N6JET CM97AV
QSO: 10G PH 2019-08-17 1846 K6ML CM97MH N6RAC CM97AV
QSO: 10G PH 2019-08-17 1847 K6ML CM97MH N6KLD CM97AV
QSO: 24G PH 2019-08-17 1853 K6ML CM97MH N6JET CM97AV
QSO: 10G PH 2019-08-17 1901 K6ML CM97MH W6QIW DM04MS
QSO: 10G PH 2019-08-17 1901 K6ML CM97MH K6GZA DM04MS
QSO: 10G PH 2019-08-17 1902 K6ML CM97MH N5BF DM04MS
QSO: 10G PH 2019-08-17 1906 K6ML CM97MH N6VI DM05FM
QSO: 10G PH 2019-08-17 1907 K6ML CM97MH N6TEB DM05FM
QSO: 10G PH 2019-08-17 1913 K6ML CM97MH AD6A CM97KH
QSO: 10G PH 2019-08-17 2003 K6ML CM97QH N9JIM CM97BC
QSO: 24G PH 2019-08-17 2007 K6ML CM97QH N9JIM CM97BC
QSO: 10G PH 2019-08-17 2021 K6ML CM97QH N6VI DM05DR
QSO: 10G PH 2019-08-17 2023 K6ML CM97QH N6TEB DM05DR
QSO: 10G PH 2019-08-17 2024 K6ML CM97QH K6TJ CM97AV
QSO: 10G PH 2019-08-17 2025 K6ML CM97QH N6JET CM97AV
QSO: 10G PH 2019-08-17 2025 K6ML CM97QH N6KLD CM97AV
QSO: 10G PH 2019-08-17 2028 K6ML CM97QH N6RAC CM97AV
QSO: 24G PH 2019-08-17 2035 K6ML CM97QH N6JET CM97AV
QSO: 10G PH 2019-08-17 2043 K6ML CM97QH AD6IW CM88WJ
QSO: 10G PH 2019-08-17 2055 K6ML CM97QH W6QIW DM04MS
QSO: 10G PH 2019-08-17 2056 K6ML CM97QH K6GZA DM04MS
QSO: 10G PH 2019-08-17 2056 K6ML CM97QH N5BF DM04MS
QSO: 10G PH 2019-08-17 2152 K6ML CM97RD W6QIW DM04MS
QSO: 10G PH 2019-08-17 2153 K6ML CM97RD K6GZA DM04MS
QSO: 10G PH 2019-08-17 2153 K6ML CM97RD N5BF DM04MS
QSO: 10G CW 2019-08-17 2214 K6ML CM97RD WA6CDR DM25GW
QSO: 10G PH 2019-08-17 2216 K6ML CM97RD AD6A CM97MB
QSO: 10G PH 2019-08-17 2233 K6ML CM97RD AF6NA DM13CO
QSO: 10G PH 2019-08-17 2240 K6ML CM97RD AD6IW CM88WJ
