START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SCV
CALLSIGN: N6NU
CATEGORY-BAND: ALL
OPERATORS: N6NU
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.40
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2019-08-18 0500 N6NU CM96OU W6QIW DM04MS
QSO: 10G PH 2019-08-18 0501 N6NU CM96OU K6GZA DM04MS
QSO: 10G PH 2019-08-18 0502 N6NU CM96OU N5BF DM04MS
QSO: 10G PH 2019-08-18 0503 N6NU CM96OU N9JIM CM97KH
QSO: 24G PH 2019-08-18 0512 N6NU CM96OU N9JIM CM97KH
QSO: 10G PH 2019-08-18 0520 N6NU CM96OU WA6QDP CM88WJ
QSO: 10G PH 2019-08-18 0612 N6NU CM96RU K6GZA DM04MS
QSO: 10G PH 2019-08-18 0613 N6NU CM96RU N5BF DM04MS
QSO: 10G PH 2019-08-18 0614 N6NU CM96RU W6QIW DM04MS
QSO: 10G PH 2019-08-18 0615 N6NU CM96RU N9JIM CM97KH
QSO: 24G PH 2019-08-18 0628 N6NU CM96RU W6QIW DM04MS
QSO: 24G PH 2019-08-18 0632 N6NU CM96RU K6GZA DM04MS
QSO: 24G PH 2019-08-18 0637 N6NU CM96RU N9JIM CM97KH
QSO: 10G PH 2019-08-18 0643 N6NU CM96RU WA6QDP CM88WJ
QSO: 24G PH 2019-08-18 0649 N6NU CM96RU WA6QDP CM88WJ
QSO: 10G PH 2019-08-18 0723 N6NU CM96RU WA6CDR DM25GW
QSO: 10G PH 2019-08-18 1654 N6NU CM96TM K6TJ CM97AV
QSO: 10G PH 2019-08-18 1655 N6NU CM96TM N6KLD CM97AV
QSO: 10G PH 2019-08-18 1714 N6NU CM96TM KD6W CM96RP
QSO: 10G PH 2019-08-18 1730 N6NU CM96TM N6VI CM96OU
QSO: 10G PH 2019-08-18 1731 N6NU CM96TM N6TEB CM96OU
QSO: 10G PH 2019-08-18 1742 N6NU CM96TM WA6QDP CM88WJ
QSO: 10G PH 2019-08-18 1803 N6NU CM96TM W6QIW DM04MS
QSO: 10G PH 2019-08-18 1804 N6NU CM96TM K6GZA DM04MS
QSO: 10G PH 2019-08-18 1805 N6NU CM96TM N5BF DM04MS
QSO: 24G PH 2019-08-18 1817 N6NU CM96TM KD6W CM96SQ
QSO: 10G PH 2019-08-18 1818 N6NU CM96TM KD6W CM96SQ
QSO: 10G PH 2019-08-18 1829 N6NU CM96TM N9JIM CM96QW
QSO: 10G PH 2019-08-18 1955 N6NU CM96VK K6TJ CM97AV
QSO: 10G PH 2019-08-18 2001 N6NU CM96VK N6KLD CM97AV
QSO: 10G PH 2019-08-18 2007 N6NU CM96VK WA6QDP CM88WJ
QSO: 10G PH 2019-08-18 2009 N6NU CM96VK N6JET CM88WJ
QSO: 10G PH 2019-08-18 2021 N6NU CM96VK W6QIW DM04MS
QSO: 10G PH 2019-08-18 2022 N6NU CM96VK K6GZA DM04MS
QSO: 10G PH 2019-08-18 2023 N6NU CM96VK N5BF DM04MS
QSO: 10G PH 2019-08-18 2024 N6NU CM96VK AF6NA DM04MS
QSO: 24G PH 2019-08-18 2028 N6NU CM96VK W6QIW DM04MS
QSO: 10G PH 2019-08-18 2136 N6NU CM96WF W6QIW DM04MS
QSO: 10G PH 2019-08-18 2137 N6NU CM96WF K6GZA DM04MS
QSO: 10G PH 2019-08-18 2138 N6NU CM96WF N5BF DM04MS
QSO: 24G PH 2019-08-18 2144 N6NU CM96WF W6QIW DM04MS
QSO: 24G PH 2019-08-18 2149 N6NU CM96WF K6GZA DM04MS
QSO: 10G PH 2019-08-18 2200 N6NU CM96WF K6TJ CM97AV
QSO: 10G PH 2019-08-18 2201 N6NU CM96WF N6KLD CM97AV
QSO: 10G PH 2019-08-18 2211 N6NU CM96WF WA6QDP CM88WJ
QSO: 10G PH 2019-08-18 2212 N6NU CM96WF N6JET CM88WJ
QSO: 10G PH 2019-08-18 2237 N6NU CM96WF WA6CDR DM25GW
QSO: 10G PH 2019-08-18 2255 N6NU CM96WF AD6IW CM97AV
QSO: 10G PH 2019-08-18 2256 N6NU CM96WF WA6FSI CM97AV
QSO: 10G PH 2019-08-18 2352 N6NU DM06AC W6QIW DM04MS
QSO: 10G PH 2019-08-18 2352 N6NU DM06AC K6GZA DM04MS
QSO: 10G PH 2019-08-18 2353 N6NU DM06AC N5BF DM04MS
QSO: 10G PH 2019-08-18 2353 N6NU DM06AC W6NOB DM04MS
QSO: 24G PH 2019-08-19 0001 N6NU DM06AC W6QIW DM04MS
QSO: 24G PH 2019-08-19 0002 N6NU DM06AC K6GZA DM04MS
QSO: 10G PH 2019-08-19 0013 N6NU DM06AC K6TJ CM97AV
QSO: 10G PH 2019-08-19 0014 N6NU DM06AC N6KLD CM97AV
QSO: 10G PH 2019-08-19 0015 N6NU DM06AC AD6IW CM97AV
QSO: 10G PH 2019-08-19 0016 N6NU DM06AC WA6FSI CM97AV
QSO: 10G PH 2019-08-19 0034 N6NU DM06AC WA6QDP CM88WJ
QSO: 10G PH 2019-08-19 0035 N6NU DM06AC N6JET CM88WJ
QSO: 10G PH 2019-08-19 0052 N6NU DM06AC WA6CDR DM25GW
QSO: 10G PH 2019-08-19 0145 N6NU DM06CF W6QIW DM04MS
QSO: 10G PH 2019-08-19 0146 N6NU DM06CF K6GZA DM04MS
QSO: 10G PH 2019-08-19 0147 N6NU DM06CF N5BF DM04MS
QSO: 24G PH 2019-08-19 0153 N6NU DM06CF W6QIW DM04MS
QSO: 24G PH 2019-08-19 0154 N6NU DM06CF K6GZA DM04MS
QSO: 10G PH 2019-08-19 0158 N6NU DM06CF WA6QDP CM88WJ
QSO: 10G PH 2019-08-19 0159 N6NU DM06CF N6JET CM88WJ
QSO: 10G PH 2019-08-19 0420 N6NU CM96XK W6QIW DM04MS
QSO: 10G PH 2019-08-19 0421 N6NU CM96XK K6GZA DM04MS
QSO: 24G PH 2019-08-19 0432 N6NU CM96XK W6QIW DM04MS
QSO: 10G PH 2019-08-19 0442 N6NU CM96XK WA6QDP CM88WJ
QSO: 10G PH 2019-08-19 0446 N6NU CM96XK N6JET CM88WJ
QSO: 10G PH 2019-08-19 0547 N6NU CM96WN K6GZA DM04MS
QSO: 10G PH 2019-08-19 0603 N6NU CM96WN WA6QDP CM88WJ
QSO: 10G PH 2019-08-19 0605 N6NU CM96WN N6JET CM88WJ
QSO: 10G PH 2019-08-19 0617 N6NU CM96WN K6MG DM06BG
QSO: 24G PH 2019-08-19 0622 N6NU CM96WN K6MG DM06BG
QSO: 10G PH 2019-09-21 1500 N6NU CM97KH N6VI DM04MS
QSO: 10G PH 2019-09-21 1535 N6NU CM97KH K6GZA CM88WJ
QSO: 10G PH 2019-09-21 1630 N6NU CM97KH N6TEB DM04MS
QSO: 10G PH 2019-09-21 1631 N6NU CM97KH K6WCI DM04MS
QSO: 10G PH 2019-09-21 1645 N6NU CM97KH N5BF CM88WJ
QSO: 24G PH 2019-09-21 1755 N6NU CM97KH N9JIM CM97KK
QSO: 10G PH 2019-09-21 1756 N6NU CM97KH N9JIM CM97KK
QSO: 10G PH 2019-09-21 1828 N6NU CM97KK K6GZA CM88WJ
QSO: 10G PH 2019-09-21 1829 N6NU CM97KK N5BF CM88WJ
QSO: 24G PH 2019-09-21 1838 N6NU CM97KK K6GZA CM88WJ
QSO: 10G PH 2019-09-21 1846 N6NU CM97KK N6JET CM97AV
QSO: 10G PH 2019-09-21 1847 N6NU CM97KK K6TJ CM97AV
QSO: 10G PH 2019-09-21 1945 N6NU CM97KK N6VI DM04MS
QSO: 10G PH 2019-09-21 1946 N6NU CM97KK N6TEB DM04MS
QSO: 10G PH 2019-09-21 1947 N6NU CM97KK KE6HPZ DM04MS
QSO: 10G PH 2019-09-21 2002 N6NU CM97KK N6KLD CM88WJ
QSO: 10G PH 2019-09-21 2007 N6NU CM97KK KB6BA CM88WJ
QSO: 24G PH 2019-09-21 2012 N6NU CM97KK KB6BA CM88WJ
QSO: 10G PH 2019-09-21 2024 N6NU CM97KK W6QIW CM97NH
QSO: 10G PH 2019-09-21 2025 N6NU CM97KK N6RMJ CM97NH
QSO: 10G PH 2019-09-21 2132 N6NU CM97ML WA6QDP CM97AV
QSO: 10G PH 2019-09-21 2133 N6NU CM97ML N6JET CM97AV
QSO: 10G PH 2019-09-21 2134 N6NU CM97ML K6TJ CM97AV
QSO: 24G PH 2019-09-21 2144 N6NU CM97ML WA6QDP CM97AV
QSO: 24G PH 2019-09-21 2145 N6NU CM97ML N6JET CM97AV
QSO: 24G PH 2019-09-21 2146 N6NU CM97ML K6TJ CM97AV
QSO: 10G PH 2019-09-21 2157 N6NU CM97ML AD6A CM97FR
QSO: 10G PH 2019-09-21 2215 N6NU CM97ML N6VI DM04MS
QSO: 10G PH 2019-09-21 2216 N6NU CM97ML N6TEB DM04MS
QSO: 10G PH 2019-09-21 2217 N6NU CM97ML KE6HPZ DM04MS
QSO: 10G PH 2019-09-21 2228 N6NU CM97ML N6KLD CM88WJ
QSO: 10G PH 2019-09-21 2229 N6NU CM97ML KB6BA CM88WJ
QSO: 10G PH 2019-09-21 2234 N6NU CM97ML K6GZA CM88WJ
QSO: 10G PH 2019-09-21 2235 N6NU CM97ML N5BF CM88WJ
QSO: 24G PH 2019-09-21 2258 N6NU CM97ML KB6BA CM88WJ
QSO: 10G PH 2019-09-22 0125 N6NU CM97OD AD6A CM97KH
QSO: 10G PH 2019-09-22 0137 N6NU CM97OD N6KLD CM88WJ
QSO: 10G PH 2019-09-22 0138 N6NU CM97OD KB6BA CM88WJ
QSO: 10G PH 2019-09-22 0139 N6NU CM97OD K6GZA CM88WJ
QSO: 10G PH 2019-09-22 0140 N6NU CM97OD N5BF CM88WJ
QSO: 24G PH 2019-09-22 0149 N6NU CM97OD KB6BA CM88WJ
QSO: 24G PH 2019-09-22 0151 N6NU CM97OD K6GZA CM88WJ
QSO: 10G PH 2019-09-22 0157 N6NU CM97OD WA6QDP CM97AV
QSO: 10G PH 2019-09-22 0158 N6NU CM97OD N6JET CM97AV
QSO: 24G PH 2019-09-22 0203 N6NU CM97OD WA6QDP CM97AV
