START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.55.0
CONTEST: REF-CW
LOCATION: 34
GRID-LOCATOR: JN13RH
CALLSIGN: F5ELL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 14112
OPERATORS: F5ELL
NAME: Monceau robert
CERTIFICATE: NO
SOAPBOX: 
RIG: FTdx101MP + ampli 500w + SteppIR 3 Elts + Wintest
QSO:  7022 CW 2025-01-25 0923 F5ELL         599 34     F6IIV         599 22    
QSO:  7015 CW 2025-01-25 0924 F5ELL         599 34     F6KNB         599 33    
QSO:  7002 CW 2025-01-25 0930 F5ELL         599 34     F6KRK         599 78    
QSO:  7001 CW 2025-01-25 0933 F5ELL         599 34     F6REF         599 00    
QSO:  7005 CW 2025-01-25 0937 F5ELL         599 34     F6GCT         599 77    
QSO:  7024 CW 2025-01-25 0939 F5ELL         599 34     F6KOP         599 77    
QSO:  7004 CW 2025-01-25 1007 F5ELL         599 34     F6FET         599 53    
QSO:  7006 CW 2025-01-25 1010 F5ELL         599 34     F5JU          599 35    
QSO:  7036 CW 2025-01-25 1011 F5ELL         599 34     F6IRA         599 40    
QSO:  7039 CW 2025-01-25 1018 F5ELL         599 34     F6HQP         599 73    
QSO:  7027 CW 2025-01-25 1020 F5ELL         599 34     F5MMX         599 41    
QSO:  7011 CW 2025-01-25 1030 F5ELL         599 34     F6KMX         599 94    
QSO:  7021 CW 2025-01-25 1032 F5ELL         599 34     F5NBX         599 87    
QSO:  7017 CW 2025-01-25 1034 F5ELL         599 34     F5MXH         599 45    
QSO:  7008 CW 2025-01-25 1040 F5ELL         599 34     F6EEQ         599 26    
QSO:  7012 CW 2025-01-25 1047 F5ELL         599 34     F6CEL         599 02    
QSO:  7022 CW 2025-01-25 1053 F5ELL         599 34     F5VV          599 01    
QSO:  7009 CW 2025-01-25 1056 F5ELL         599 34     F8BPN         599 19    
QSO:  7023 CW 2025-01-25 1057 F5ELL         599 34     F6FTB         599 21    
QSO:  7010 CW 2025-01-25 1059 F5ELL         599 34     F4DPW         599 95    
QSO:  7003 CW 2025-01-25 1103 F5ELL         599 34     F6JXR         599 35    
QSO:  7014 CW 2025-01-25 1112 F5ELL         599 34     F5KMB         599 60    
QSO: 14037 CW 2025-01-25 1350 F5ELL         599 34     F4KLR         599 62    
QSO: 14038 CW 2025-01-25 1358 F5ELL         599 34     F5PHW         599 56    
QSO: 14049 CW 2025-01-25 1401 F5ELL         599 34     F5SGI         599 56    
QSO:  7010 CW 2025-01-25 1409 F5ELL         599 34     F6KBK         599 77    
QSO:  7020 CW 2025-01-25 1411 F5ELL         599 34     F5MNC         599 41    
QSO:  7031 CW 2025-01-25 1508 F5ELL         599 34     F6KMB         599 59    
QSO:  7028 CW 2025-01-25 1510 F5ELL         599 34     F5KCC         599 89    
QSO:  7035 CW 2025-01-25 1513 F5ELL         599 34     F5IRQ         599 85    
QSO:  7014 CW 2025-01-25 1517 F5ELL         599 34     F5MGD         599 60    
QSO:  7034 CW 2025-01-25 1521 F5ELL         599 34     F8KGZ         599 44    
QSO:  7009 CW 2025-01-25 1537 F5ELL         599 34     F1PZZ         599 89    
QSO:  7018 CW 2025-01-25 1540 F5ELL         599 34     F6KHM         599 29    
QSO:  7031 CW 2025-01-25 1551 F5ELL         599 34     F5LZN         599 84    
QSO:  7008 CW 2025-01-25 1557 F5ELL         599 34     F6ICT         599 77    
QSO:  7014 CW 2025-01-26 0849 F5ELL         599 34     F6KEH         599 34    
QSO:  7037 CW 2025-01-26 0857 F5ELL         599 34     F4HEC         599 37    
QSO:  7016 CW 2025-01-26 0904 F5ELL         599 34     F8AAN         599 33    
QSO:  7002 CW 2025-01-26 0906 F5ELL         599 34     F6DYX         599 49    
QSO:  7017 CW 2025-01-26 0910 F5ELL         599 34     F5ILS         599 62    
QSO:  7018 CW 2025-01-26 0912 F5ELL         599 34     F6KJX         599 41    
QSO:  7021 CW 2025-01-26 0915 F5ELL         599 34     F6GOE         599 77    
QSO:  7019 CW 2025-01-26 0918 F5ELL         599 34     F5RGY/P       599 25    
QSO:  7027 CW 2025-01-26 0923 F5ELL         599 34     F4FFZ         599 56    
QSO:  7022 CW 2025-01-26 0925 F5ELL         599 34     F5KDC         599 63    
QSO:  7029 CW 2025-01-26 0927 F5ELL         599 34     F6AUS         599 79    
QSO:  7031 CW 2025-01-26 0932 F5ELL         599 34     F5SIH         599 38    
QSO:  7011 CW 2025-01-26 0943 F5ELL         599 34     F6EPM         599 51    
QSO:  7007 CW 2025-01-26 0946 F5ELL         599 34     F4KKV         599 53    
QSO:  7016 CW 2025-01-26 1004 F5ELL         599 34     F8KHO         599 51    
QSO:  7012 CW 2025-01-26 1010 F5ELL         599 34     F5KKD         599 93    
QSO:  7031 CW 2025-01-26 1059 F5ELL         599 34     F5KLE         599 30    
QSO:  7028 CW 2025-01-26 1100 F5ELL         599 34     F4FDA         599 29    
QSO:  7022 CW 2025-01-26 1102 F5ELL         599 34     F8EZX         599 31    
QSO:  7020 CW 2025-01-26 1109 F5ELL         599 34     F5PHY         599 24    
END-OF-LOG:
