START-OF-LOG: 2.0
REF-SECTION: 49
CALLSIGN: F5NHJ
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  114939
CONTEST: REF-CW
CREATED-BY: WINREF-HF V9.7.18
NAME: MARQUIS JEAN-LOUIS
OFFTIME: 2025-01-25 2142 2025-01-26 1002
OFFTIME: 2025-01-25 0600 2025-01-25 1024
OFFTIME: 2025-01-25 1222 2025-01-25 1357
RIG: K3 - K2
RIG: K3 - K2
RIG: VERTICALES 
RIG: 80
SOAPBOX: Vent pluie.. merci pour les courageux. K2 au top
QSO: 7000  CW 2025-01-25 1024 F5NHJ         599 49     F6REF         599 00   
QSO: 7000  CW 2025-01-25 1029 F5NHJ         599 49     F4KJP         599 08   
QSO: 7000  CW 2025-01-25 1031 F5NHJ         599 49     F5NIB         599 36   
QSO: 7000  CW 2025-01-25 1037 F5NHJ         599 49     F6FWQ         599 86   
QSO: 7000  CW 2025-01-25 1045 F5NHJ         599 49     F6CEL         599 02   
QSO: 7000  CW 2025-01-25 1048 F5NHJ         599 49     HA3NU         599 112  
QSO: 7000  CW 2025-01-25 1146 F5NHJ         599 49     F6KCS         599 41   
QSO: 7000  CW 2025-01-25 1148 F5NHJ         599 49     F6KEX         599 38   
QSO: 7000  CW 2025-01-25 1151 F5NHJ         599 49     F8AOF         599 26   
QSO: 7000  CW 2025-01-25 1153 F5NHJ         599 49     F1IKA         599 31   
QSO: 7000  CW 2025-01-25 1158 F5NHJ         599 49     F4JXS         599 60   
QSO: 7000  CW 2025-01-25 1200 F5NHJ         599 49     G3SWC         599 201  
QSO: 7000  CW 2025-01-25 1205 F5NHJ         599 49     F5OIH         599 86   
QSO: 7000  CW 2025-01-25 1207 F5NHJ         599 49     F5NBX         599 87   
QSO: 7000  CW 2025-01-25 1209 F5NHJ         599 49     F5LVR         599 57   
QSO: 7000  CW 2025-01-25 1215 F5NHJ         599 49     F6HDI         599 57   
QSO: 7000  CW 2025-01-25 1217 F5NHJ         599 49     F6KRK         599 78   
QSO: 7000  CW 2025-01-25 1218 F5NHJ         599 49     F8FKK         599 26   
QSO: 7000  CW 2025-01-25 1219 F5NHJ         599 49     PA2CHM        599 002  
QSO: 7000  CW 2025-01-25 1220 F5NHJ         599 49     F6KUQ         599 33   
QSO: 7000  CW 2025-01-25 1220 F5NHJ         599 49     F5PP          599 59   
QSO: 7000  CW 2025-01-25 1222 F5NHJ         599 49     PA3AAV        599 061  
QSO: 14000 CW 2025-01-25 1357 F5NHJ         599 49     F5OWL         599 83   
QSO: 14000 CW 2025-01-25 1359 F5NHJ         599 49     F5VBU         599 66   
QSO: 14000 CW 2025-01-25 1400 F5NHJ         599 49     F2NY          599 13   
QSO: 14000 CW 2025-01-25 1401 F5NHJ         599 49     R1CI          599 115  
QSO: 14000 CW 2025-01-25 1411 F5NHJ         599 49     F6DYX         599 49   
QSO: 14000 CW 2025-01-25 1413 F5NHJ         599 49     F5MWA         599 83   
QSO: 14000 CW 2025-01-25 1419 F5NHJ         599 49     IK5MEP        599 026  
QSO: 14000 CW 2025-01-25 1430 F5NHJ         599 49     F5XX          599 81   
QSO: 21000 CW 2025-01-25 1433 F5NHJ         599 49     FR8UA         599 FR   
QSO: 21000 CW 2025-01-25 1442 F5NHJ         599 49     F6REF         599 00   
