START-OF-LOG:       2.0
CREATED-BY:         G4FON Contest!
CONTEST:            REF-CW
CALLSIGN:           G3ZGC
CATEGORY: 	    SINGLE-OP ALL HIGH
OPERATORS:          G3ZGC
CLUB:               NEWBURY & DISTRICT ARS
NAME:               R JOLLIFFE
SOAPBOX:            Less activity this year as my rig keeps tripping out.
QSO:  3525 CW 2025-01-25 0635 G3ZGC         599 001    F6KNB         599 33  
QSO:  3528 CW 2025-01-25 0636 G3ZGC         599 002    F6DYX         599 49  
QSO:  3531 CW 2025-01-25 0636 G3ZGC         599 003    F4KIY         599 57  
QSO:  3532 CW 2025-01-25 0637 G3ZGC         599 004    F6AGM         599 81  
QSO:  3536 CW 2025-01-25 0638 G3ZGC         599 005    F8KCF         599 74  
QSO:  3542 CW 2025-01-25 0701 G3ZGC         599 006    F6IRA         599 40  
QSO:  3548 CW 2025-01-25 0702 G3ZGC         599 007    F5RGY/P       599 25  
QSO:  3518 CW 2025-01-25 0704 G3ZGC         599 008    F5IN          599 45  
QSO:  3511 CW 2025-01-25 0705 G3ZGC         599 009    F6KHM         599 29  
QSO:  3509 CW 2025-01-25 0706 G3ZGC         599 010    F5NKX         599 50  
QSO:  3511 CW 2025-01-25 0803 G3ZGC         599 011    F4KLR         599 62  
QSO:  3517 CW 2025-01-25 0804 G3ZGC         599 012    F8KHO         599 51  
QSO:  3518 CW 2025-01-25 0804 G3ZGC         599 013    F6REF         599 00  
QSO:  3530 CW 2025-01-25 0806 G3ZGC         599 014    F6KRK         599 78  
QSO:  3549 CW 2025-01-25 0808 G3ZGC         599 015    F8BMG         599 32  
QSO: 14030 CW 2025-01-25 1224 G3ZGC         599 016    F4WEJ         599 68  
QSO: 14017 CW 2025-01-25 1225 G3ZGC         599 017    F6DCQ         599 74  
QSO: 14022 CW 2025-01-25 1226 G3ZGC         599 018    F5VHY         599 47  
QSO:  7026 CW 2025-01-25 1232 G3ZGC         599 019    F5MMX         599 91  
QSO:  7023 CW 2025-01-25 1233 G3ZGC         599 020    F6KMB         599 59  
QSO: 28036 CW 2025-01-25 1345 G3ZGC         599 021    FY5KE         599 FY  
QSO: 14025 CW 2025-01-25 1347 G3ZGC         599 022    F4KIY         599 57  
QSO: 14022 CW 2025-01-25 1348 G3ZGC         599 023    F6GOE         599 19  
QSO: 14014 CW 2025-01-25 1349 G3ZGC         599 024    F5PTI         599 16  
QSO: 14014 CW 2025-01-25 1351 G3ZGC         599 025    F6KUQ         599 33  
QSO: 14028 CW 2025-01-25 1352 G3ZGC         599 026    F8KLY         599 69  
QSO: 14033 CW 2025-01-25 1352 G3ZGC         599 027    F4CWN         599 32  
QSO: 14010 CW 2025-01-25 1353 G3ZGC         599 028    F5PAL         599 63  
QSO: 14007 CW 2025-01-25 1354 G3ZGC         599 029    F5OWL         599 83  
QSO: 14015 CW 2025-01-25 1355 G3ZGC         599 030    F8BDX         599 06  
QSO: 14024 CW 2025-01-25 1818 G3ZGC         599 031    FY5KE         599 FY  
QSO:  3531 CW 2025-01-25 1825 G3ZGC         599 032    F4FFH/P       599 09  
QSO:  3535 CW 2025-01-25 1826 G3ZGC         599 033    F4WEJ         599 68  
QSO:  3538 CW 2025-01-25 1828 G3ZGC         599 034    F5VBU         599 66  
QSO:  3520 CW 2025-01-25 1834 G3ZGC         599 035    TM7M          599 62  
QSO:  7034 CW 2025-01-25 1950 G3ZGC         599 036    F6HQP         599 73  
QSO:  7002 CW 2025-01-25 1952 G3ZGC         599 037    F6REF         599 00  
QSO:  3517 CW 2025-01-25 1956 G3ZGC         599 038    TM3R          599 61  
QSO:  3524 CW 2025-01-25 1957 G3ZGC         599 039    TM0P          599 75  
QSO:  3545 CW 2025-01-25 1958 G3ZGC         599 040    TM4S          599 04  
QSO:  7019 CW 2025-01-26 0433 G3ZGC         599 041    FY5KE         599 FY  
