START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.55.0
CONTEST: REF-CW
LOCATION: 72
GRID-LOCATOR: JN08DA
CALLSIGN: F4IRT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 39566
OPERATORS: 
CLUB: ARAS
NAME: BARBIER SEBASTIEN
CERTIFICATE: NO
SOAPBOX: 
RIG: IC-7610 / 100W / Antenne verticale / Win-test / MRP40
QSO: 28033 CW 2025-01-25 0900 F4IRT         599 72     RA3AGF        599 007   
QSO: 28046 CW 2025-01-25 0923 F4IRT         599 72     FR8UA         599 FR    
QSO: 28030 CW 2025-01-25 0933 F4IRT         599 72     F4KIY         599 57    
QSO: 28026 CW 2025-01-25 0940 F4IRT         599 72     TM3R          599 61    
QSO: 28018 CW 2025-01-25 0941 F4IRT         599 72     YQ8E          599 054   
QSO: 28016 CW 2025-01-25 0945 F4IRT         599 72     F6KOP         599 77    
QSO: 28009 CW 2025-01-25 0953 F4IRT         599 72     FK8IK         599 FK    
QSO: 28035 CW 2025-01-25 1014 F4IRT         599 72     F6FYA         599 37    
QSO: 28031 CW 2025-01-25 1615 F4IRT         599 72     F5OQK         599 85    
QSO: 28025 CW 2025-01-25 1617 F4IRT         599 72     KR2AA         599 087   
QSO: 28015 CW 2025-01-25 1620 F4IRT         599 72     FY5KE         599 FY    
QSO: 28013 CW 2025-01-25 1621 F4IRT         599 72     TM7M          599 62    
QSO: 28012 CW 2025-01-25 1625 F4IRT         599 72     F5PHY         599 24    
QSO: 28010 CW 2025-01-25 1634 F4IRT         599 72     N7DR          599 082   
QSO: 28019 CW 2025-01-25 1635 F4IRT         599 72     VE5SF         599 009   
QSO: 28024 CW 2025-01-25 1637 F4IRT         599 72     VE3NE         599 070   
QSO: 28029 CW 2025-01-25 1641 F4IRT         599 72     F6GOE         599 19    
QSO: 28024 CW 2025-01-25 1645 F4IRT         599 72     EA8AQM        599 006   
QSO:  7011 CW 2025-01-26 0345 F4IRT         599 72     TX100REF      599 FO    
QSO:  7017 CW 2025-01-26 0432 F4IRT         599 72     F6REF         599 00    
QSO:  7019 CW 2025-01-26 0434 F4IRT         599 72     FY5KE         599 FY    
QSO:  7013 CW 2025-01-26 0439 F4IRT         599 72     F6KNB         599 33    
QSO:  7027 CW 2025-01-26 0447 F4IRT         599 72     F6FYA         599 37    
QSO:  7003 CW 2025-01-26 0627 F4IRT         599 72     TM3R          599 61    
QSO:  7011 CW 2025-01-26 0654 F4IRT         599 72     F4WEJ         599 68    
QSO:  7021 CW 2025-01-26 0659 F4IRT         599 72     F8KCF         599 74    
QSO:  7019 CW 2025-01-26 0702 F4IRT         599 72     F5OYM         599 81    
QSO:  7017 CW 2025-01-26 0704 F4IRT         599 72     F4KIY         599 57    
QSO:  7014 CW 2025-01-26 0709 F4IRT         599 72     F5OWL         599 83    
QSO:  7015 CW 2025-01-26 0712 F4IRT         599 72     F6GCT         599 77    
QSO:  7029 CW 2025-01-26 0717 F4IRT         599 72     F6HQP         599 73    
QSO:  7029 CW 2025-01-26 0730 F4IRT         599 72     F8FUA         599 46    
QSO:  7030 CW 2025-01-26 0737 F4IRT         599 72     F5KHP         599 32    
QSO:  7031 CW 2025-01-26 0738 F4IRT         599 72     F4CWN         599 32    
QSO:  7033 CW 2025-01-26 0743 F4IRT         599 72     F5XX          599 81    
QSO:  7035 CW 2025-01-26 0744 F4IRT         599 72     F6DEV         599 09    
QSO:  7027 CW 2025-01-26 0746 F4IRT         599 72     F5OCL         599 68    
QSO:  7026 CW 2025-01-26 0747 F4IRT         599 72     F5PAL         599 63    
QSO:  7020 CW 2025-01-26 0748 F4IRT         599 72     F4JXS         599 60    
QSO:  7019 CW 2025-01-26 0749 F4IRT         599 72     F5KCC         599 89    
QSO:  7018 CW 2025-01-26 0751 F4IRT         599 72     F5VV          599 01    
QSO:  7017 CW 2025-01-26 0753 F4IRT         599 72     TM5B          599 60    
QSO:  7015 CW 2025-01-26 0754 F4IRT         599 72     F5RWE         599 36    
QSO:  7014 CW 2025-01-26 0757 F4IRT         599 72     F6KEH         599 34    
QSO:  7013 CW 2025-01-26 0803 F4IRT         599 72     F6IFY         599 01    
QSO:  7013 CW 2025-01-26 0804 F4IRT         599 72     F5IN          599 45    
QSO:  7012 CW 2025-01-26 0806 F4IRT         599 72     F6CEL         599 02    
QSO:  7011 CW 2025-01-26 0809 F4IRT         599 72     F6KEX         599 38    
QSO:  7015 CW 2025-01-26 0821 F4IRT         599 72     TM87C         599 87    
QSO: 28021 CW 2025-01-26 0825 F4IRT         599 72     RU7A          599 105   
QSO: 28027 CW 2025-01-26 0827 F4IRT         599 72     R3VR          599 441   
QSO:  7021 CW 2025-01-26 0840 F4IRT         599 72     F6GOE         599 19    
QSO:  7035 CW 2025-01-26 0840 F4IRT         599 72     TM0P          599 75    
QSO:  7015 CW 2025-01-26 0842 F4IRT         599 72     F5NKX         599 50    
QSO:  7000 CW 2025-01-26 0852 F4IRT         599 72     F4EMK         599 64    
QSO:  7001 CW 2025-01-26 0854 F4IRT         599 72     F6GNG         599 76    
QSO:  7002 CW 2025-01-26 0855 F4IRT         599 72     F6DYX         599 49    
QSO:  7004 CW 2025-01-26 0857 F4IRT         599 72     F4HCZ         599 68    
QSO:  7005 CW 2025-01-26 0859 F4IRT         599 72     F8FHI         599 71    
QSO:  7005 CW 2025-01-26 0900 F4IRT         599 72     F8EZX         599 31    
QSO:  7008 CW 2025-01-26 0901 F4IRT         599 72     F5MMX         599 91    
QSO:  7010 CW 2025-01-26 0902 F4IRT         599 72     F6KOP         599 77    
QSO:  7010 CW 2025-01-26 0906 F4IRT         599 72     F4DPW         599 95    
QSO:  7011 CW 2025-01-26 0908 F4IRT         599 72     F5JSQ         599 51    
QSO:  7013 CW 2025-01-26 0912 F4IRT         599 72     F5MBM         599 54    
QSO:  7014 CW 2025-01-26 0913 F4IRT         599 72     G3SWC         599 432   
QSO:  7016 CW 2025-01-26 0914 F4IRT         599 72     F8KHO         599 51    
QSO:  7017 CW 2025-01-26 0918 F4IRT         599 72     F5ILS         599 62    
QSO:  7018 CW 2025-01-26 0922 F4IRT         599 72     F6KJX         599 41    
QSO:  7019 CW 2025-01-26 0924 F4IRT         599 72     F5RGY/P       599 25    
QSO:  7020 CW 2025-01-26 0935 F4IRT         599 72     F6IPQ         599 47    
QSO:  7024 CW 2025-01-26 0939 F4IRT         599 72     F8BPN         599 19    
QSO:  7025 CW 2025-01-26 0941 F4IRT         599 72     F5IRQ         599 85    
QSO:  7026 CW 2025-01-26 0942 F4IRT         599 72     F4KLW         599 63    
QSO:  7027 CW 2025-01-26 0943 F4IRT         599 72     F5IAE         599 18    
QSO:  7028 CW 2025-01-26 0944 F4IRT         599 72     F5OHM         599 36    
QSO:  7029 CW 2025-01-26 0946 F4IRT         599 72     F6DTZ         599 65    
QSO:  7031 CW 2025-01-26 0947 F4IRT         599 72     F5SIH         599 38    
QSO:  7032 CW 2025-01-26 0949 F4IRT         599 72     F4HRM         599 79    
QSO:  7032 CW 2025-01-26 0950 F4IRT         599 72     F2NY          599 13    
QSO:  7034 CW 2025-01-26 0953 F4IRT         599 72     IK2AVH        599 095   
QSO:  7044 CW 2025-01-26 1006 F4IRT         599 72     F5PYJ         599 44    
QSO:  7007 CW 2025-01-26 1008 F4IRT         599 72     F5NIB         599 36    
QSO:  7003 CW 2025-01-26 1010 F4IRT         599 72     F5OKB         599 13    
QSO:  7009 CW 2025-01-26 1012 F4IRT         599 72     F5OEV         599 85    
QSO:  7010 CW 2025-01-26 1014 F4IRT         599 72     F8AOF         599 26    
QSO:  7012 CW 2025-01-26 1018 F4IRT         599 72     ON6FC         599 021   
QSO:  7012 CW 2025-01-26 1019 F4IRT         599 72     F5KKD         599 93    
QSO:  7015 CW 2025-01-26 1025 F4IRT         599 72     F6BFQ         599 55    
QSO:  7012 CW 2025-01-26 1642 F4IRT         599 72     F6FTB         599 21    
QSO:  7029 CW 2025-01-26 1642 F4IRT         599 72     F4VVG         599 67    
QSO:  7031 CW 2025-01-26 1650 F4IRT         599 72     F6KFI         599 72    
END-OF-LOG:
