START-OF-LOG: 3.0
CALLSIGN:      SP9RI
CLAIMED-SCORE: CHECKLOG
OPERATORS:     SP9RI
NAME: 	       Jan Rutkowski
SOAPBOX: RADIOS:      TS830S + PA300
SOAPBOX: ANTENNAS:    Inv L, Inv V, GP
SOAPBOX:       I declare that this station was operated stricly in accordance with the
SOAPBOX:       rules and spirit of the contest and within the conditions of my licence.
SOAPBOX:       My report is correct and true to the best of my knowledge.
SOAPBOX:       I agree to the data from this entry being stored, analysed and
SOAPBOX:       crosschecked by computer, and that the decision of the contest
SOAPBOX:       organisers shall be final.
CREATED-BY: MMTTY Ver1.66G
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CONTEST: CQ-WW-RTTY
QSO:  7000 RY 2009-09-26 0443 SP9RI         599 15 DX     SV2BFN        599 20 DX
QSO:  7000 RY 2009-09-26 0444 SP9RI         599 15 DX     RK3FWA        599 16 DX
QSO: 14000 RY 2009-09-26 0512 SP9RI         599 15 DX     RA9FTM        599 17 DX
QSO: 14000 RY 2009-09-26 0519 SP9RI         599 15 DX     RZ4HZW        599 16 DX
QSO: 14000 RY 2009-09-26 0530 SP9RI         599 15 DX     RA9SN         599 16 DX
QSO: 14000 RY 2009-09-26 0540 SP9RI         599 15 DX     RA9AAA        599 17 DX
QSO: 14000 RY 2009-09-26 0619 SP9RI         599 15 DX     RK9CWA        599 17 DX
QSO: 14000 RY 2009-09-26 0629 SP9RI         599 15 DX     IT9ZMX        599 15 DX
QSO: 14000 RY 2009-09-26 0632 SP9RI         599 15 DX     AO5UB         599 14 DX
QSO: 14000 RY 2009-09-26 0644 SP9RI         599 15 DX     RK9JWR        599 17 DX
QSO: 14000 RY 2009-09-26 0707 SP9RI         599 15 DX     UN8LWF        599 17 DX
QSO: 14000 RY 2009-09-26 0711 SP9RI         599 15 DX     EA1SA         599 14 DX
QSO: 14000 RY 2009-09-26 0712 SP9RI         599 15 DX     RU4HP         599 16 DX
QSO: 14000 RY 2009-09-26 0714 SP9RI         599 15 DX     EA5RM         599 14 DX
QSO: 14000 RY 2009-09-26 0723 SP9RI         599 15 DX     TM0C          599 14 DX
QSO: 14000 RY 2009-09-26 0728 SP9RI         599 15 DX     EF8M          599 33 DX
QSO: 14000 RY 2009-09-26 0730 SP9RI         599 15 DX     G6MC          599 14 DX
QSO: 14000 RY 2009-09-26 0803 SP9RI         599 15 DX     EA5ET         599 14 DX
QSO: 14000 RY 2009-09-26 0812 SP9RI         599 15 DX     EB1LA         599 14 DX
QSO: 14000 RY 2009-09-26 0815 SP9RI         599 15 DX     Z33A          599 15 DX
QSO: 14000 RY 2009-09-26 0817 SP9RI         599 15 DX     RA6DE         599 16 DX
QSO: 14000 RY 2009-09-26 0826 SP9RI         599 15 DX     F8DBF         599 14 DX
QSO: 14000 RY 2009-09-26 0836 SP9RI         599 15 DX     EA3DUM        599 14 DX
QSO: 14000 RY 2009-09-26 0839 SP9RI         599 15 DX     RN3ZC         599 16 DX
QSO:  7000 RY 2009-09-26 0848 SP9RI         599 15 DX     OE2IGP        599 15 DX
QSO:  7000 RY 2009-09-26 0851 SP9RI         599 15 DX     PA0VHA        599 14 DX
QSO:  7000 RY 2009-09-26 0854 SP9RI         599 15 DX     YL2MR         599 15 DX
QSO:  7000 RY 2009-09-26 0857 SP9RI         599 15 DX     IN3BIY        599 15 DX
QSO:  7000 RY 2009-09-26 0858 SP9RI         599 15 DX     DQ4W          599 14 DX
QSO:  7000 RY 2009-09-26 0901 SP9RI         599 15 DX     9A5MT         599 15 DX
QSO:  7000 RY 2009-09-26 0909 SP9RI         599 15 DX     EU1AZ         599 16 DX
QSO:  7000 RY 2009-09-26 0910 SP9RI         599 15 DX     DK0EE         599 14 DX
QSO:  7000 RY 2009-09-26 0911 SP9RI         599 15 DX     OH6R          599 15 DX
QSO:  7000 RY 2009-09-26 0913 SP9RI         599 15 DX     YT8A          599 15 DX
QSO:  7000 RY 2009-09-26 0916 SP9RI         599 15 DX     DL5AXX        599 14 DX
QSO:  7000 RY 2009-09-26 0926 SP9RI         599 15 DX     DJ5MY         599 14 DX
QSO: 21000 RY 2009-09-26 0933 SP9RI         599 15 DX     US0MM         599 16 DX
QSO: 21000 RY 2009-09-26 0935 SP9RI         599 15 DX     RA9A          599 17 DX
QSO: 21000 RY 2009-09-26 0941 SP9RI         599 15 DX     UW8I          599 16 DX
QSO: 21000 RY 2009-09-26 0942 SP9RI         599 15 DX     UA9AFS        599 17 DX
