START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.0.1
CONTEST: CQ-WW-RTTY
CALLSIGN: DL7JAN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CLUB: SDXG
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 76596
OPERATORS:
NAME: Jan Foerderer
SOAPBOX: only a few time but had fun! cu 2010 vy 73 de Jan,DL7JAN
QSO:  3500 RY 2009-09-26 0438 DL7JAN        599 14  DX  C37URE        599 14  DX  0
QSO:  3500 RY 2009-09-26 0445 DL7JAN        599 14  DX  CT3KY         599 33  DX  0
QSO:  3500 RY 2009-09-26 0446 DL7JAN        599 14  DX  W2FU          599 05  NY  0
QSO:  3500 RY 2009-09-26 0447 DL7JAN        599 14  DX  PA5KT         599 14  DX  0
QSO:  3500 RY 2009-09-26 0448 DL7JAN        599 14  DX  IK3SSJ        599 15  DX  0
QSO:  3500 RY 2009-09-26 0449 DL7JAN        599 14  DX  W1UE          599 05  MA  0
QSO:  3500 RY 2009-09-26 0451 DL7JAN        599 14  DX  IY1NGM        599 15  DX  0
QSO:  3500 RY 2009-09-26 0452 DL7JAN        599 14  DX  OL3Z          599 15  DX  0
QSO:  3500 RY 2009-09-26 0453 DL7JAN        599 14  DX  CR3L          599 33  DX  0
QSO:  3500 RY 2009-09-26 0454 DL7JAN        599 14  DX  GI5K          599 14  DX  0
QSO:  3500 RY 2009-09-26 0456 DL7JAN        599 14  DX  G6PZ          599 14  DX  0
QSO:  3500 RY 2009-09-26 0501 DL7JAN        599 14  DX  DL4MCF        599 14  DX  0
QSO:  3500 RY 2009-09-26 0502 DL7JAN        599 14  DX  DM3VL         599 14  DX  0
QSO:  3500 RY 2009-09-26 0503 DL7JAN        599 14  DX  OK2SFP        599 15  DX  0
QSO:  3500 RY 2009-09-26 0504 DL7JAN        599 14  DX  ES5Q          599 15  DX  0
QSO:  3500 RY 2009-09-26 0505 DL7JAN        599 14  DX  DQ4W          599 14  DX  0
QSO:  3500 RY 2009-09-26 0506 DL7JAN        599 14  DX  OM3RRC        599 15  DX  0
QSO:  3500 RY 2009-09-26 0507 DL7JAN        599 14  DX  IQ4RN         599 15  DX  0
