START-OF-LOG: 3.0
CALLSIGN: ZS2EZ
CLUB:
CONTEST: CQ-WW-RTTY
CLAIMED-SCORE: 527000
OPERATORS: ZS2EZ
SOAPBOX: What a surprise! 15m wide open both days, 20m jam-packed for 100kHz...
SOAPBOX: amazing! Great contest.
NAME: Barry Murrell
CREATED-BY: N1MM Logger V9.10.2
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO:  7028 RY 2009-09-26 0247 ZS2EZ         599 38 DX  W7RY          599 03 WA
QSO:  7053 RY 2009-09-26 0252 ZS2EZ         599 38 DX  K4GMH         599 05 VA
QSO:  7057 RY 2009-09-26 0322 ZS2EZ         599 38 DX  WK6I          599 03 CA
QSO:  7044 RY 2009-09-26 0328 ZS2EZ         599 38 DX  AA5AU         599 04 LA
QSO:  7053 RY 2009-09-26 0331 ZS2EZ         599 38 DX  AI6YL         599 03 CA
QSO:  7036 RY 2009-09-26 0334 ZS2EZ         599 38 DX  N3BUO         599 04 TX
QSO:  7042 RY 2009-09-26 0336 ZS2EZ         599 38 DX  K5AM          599 04 NM
QSO:  7027 RY 2009-09-26 0349 ZS2EZ         599 38 DX  WA4LOX        599 05 FL
QSO:  7058 RY 2009-09-26 0353 ZS2EZ         599 38 DX  K9CT          599 04 IL
QSO:  7034 RY 2009-09-26 0408 ZS2EZ         599 38 DX  NX5O          599 04 OK
QSO:  7051 RY 2009-09-26 0411 ZS2EZ         599 38 DX  VE3AP         599 04 ON
QSO:  7056 RY 2009-09-26 0413 ZS2EZ         599 38 DX  K6BL          599 03 CA
QSO:  7064 RY 2009-09-26 0414 ZS2EZ         599 38 DX  W2FU          599 05 NY
QSO:  3585 RY 2009-09-26 0416 ZS2EZ         599 38 DX  W2FU          599 05 NY
QSO:  7048 RY 2009-09-26 0429 ZS2EZ         599 38 DX  K9MUG/4       599 04 AL
QSO:  7043 RY 2009-09-26 0430 ZS2EZ         599 38 DX  K7BTW         599 03 WA
QSO:  7062 RY 2009-09-26 0435 ZS2EZ         599 38 DX  K7ZS          599 03 OR
QSO:  7079 RY 2009-09-26 0439 ZS2EZ         599 38 DX  OA4AHW        599 10 DX
QSO:  7074 RY 2009-09-26 0440 ZS2EZ         599 38 DX  N1WR          599 05 MD
QSO:  7056 RY 2009-09-26 0446 ZS2EZ         599 38 DX  W0LSD         599 04 CO
QSO:  7049 RY 2009-09-26 0451 ZS2EZ         599 38 DX  WD5DBV        599 04 LA
QSO: 14094 RY 2009-09-26 0455 ZS2EZ         599 38 DX  UT7MA         599 16 DX
QSO: 14097 RY 2009-09-26 0456 ZS2EZ         599 38 DX  S50R          599 15 DX
QSO: 14085 RY 2009-09-26 0500 ZS2EZ         599 38 DX  EO5M          599 16 DX
QSO:  7035 RY 2009-09-26 0505 ZS2EZ         599 38 DX  KR7X          599 03 OR
QSO:  7046 RY 2009-09-26 0516 ZS2EZ         599 38 DX  K4FX          599 05 NC
QSO: 14082 RY 2009-09-26 0523 ZS2EZ         599 38 DX  OM8A          599 15 DX
QSO: 14078 RY 2009-09-26 0524 ZS2EZ         599 38 DX  IN3QBR        599 15 DX
QSO: 14076 RY 2009-09-26 0525 ZS2EZ         599 38 DX  YT5W          599 15 DX
QSO: 14076 RY 2009-09-26 0526 ZS2EZ         599 38 DX  HA8BE         599 15 DX
QSO: 14091 RY 2009-09-26 0608 ZS2EZ         599 38 DX  FT5GA         599 39 DX
QSO: 14077 RY 2009-09-26 0615 ZS2EZ         599 38 DX  OL3Z          599 15 DX
QSO: 21078 RY 2009-09-26 0658 ZS2EZ         599 38 DX  RL3A          599 16 DX
QSO: 21096 RY 2009-09-26 0704 ZS2EZ         599 38 DX  RK4WWQ        599 16 DX
QSO: 21102 RY 2009-09-26 0708 ZS2EZ         599 38 DX  9A5Y          599 15 DX
QSO: 21104 RY 2009-09-26 0726 ZS2EZ         599 38 DX  A61OO         599 21 DX
QSO: 21103 RY 2009-09-26 0728 ZS2EZ         599 38 DX  IK1WEG        599 15 DX
QSO: 21103 RY 2009-09-26 0730 ZS2EZ         599 38 DX  DL1DVE        599 14 DX
QSO: 21103 RY 2009-09-26 0731 ZS2EZ         599 38 DX  OH6CT         599 15 DX
QSO: 21103 RY 2009-09-26 0732 ZS2EZ         599 38 DX  UA4HAU        599 16 DX
QSO: 21103 RY 2009-09-26 0733 ZS2EZ         599 38 DX  I4IKW         599 15 DX
QSO: 21103 RY 2009-09-26 0733 ZS2EZ         599 38 DX  DQ4W          599 14 DX
QSO: 21103 RY 2009-09-26 0734 ZS2EZ         599 38 DX  YO3JF         599 20 DX
QSO: 21103 RY 2009-09-26 0734 ZS2EZ         599 38 DX  DK3GI         599 14 DX
QSO: 21103 RY 2009-09-26 0735 ZS2EZ         599 38 DX  DP4P          599 14 DX
QSO: 21103 RY 2009-09-26 0736 ZS2EZ         599 38 DX  YO9HP         599 20 DX
QSO: 21103 RY 2009-09-26 0737 ZS2EZ         599 38 DX  Z37M          599 15 DX
QSO: 21103 RY 2009-09-26 0737 ZS2EZ         599 38 DX  UX0FF         599 16 DX
QSO: 21103 RY 2009-09-26 0738 ZS2EZ         599 38 DX  LZ8E          599 20 DX
QSO: 21103 RY 2009-09-26 0738 ZS2EZ         599 38 DX  RG9A          599 17 DX
QSO: 21103 RY 2009-09-26 0739 ZS2EZ         599 38 DX  I2WIJ         599 15 DX
QSO: 21103 RY 2009-09-26 0740 ZS2EZ         599 38 DX  OL3Z          599 15 DX
QSO: 21103 RY 2009-09-26 0741 ZS2EZ         599 38 DX  RU4HP         599 16 DX
QSO: 21103 RY 2009-09-26 0741 ZS2EZ         599 38 DX  YO7DAA        599 20 DX
QSO: 21103 RY 2009-09-26 0742 ZS2EZ         599 38 DX  EA3GLB        599 14 DX
QSO: 21103 RY 2009-09-26 0743 ZS2EZ         599 38 DX  F5QE          599 14 DX
QSO: 21103 RY 2009-09-26 0744 ZS2EZ         599 38 DX  UA3SAQ        599 16 DX
QSO: 21103 RY 2009-09-26 0745 ZS2EZ         599 38 DX  GW5NF         599 14 DX
QSO: 21103 RY 2009-09-26 0746 ZS2EZ         599 38 DX  OG8A          599 15 DX
QSO: 21103 RY 2009-09-26 0746 ZS2EZ         599 38 DX  DK6IM         599 14 DX
QSO: 21103 RY 2009-09-26 0748 ZS2EZ         599 38 DX  RA9SC         599 16 DX
QSO: 21103 RY 2009-09-26 0749 ZS2EZ         599 38 DX  SM5CZQ        599 14 DX
QSO: 21103 RY 2009-09-26 0754 ZS2EZ         599 38 DX  SP7CDH        599 15 DX
QSO: 21103 RY 2009-09-26 0754 ZS2EZ         599 38 DX  OH3UU         599 15 DX
QSO: 21103 RY 2009-09-26 0755 ZS2EZ         599 38 DX  S58M          599 15 DX
QSO: 21103 RY 2009-09-26 0755 ZS2EZ         599 38 DX  RK3MWI        599 16 DX
QSO: 21103 RY 2009-09-26 0756 ZS2EZ         599 38 DX  OK1FCR        599 15 DX
QSO: 21103 RY 2009-09-26 0757 ZS2EZ         599 38 DX  OH7KNM        599 15 DX
QSO: 21103 RY 2009-09-26 0757 ZS2EZ         599 38 DX  UA3AGW        599 16 DX
QSO: 21103 RY 2009-09-26 0759 ZS2EZ         599 38 DX  SM2JUR        599 14 DX
QSO: 21103 RY 2009-09-26 0801 ZS2EZ         599 38 DX  UA9YAB        599 18 DX
QSO: 21103 RY 2009-09-26 0802 ZS2EZ         599 38 DX  IT9RGY        599 15 DX
QSO: 21103 RY 2009-09-26 0803 ZS2EZ         599 38 DX  SV8RX         599 20 DX
QSO: 21103 RY 2009-09-26 0803 ZS2EZ         599 38 DX  RA4FUN        599 16 DX
QSO: 21103 RY 2009-09-26 0804 ZS2EZ         599 38 DX  F4DXW         599 14 DX
QSO: 21103 RY 2009-09-26 0805 ZS2EZ         599 38 DX  IZ3GOM        599 15 DX
QSO: 21103 RY 2009-09-26 0805 ZS2EZ         599 38 DX  RA3MB         599 16 DX
QSO: 21103 RY 2009-09-26 0806 ZS2EZ         599 38 DX  UR2VA         599 16 DX
QSO: 21103 RY 2009-09-26 0806 ZS2EZ         599 38 DX  US0VA         599 16 DX
QSO: 21103 RY 2009-09-26 0807 ZS2EZ         599 38 DX  DL1FYV        599 14 DX
QSO: 21103 RY 2009-09-26 0809 ZS2EZ         599 38 DX  F5JY          599 14 DX
QSO: 21103 RY 2009-09-26 0809 ZS2EZ         599 38 DX  OK1FHI        599 15 DX
QSO: 21103 RY 2009-09-26 0816 ZS2EZ         599 38 DX  EO3Q          599 16 DX
QSO: 21103 RY 2009-09-26 0816 ZS2EZ         599 38 DX  RU3PU         599 16 DX
QSO: 21103 RY 2009-09-26 0818 ZS2EZ         599 38 DX  HA8IE         599 15 DX
QSO: 21103 RY 2009-09-26 0819 ZS2EZ         599 38 DX  YL2PA         599 15 DX
QSO: 21103 RY 2009-09-26 0820 ZS2EZ         599 38 DX  IT9RZU        599 15 DX
QSO: 21103 RY 2009-09-26 0824 ZS2EZ         599 38 DX  OH7UE         599 15 DX
QSO: 21088 RY 2009-09-26 0828 ZS2EZ         599 38 DX  OH1TN         599 15 DX
QSO: 21103 RY 2009-09-26 0837 ZS2EZ         599 38 DX  LA2OKA        599 14 DX
QSO: 21103 RY 2009-09-26 0838 ZS2EZ         599 38 DX  RW0A          599 18 DX
QSO: 21103 RY 2009-09-26 0839 ZS2EZ         599 38 DX  RX0AT         599 18 DX
QSO: 21103 RY 2009-09-26 0840 ZS2EZ         599 38 DX  RW4LQ         599 16 DX
QSO: 21103 RY 2009-09-26 0841 ZS2EZ         599 38 DX  ES2DJ         599 15 DX
QSO: 21103 RY 2009-09-26 0844 ZS2EZ         599 38 DX  UA9BA         599 17 DX
QSO: 21103 RY 2009-09-26 0845 ZS2EZ         599 38 DX  IK4MGP        599 15 DX
QSO: 21103 RY 2009-09-26 0845 ZS2EZ         599 38 DX  UA0AGI        599 18 DX
QSO: 21103 RY 2009-09-26 0846 ZS2EZ         599 38 DX  OH2ET         599 15 DX
QSO: 21103 RY 2009-09-26 0846 ZS2EZ         599 38 DX  YL9T          599 15 DX
QSO: 21103 RY 2009-09-26 0847 ZS2EZ         599 38 DX  SM7CIL        599 14 DX
QSO: 21103 RY 2009-09-26 0847 ZS2EZ         599 38 DX  RA9A          599 17 DX
QSO: 21103 RY 2009-09-26 0848 ZS2EZ         599 38 DX  DL0CS         599 14 DX
QSO: 21103 RY 2009-09-26 0848 ZS2EZ         599 38 DX  IV3TMV        599 15 DX
QSO: 21103 RY 2009-09-26 0849 ZS2EZ         599 38 DX  OL6X          599 15 DX
