START-OF-LOG: 3.0
CREATED-BY: ua9qcq-rcc-cup-ubn-downloader
CONTEST: RCC-CUP
CALLSIGN: UP9L
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: 
OPERATORS: Азат Паризов, Даниил Востротин, Абдумумин Мирзоходжаев, Саидахмад Саидмурадов, Мухамадсодик Саидмурадов
QSO:  7000 PH 2021-05-01 0306 UP9L          59  30     R9YC          59  RCC282
QSO:  7000 PH 2021-05-01 0308 UP9L          59  30     RA4PBE        59  29    
QSO:  7000 PH 2021-05-01 0310 UP9L          59  30     RA5G          59  RCC1  
QSO:  7000 PH 2021-05-01 0311 UP9L          59  30     UN7FW         59  RCC3077
QSO:  7000 PH 2021-05-01 0311 UP9L          59  30     R9MBY         59  30    
QSO:  7000 PH 2021-05-01 0312 UP9L          59  30     R3DCB         59  RCC426
QSO:  7000 PH 2021-05-01 0313 UP9L          59  30     RK8I          59  RCC31 
QSO:  7000 PH 2021-05-01 0314 UP9L          59  30     R3MAI         59  RCC401
QSO:  7000 PH 2021-05-01 0316 UP9L          59  30     UA9LBH        59  30    
QSO:  7000 PH 2021-05-01 0318 UP9L          59  30     UA1WCF        59  29    
QSO: 14000 PH 2021-05-01 0323 UP9L          59  30     RA9V          59  RCC342
QSO:  7000 PH 2021-05-01 0327 UP9L          59  30     UT3HD         59  29    
QSO:  7000 PH 2021-05-01 0335 UP9L          59  30     RU4CK         59  29    
QSO: 14000 PH 2021-05-01 0345 UP9L          59  30     SV3RPQ        59  28    
QSO: 14000 PH 2021-05-01 0348 UP9L          59  30     UA4FDK        59  RCC298
QSO: 14000 PH 2021-05-01 0351 UP9L          59  30     R9YC          59  RCC282
QSO: 14000 PH 2021-05-01 0354 UP9L          59  30     RA1ALA        59  29    
QSO:  7000 PH 2021-05-01 0357 UP9L          59  30     RC5Z          59  RCC732
QSO:  7000 PH 2021-05-01 0357 UP9L          59  30     R9IA          59  RCC95 
QSO:  7000 PH 2021-05-01 0358 UP9L          59  30     RA9AP         59  RCC320
QSO:  7000 PH 2021-05-01 0358 UP9L          59  30     R3RZ          59  29    
QSO:  7000 PH 2021-05-01 0359 UP9L          59  30     UA4K          59  RCC977
QSO:  7000 PH 2021-05-01 0401 UP9L          59  30     RA9V          59  RCC342
