START-OF-LOG: 2.0
REF-SECTION: 17
CALLSIGN: F5KLJ
CATEGORY: MULTI-ONE ALL LOW
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE:  29610
CONTEST: REF-CW
CREATED-BY: WINREF-HF V9.0.1
NAME: RC HAUTE SAINTONGE
OPERATORS: F8OML F6ESD F5PON F5JGL
RIG: KENWOOD TS 570
RIG: KENWOOD TS 570
RIG: FRITZEL FB33 - DIAMOND W 735 - DELTA LOOP _ÉM
RIG: 100
QSO: 7000  CW 2018-01-27 0820 F5KLJ         599 17     F5AKL         599 08   
QSO: 7000  CW 2018-01-27 0825 F5KLJ         599 17     F8CAS         599 47   
QSO: 7000  CW 2018-01-27 0826 F5KLJ         599 17     SM7ZDI        599 002  
QSO: 7000  CW 2018-01-27 0827 F5KLJ         599 17     OK4ORQ        599 085  
QSO: 7000  CW 2018-01-27 0828 F5KLJ         599 17     PA5FN         599 039  
QSO: 7000  CW 2018-01-27 0829 F5KLJ         599 17     F5JLQ         599 62   
QSO: 7000  CW 2018-01-27 0832 F5KLJ         599 17     HB9AJM        599 002  
QSO: 7000  CW 2018-01-27 0833 F5KLJ         599 17     F5AIB         599 54   
QSO: 7000  CW 2018-01-27 0835 F5KLJ         599 17     SF3A          599 027  
QSO: 7000  CW 2018-01-27 0835 F5KLJ         599 17     EA1AOQ        599 058  
QSO: 7000  CW 2018-01-27 0839 F5KLJ         599 17     S52AU         599 065  
QSO: 7000  CW 2018-01-27 0840 F5KLJ         599 17     PA3ARM        599 008  
QSO: 7000  CW 2018-01-27 0841 F5KLJ         599 17     FY5KE         599 FY   
QSO: 7000  CW 2018-01-27 0843 F5KLJ         599 17     F6HHR         599 62   
QSO: 7000  CW 2018-01-27 0845 F5KLJ         599 17     9A1CFR        599 032  
QSO: 7000  CW 2018-01-27 0847 F5KLJ         599 17     F5MNO         599 59   
QSO: 7000  CW 2018-01-27 0850 F5KLJ         599 17     OK2BJK        599 015  
QSO: 7000  CW 2018-01-27 0906 F5KLJ         599 17     F5MDB         599 70   
QSO: 7000  CW 2018-01-27 0910 F5KLJ         599 17     YO4BJW        599 026  
QSO: 7000  CW 2018-01-27 0914 F5KLJ         599 17     DJ1CFK        599 013  
QSO: 7000  CW 2018-01-27 0916 F5KLJ         599 17     GK1DJS        599 021  
QSO: 7000  CW 2018-01-27 0916 F5KLJ         599 17     LY2PX         599 182  
QSO: 7000  CW 2018-01-27 0918 F5KLJ         599 17     TM5M          599 44   
QSO: 7000  CW 2018-01-27 0919 F5KLJ         599 17     DL4HBF        599 008  
QSO: 7000  CW 2018-01-27 0920 F5KLJ         599 17     F8BDX         599 06   
QSO: 7000  CW 2018-01-27 0922 F5KLJ         599 17     EA8/HB9FIS    599 010  
QSO: 7000  CW 2018-01-27 0923 F5KLJ         599 17     F5UMP         599 59   
QSO: 7000  CW 2018-01-27 0924 F5KLJ         599 17     F5FV          599 59   
QSO: 7000  CW 2018-01-27 0926 F5KLJ         599 17     F6BFQ         599 55   
QSO: 7000  CW 2018-01-27 0932 F5KLJ         599 17     CN8KD         599 010  
QSO: 7000  CW 2018-01-27 0933 F5KLJ         599 17     PA3DBI        599 009  
QSO: 7000  CW 2018-01-27 0938 F5KLJ         599 17     DL4CC         599 010  
QSO: 7000  CW 2018-01-27 0939 F5KLJ         599 17     DJ7ON         599 010  
QSO: 7000  CW 2018-01-27 0942 F5KLJ         599 17     F8CZI         599 68   
