START-OF-LOG: 2.0
REF-SECTION: 75
CALLSIGN: F10298
CATEGORY: SWL ALL 
CLAIMED-SCORE:  31500
CONTEST: REF-CW
CREATED-BY: WINREF-HF V9.0.1
NAME: DUTHEIL  JEANPIERRE
OFFTIME: 2018-01-27 2225 2018-01-28 0728
OFFTIME: 2018-01-27 1015 2018-01-27 1622
OFFTIME: 2018-01-27 1906 2018-01-27 2135
OFFTIME: 2018-01-27 1622 2018-01-27 1851
OFFTIME: 2018-01-28 1018 2018-01-28 1236
OFFTIME: 2018-01-28 1241 2018-01-28 1458
OFFTIME: 2018-01-28 0805 2018-01-28 1018
OFFTIME: 2018-01-27 0706 2018-01-27 0832
OFFTIME: 2018-01-28 1602 2018-01-28 1702
RIG:  FT 847  FT897
RIG:  FT 847  FT897
RIG: LW  50 METRE    MINI WIHP   BOULLE MAGNETIC  14 21 28
RIG: 1
QSO: 3500  CW 2018-01-27 0616 F6FDR/P       599 75     F6KHM         599 29   
QSO: 3500  CW 2018-01-27 0617 F6FYA         599 75     F6KPQ         599 56   
QSO: 3500  CW 2018-01-27 0617 F6KPQ         599 75     F6FYA         599 37   
QSO: 3500  CW 2018-01-27 0645 F5KGA         599 75     F5OTS/P       599 58   
QSO: 7000  CW 2018-01-27 0706 EW8OM         599 75     F5NBX         599 87   
QSO: 7000  CW 2018-01-27 0706 F5NBX         599 75     EW8OM         599 028  
QSO: 7000  CW 2018-01-27 0832 LY5T          599 75     F5KMB         599 60   
QSO: 7000  CW 2018-01-27 0856 DL7UXG        599 75     F4HQZ         599 29   
QSO: 7000  CW 2018-01-27 0926 TM3CAZ        599 75     F6DYX         599 49   
QSO: 7000  CW 2018-01-27 0929 F8BXI         599 75     F5XX          599 81   
QSO: 7000  CW 2018-01-27 0929 F5XX          599 75     F8BXI         599 91   
QSO: 7000  CW 2018-01-27 0933 HA3YG         599 75     F8EZX         599 31   
QSO: 7000  CW 2018-01-27 0956 F5JNX         599 75     F6REF         599 00   
QSO: 7000  CW 2018-01-27 1004 F6KJX         599 75     TM4K          599 03   
QSO: 7000  CW 2018-01-27 1005 TM4K          599 75     F6KJX         599 41   
