START-OF-LOG: 3.0
CONTEST: REF-CW
CALLSIGN: EA8/HB9FIH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 30495
CREATED-BY: UcxLog 7.81
OPERATORS: HB9FIH
NAME: Erich Rieder
SOAPBOX: Une bon concour. Je fait le double de resulat de 2017
SOAPBOX: mais traveille suelement 12 heures.
SOAPBOX: Merci bien  tous, e a bientot. Erich en El Hierro 
SOAPBOX: RIG: FT-991A 100 Watt, ANT: ZS6BKW
QSO:  3509 CW 2018-01-27 0716 EA8/HB9FIH    599 001    TM2O          599 24
QSO:  3519 CW 2018-01-27 0729 EA8/HB9FIH    599 002    F5OHM         599 36
QSO:  3521 CW 2018-01-27 0733 EA8/HB9FIH    599 003    F6KHM         599 29
QSO:  7021 CW 2018-01-27 0739 EA8/HB9FIH    599 004    F6KOP         599 77
QSO:  7019 CW 2018-01-27 0741 EA8/HB9FIH    599 005    F5NBX         599 87
QSO:  7012 CW 2018-01-27 0759 EA8/HB9FIH    599 006    F8BUO         599 68
QSO:  7018 CW 2018-01-27 0803 EA8/HB9FIH    599 007    TM55M         599 55
QSO:  7017 CW 2018-01-27 0806 EA8/HB9FIH    599 008    F6KNB         599 33
QSO:  7017 CW 2018-01-27 0809 EA8/HB9FIH    599 009    F8KGW         599 35
QSO:  7011 CW 2018-01-27 0814 EA8/HB9FIH    599 010    F5IN          599 45
QSO:  7026 CW 2018-01-27 0819 EA8/HB9FIH    599 011    F6CXJ         599 47
QSO:  7030 CW 2018-01-27 0823 EA8/HB9FIH    599 012    F6KRK         599 78
QSO:  7032 CW 2018-01-27 0825 EA8/HB9FIH    599 013    F5OTS/P       599 58
QSO:  7033 CW 2018-01-27 0828 EA8/HB9FIH    599 014    F4HQZ         599 29
QSO:  7036 CW 2018-01-27 0919 EA8/HB9FIH    599 015    F5NWG         599 11
QSO:  7039 CW 2018-01-27 0922 EA8/HB9FIH    599 016    F5KLJ         599 17
QSO:  7034 CW 2018-01-27 0926 EA8/HB9FIH    599 017    F8KGZ         599 54
QSO:  7034 CW 2018-01-27 0927 EA8/HB9FIH    599 018    F5UTN         599 27
QSO:  7028 CW 2018-01-27 0937 EA8/HB9FIH    599 019    F5BSB         599 12
QSO: 14031 CW 2018-01-27 0958 EA8/HB9FIH    599 020    F6KOP         599 77
QSO: 14026 CW 2018-01-27 1003 EA8/HB9FIH    599 021    F5OWL         599 83
QSO: 14020 CW 2018-01-27 1007 EA8/HB9FIH    599 022    F5IN          599 45
QSO: 14018 CW 2018-01-27 1016 EA8/HB9FIH    599 023    F5OZC         599 49
QSO: 14043 CW 2018-01-27 1024 EA8/HB9FIH    599 024    F6KMB         599 59
QSO: 14021 CW 2018-01-27 1041 EA8/HB9FIH    599 025    F5XX          599 81
QSO: 14020 CW 2018-01-27 1044 EA8/HB9FIH    599 026    F6KLO         599 19
QSO: 14016 CW 2018-01-27 1057 EA8/HB9FIH    599 027    F5MMX         599 91
QSO: 14015 CW 2018-01-27 1115 EA8/HB9FIH    599 028    F5OHM         599 36
QSO: 14016 CW 2018-01-27 1116 EA8/HB9FIH    599 029    F5UTN         599 27
QSO: 14019 CW 2018-01-27 1117 EA8/HB9FIH    599 030    F6KHM         599 29
QSO: 14034 CW 2018-01-27 1128 EA8/HB9FIH    599 031    F5CQ          599 35
QSO: 14045 CW 2018-01-27 1141 EA8/HB9FIH    599 032    F6KNB         599 33
QSO: 14035 CW 2018-01-27 1144 EA8/HB9FIH    599 033    F6KDL         599 68
QSO: 14030 CW 2018-01-27 1149 EA8/HB9FIH    599 034    FY5KE         599 FY
QSO: 14024 CW 2018-01-27 1204 EA8/HB9FIH    599 035    F5KEQ         599 44
QSO: 14015 CW 2018-01-27 1211 EA8/HB9FIH    599 036    F6REF         599 00
QSO: 14015 CW 2018-01-27 1212 EA8/HB9FIH    599 037    F6KRK         599 78
QSO: 14014 CW 2018-01-27 1214 EA8/HB9FIH    599 038    F5KKD         599 93
QSO: 14020 CW 2018-01-27 1218 EA8/HB9FIH    599 039    F6HDI         599 57
QSO: 14021 CW 2018-01-27 1219 EA8/HB9FIH    599 040    F8KGW         599 35
