START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: T19
CALLSIGN: DK0CN/P
CLAIMED-SCORE: 207866
CREATED-BY: UcxLog 7.76, modified by DXHF upload.
OPERATORS: DL8MAS DL2MHO DM1JZ DJ7BA DL6FCD DG5DJ DL1MRA DL1MTV DM7WL DK3QN
QSO: 14000 PH 2018-09-01 1311 DK0CN/P       59  001    RG9A          59  005
QSO: 14000 PH 2018-09-01 1313 DK0CN/P       59  002    H2X           59  000
QSO: 14000 PH 2018-09-01 1332 DK0CN/P       59  003    R6CZ/P        59  028
QSO: 14000 PH 2018-09-01 1333 DK0CN/P       59  004    UA9CDC/P      59  040
QSO: 14000 PH 2018-09-01 1343 DK0CN/P       59  005    7Z1SJ         59  000
QSO: 14000 PH 2018-09-01 1350 DK0CN/P       59  006    UR5AVL/P      59  007
QSO: 14000 PH 2018-09-01 1352 DK0CN/P       59  007    TA7IHZ        59  000
QSO: 14000 PH 2018-09-01 1358 DK0CN/P       59  008    BD7CT         59  000
QSO: 14000 PH 2018-09-01 1417 DK0CN/P       59  009    A61FK         59  000
QSO: 14000 PH 2018-09-01 1419 DK0CN/P       59  010    A61EK         59  000
QSO: 14000 PH 2018-09-01 1423 DK0CN/P       59  011    JF1NHD        59  000
QSO: 14000 PH 2018-09-01 1428 DK0CN/P       59  012    BD7DT         59  000
QSO: 14000 PH 2018-09-01 1432 DK0CN/P       59  013    BI4SSB        59  000
QSO: 14000 PH 2018-09-01 1433 DK0CN/P       59  014    JA3AOP        59  000
QSO:  7000 PH 2018-09-01 1444 DK0CN/P       59  015    OP6A/P        59  171
QSO:  7000 PH 2018-09-01 1444 DK0CN/P       59  016    DL0OVA/P      59  086
QSO:  7000 PH 2018-09-01 1445 DK0CN/P       59  017    OZ2AR/P       59  182
QSO:  7000 PH 2018-09-01 1446 DK0CN/P       59  018    3Z55/P        59  046
QSO:  7000 PH 2018-09-01 1449 DK0CN/P       59  019    DL7FU/P       59  050
QSO:  7000 PH 2018-09-01 1451 DK0CN/P       59  020    DM3O/P        59  047
QSO:  7000 PH 2018-09-01 1452 DK0CN/P       59  021    TK/DL2RMC/P   59  068
