START-OF-LOG: 3.0
CALLSIGN: K3DBG
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 126809
NAME: JOHN DENISCO
LOCATION: EPA
OPERATORS: K3DBG
CLUB: Murgas Amateur Radio Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5924.0
SOAPBOX: Thank you so much for all your hard work putting these contests
SOAPBOX: on!!! They are great FUN!!! 73...
QSO: 14101 RY 2016-09-24 0007 K3DBG         599 05 PA  ZZ2T          599 11 DX
QSO: 14099 RY 2016-09-24 0012 K3DBG         599 05 PA  N3BUO         599 04 TX
QSO: 14092 RY 2016-09-24 0017 K3DBG         599 05 PA  N7US          599 04 IL
QSO: 14090 RY 2016-09-24 0023 K3DBG         599 05 PA  KI6DY         599 04 KS
QSO: 14081 RY 2016-09-24 0048 K3DBG         599 05 PA  NX5O          599 04 OK
QSO: 14083 RY 2016-09-24 0051 K3DBG         599 05 PA  CO2RVA        599 08 DX
QSO: 14098 RY 2016-09-24 0101 K3DBG         599 05 PA  WE6EZ         599 04 TX
QSO: 14100 RY 2016-09-24 0103 K3DBG         599 05 PA  LU2FZ         599 13 DX
QSO: 14103 RY 2016-09-24 0106 K3DBG         599 05 PA  N5KWN         599 04 TX
QSO: 14105 RY 2016-09-24 0109 K3DBG         599 05 PA  W6SX          599 03 CA
QSO:  7088 RY 2016-09-24 0127 K3DBG         599 05 PA  YM7KA         599 20 DX
QSO:  7091 RY 2016-09-24 0133 K3DBG         599 05 PA  W4VIC         599 05 VA
QSO:  7090 RY 2016-09-24 0135 K3DBG         599 05 PA  DK3T          599 14 DX
QSO:  7088 RY 2016-09-24 0136 K3DBG         599 05 PA  KI6DY         599 04 KS
QSO:  7085 RY 2016-09-24 0157 K3DBG         599 05 PA  SV9CVY        599 20 DX
QSO:  7084 RY 2016-09-24 0206 K3DBG         599 05 PA  P49X          599 09 DX
QSO:  7082 RY 2016-09-24 0210 K3DBG         599 05 PA  XE2CQ         599 06 DX
QSO:  7081 RY 2016-09-24 0211 K3DBG         599 05 PA  DF0SAX        599 14 DX
QSO:  7081 RY 2016-09-24 0212 K3DBG         599 05 PA  N0AT          599 04 MN
QSO:  7080 RY 2016-09-24 0212 K3DBG         599 05 PA  K0YR          599 04 MN
QSO:  7076 RY 2016-09-24 0214 K3DBG         599 05 PA  8P2K          599 08 DX
QSO:  7076 RY 2016-09-24 0215 K3DBG         599 05 PA  AB0RX         599 04 MO
QSO:  7074 RY 2016-09-24 0219 K3DBG         599 05 PA  9A0Z          599 15 DX
QSO:  7073 RY 2016-09-24 0220 K3DBG         599 05 PA  IQ9UI         599 15 DX
QSO:  7072 RY 2016-09-24 0222 K3DBG         599 05 PA  IQ6AN         599 15 DX
QSO:  7071 RY 2016-09-24 0226 K3DBG         599 05 PA  AA0AW         599 04 MN
QSO:  7070 RY 2016-09-24 0227 K3DBG         599 05 PA  AD4ES         599 05 FL
QSO:  7068 RY 2016-09-24 0229 K3DBG         599 05 PA  K0AD          599 04 MN
QSO:  7066 RY 2016-09-24 0233 K3DBG         599 05 PA  K9CT          599 04 IL
QSO:  7063 RY 2016-09-24 0235 K3DBG         599 05 PA  W7RY          599 05 AR
QSO:  7063 RY 2016-09-24 0236 K3DBG         599 05 PA  IQ3RK         599 15 DX
QSO:  7062 RY 2016-09-24 0236 K3DBG         599 05 PA  LU1FKR        599 13 DX
QSO:  7062 RY 2016-09-24 0237 K3DBG         599 05 PA  IQ1RY         599 15 DX
QSO:  7059 RY 2016-09-24 0243 K3DBG         599 05 PA  SN7Q          599 15 DX
QSO:  7059 RY 2016-09-24 0244 K3DBG         599 05 PA  IT9CLN        599 15 DX
QSO:  7057 RY 2016-09-24 0245 K3DBG         599 05 PA  G9V           599 14 DX
QSO:  7056 RY 2016-09-24 0247 K3DBG         599 05 PA  WA7LNW        599 03 UT
QSO:  7056 RY 2016-09-24 0248 K3DBG         599 05 PA  SP3VSE        599 15 DX
QSO:  7055 RY 2016-09-24 0250 K3DBG         599 05 PA  VC3S          599 04 ON
QSO:  7052 RY 2016-09-24 0326 K3DBG         599 05 PA  W0MB          599 04 MO
QSO:  7051 RY 2016-09-24 0329 K3DBG         599 05 PA  9A5X          599 15 DX
QSO:  7050 RY 2016-09-24 0330 K3DBG         599 05 PA  WC1X          599 03 CA
QSO:  7060 RY 2016-09-24 0454 K3DBG         599 05 PA  LZ9W          599 20 DX
QSO:  7061 RY 2016-09-24 0456 K3DBG         599 05 PA  IV3SKB        599 15 DX
QSO:  7069 RY 2016-09-24 0536 K3DBG         599 05 PA  DL1QW         599 14 DX
QSO:  7069 RY 2016-09-24 0540 K3DBG         599 05 PA  KU4QG         599 05 AL
QSO:  7082 RY 2016-09-24 0554 K3DBG         599 05 PA  ZZ2T          599 11 DX
QSO:  7082 RY 2016-09-24 0555 K3DBG         599 05 PA  S57AW         599 15 DX
QSO:  7087 RY 2016-09-24 0557 K3DBG         599 05 PA  V31MA         599 07 DX
QSO:  7086 RY 2016-09-24 0616 K3DBG         599 05 PA  ED2C          599 14 DX
QSO:  7085 RY 2016-09-24 0618 K3DBG         599 05 PA  YV5TNT        599 09 DX
QSO:  7079 RY 2016-09-24 0620 K3DBG         599 05 PA  HB9TTK        599 15 DX
QSO:  7074 RY 2016-09-24 0621 K3DBG         599 05 PA  CR3W          599 33 DX
QSO:  7070 RY 2016-09-24 0623 K3DBG         599 05 PA  WP3C          599 08 DX
QSO:  7066 RY 2016-09-24 0625 K3DBG         599 05 PA  DJ8OG         599 14 DX
QSO:  7063 RY 2016-09-24 0723 K3DBG         599 05 PA  N5AC          599 04 TX
QSO:  7040 RY 2016-09-24 0728 K3DBG         599 05 PA  W0LSD         599 04 CO
QSO:  7041 RY 2016-09-24 0731 K3DBG         599 05 PA  G3YQA         599 14 DX
QSO:  3586 RY 2016-09-24 0744 K3DBG         599 05 PA  W4MLB         599 05 FL
QSO:  3587 RY 2016-09-24 0745 K3DBG         599 05 PA  W4AAW         599 05 PA
QSO:  3583 RY 2016-09-24 0747 K3DBG         599 05 PA  P49X          599 09 DX
QSO:  3582 RY 2016-09-24 0748 K3DBG         599 05 PA  KI6DY         599 04 KS
QSO:  3581 RY 2016-09-24 0748 K3DBG         599 05 PA  NV9L          599 04 IL
QSO:  3576 RY 2016-09-24 0755 K3DBG         599 05 PA  W7YAQ         599 07 OR
QSO:  3581 RY 2016-09-24 0758 K3DBG         599 05 PA  NR4M          599 05 VA
QSO:  3581 RY 2016-09-24 0759 K3DBG         599 05 PA  K9CT          599 04 IL
QSO:  3581 RY 2016-09-24 0803 K3DBG         599 05 PA  VE7SZ         599 03 BC
QSO:  3581 RY 2016-09-24 0804 K3DBG         599 05 PA  AA4AK         599 05 ME
QSO:  3581 RY 2016-09-24 0804 K3DBG         599 05 PA  K4MM          599 05 FL
QSO:  3581 RY 2016-09-24 0807 K3DBG         599 05 PA  CO2XK         599 08 DX
QSO:  3581 RY 2016-09-24 0819 K3DBG         599 05 PA  N5RLM         599 04 LA
QSO:  3581 RY 2016-09-24 0821 K3DBG         599 05 PA  K2DLS         599 05 NJ
QSO:  3581 RY 2016-09-24 0823 K3DBG         599 05 PA  WH6YH         599 05 DX
QSO:  3581 RY 2016-09-24 0824 K3DBG         599 05 PA  K1SFA         599 05 MA
QSO:  3581 RY 2016-09-24 0837 K3DBG         599 05 PA  W9VQ          599 04 IL
QSO:  3580 RY 2016-09-24 0844 K3DBG         599 05 PA  K3MJW         599 05 PA
QSO:  7064 RY 2016-09-24 0855 K3DBG         599 05 PA  W4MLB         599 05 FL
QSO: 14081 RY 2016-09-24 2248 K3DBG         599 05 PA  EI7KD         599 14 DX
QSO: 14084 RY 2016-09-24 2250 K3DBG         599 05 PA  K6LL          599 03 AZ
QSO: 14093 RY 2016-09-24 2319 K3DBG         599 05 PA  K0NJR         599 04 MN
QSO: 14095 RY 2016-09-24 2321 K3DBG         599 05 PA  K0AD          599 04 MN
QSO: 14096 RY 2016-09-24 2322 K3DBG         599 05 PA  5C5W          599 33 DX
QSO: 14097 RY 2016-09-24 2325 K3DBG         599 05 PA  K7JR          599 03 OR
QSO:  7092 RY 2016-09-24 2344 K3DBG         599 05 PA  LZ7A          599 20 DX
QSO:  7092 RY 2016-09-24 2344 K3DBG         599 05 PA  IN3VVK        599 15 DX
QSO:  7092 RY 2016-09-24 2345 K3DBG         599 05 PA  WA1DRQ        599 05 MA
QSO:  7092 RY 2016-09-24 2347 K3DBG         599 05 PA  K9JWI         599 04 IN
QSO:  7092 RY 2016-09-24 2349 K3DBG         599 05 PA  KW9U          599 04 IL
QSO:  7092 RY 2016-09-24 2350 K3DBG         599 05 PA  W3FIZ         599 05 PA
QSO:  7092 RY 2016-09-24 2350 K3DBG         599 05 PA  AB9YC         599 04 IL
QSO:  7092 RY 2016-09-24 2351 K3DBG         599 05 PA  WI2A          599 05 NY
QSO:  7092 RY 2016-09-24 2352 K3DBG         599 05 PA  KB1ODO        599 05 VT
QSO:  7092 RY 2016-09-24 2355 K3DBG         599 05 PA  N8VCF         599 05 WV
QSO:  7092 RY 2016-09-24 2356 K3DBG         599 05 PA  KQ4LA         599 05 VA
QSO:  7092 RY 2016-09-24 2359 K3DBG         599 05 PA  N4TL          599 05 VA
QSO:  7092 RY 2016-09-25 0002 K3DBG         599 05 PA  KA2FHN        599 05 NY
QSO:  7092 RY 2016-09-25 0003 K3DBG         599 05 PA  GM4FDX        599 14 DX
QSO:  7092 RY 2016-09-25 0004 K3DBG         599 05 PA  VE3WPV        599 04 ON
QSO:  7092 RY 2016-09-25 0005 K3DBG         599 05 PA  WA2PNI        599 05 NJ
QSO:  7092 RY 2016-09-25 0006 K3DBG         599 05 PA  N9UA          599 04 WI
QSO:  7092 RY 2016-09-25 0007 K3DBG         599 05 PA  DH8AF         599 14 DX
QSO:  7092 RY 2016-09-25 0009 K3DBG         599 05 PA  W2DXE         599 05 NY
QSO:  7092 RY 2016-09-25 0009 K3DBG         599 05 PA  AC2AA         599 05 NH
QSO:  7092 RY 2016-09-25 0011 K3DBG         599 05 PA  W4AA          599 05 VA
QSO:  7092 RY 2016-09-25 0011 K3DBG         599 05 PA  VE3KI         599 04 ON
QSO:  7092 RY 2016-09-25 0012 K3DBG         599 05 PA  I4DZ          599 15 DX
QSO:  7092 RY 2016-09-25 0013 K3DBG         599 05 PA  N4CF          599 05 VA
QSO:  7092 RY 2016-09-25 0013 K3DBG         599 05 PA  WA1HEW        599 05 PA
QSO:  7092 RY 2016-09-25 0014 K3DBG         599 05 PA  NE7X          599 03 AZ
QSO:  7092 RY 2016-09-25 0016 K3DBG         599 05 PA  P3X           599 20 DX
