START-OF-LOG: 3.0
CALLSIGN: PI4CC
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4747435
NAME: Contest Club
LOCATION: DX
OPERATORS: PA2A PA2DK PA2EVR PA2MVM PA4LA PC2A PD7RB PG2A PG2M PG4DX
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.21.0
SOAPBOX: Run for fun!. 3 radio's in one shack 2*4 meters CU next contest
QSO:  3593 RY 2016-09-24 0001 PI4CC         599 14 DX  I1JTQ         599 15 DX  0
QSO:  3593 RY 2016-09-24 0002 PI4CC         599 14 DX  CT1AOZ        599 14 DX  0
QSO:  3593 RY 2016-09-24 0003 PI4CC         599 14 DX  F5BEG         599 14 DX  0
QSO:  3593 RY 2016-09-24 0004 PI4CC         599 14 DX  OK1KSL        599 15 DX  0
QSO:  3593 RY 2016-09-24 0005 PI4CC         599 14 DX  IZ0KBR        599 15 DX  0
QSO:  7048 RY 2016-09-24 0007 PI4CC         599 14 DX  W2YC          599 05 NJ  0
QSO:  3593 RY 2016-09-24 0007 PI4CC         599 14 DX  DL1T          599 14 DX  0
QSO:  3593 RY 2016-09-24 0007 PI4CC         599 14 DX  IN3OWY        599 15 DX  0
QSO:  7048 RY 2016-09-24 0010 PI4CC         599 14 DX  K2XR          599 05 PA  0
QSO:  3593 RY 2016-09-24 0010 PI4CC         599 14 DX  IW2MXY        599 15 DX  0
QSO:  7048 RY 2016-09-24 0011 PI4CC         599 14 DX  W4MLB         599 05 FL  0
QSO:  3593 RY 2016-09-24 0011 PI4CC         599 14 DX  RA1ALC        599 16 DX  0
QSO:  7048 RY 2016-09-24 0012 PI4CC         599 14 DX  R7DA          599 16 DX  0
QSO:  3593 RY 2016-09-24 0012 PI4CC         599 14 DX  SM7MX         599 14 DX  0
QSO:  7048 RY 2016-09-24 0012 PI4CC         599 14 DX  UT5EPP        599 16 DX  0
QSO:  3593 RY 2016-09-24 0012 PI4CC         599 14 DX  US6CQ         599 16 DX  0
QSO:  7048 RY 2016-09-24 0013 PI4CC         599 14 DX  EW1IP         599 16 DX  0
QSO:  3593 RY 2016-09-24 0014 PI4CC         599 14 DX  4O10A         599 15 DX  0
QSO:  7048 RY 2016-09-24 0014 PI4CC         599 14 DX  UR3QCW        599 16 DX  0
QSO:  3593 RY 2016-09-24 0015 PI4CC         599 14 DX  RK3DXW        599 16 DX  0
QSO:  3593 RY 2016-09-24 0015 PI4CC         599 14 DX  LY6A          599 15 DX  0
QSO:  7048 RY 2016-09-24 0016 PI4CC         599 14 DX  UX1UX         599 16 DX  0
QSO:  3593 RY 2016-09-24 0017 PI4CC         599 14 DX  IY9UI         599 15 DX  0
QSO:  3593 RY 2016-09-24 0018 PI4CC         599 14 DX  CT1BXT        599 14 DX  0
QSO:  3593 RY 2016-09-24 0018 PI4CC         599 14 DX  DK6SP         599 14 DX  0
QSO:  3593 RY 2016-09-24 0019 PI4CC         599 14 DX  DR5N          599 14 DX  0
QSO:  3593 RY 2016-09-24 0019 PI4CC         599 14 DX  YO6HSU        599 20 DX  0
QSO:  3593 RY 2016-09-24 0020 PI4CC         599 14 DX  SZ1A          599 20 DX  0
QSO: 14080 RY 2016-09-24 0020 PI4CC         599 14 DX  9A701A        599 15 DX  0
QSO:  3593 RY 2016-09-24 0020 PI4CC         599 14 DX  OK1PX         599 15 DX  0
QSO:  3593 RY 2016-09-24 0021 PI4CC         599 14 DX  SQ1OD         599 15 DX  0
QSO:  3593 RY 2016-09-24 0021 PI4CC         599 14 DX  F4DSK         599 14 DX  0
QSO:  3593 RY 2016-09-24 0022 PI4CC         599 14 DX  YO9HP         599 20 DX  0
QSO:  3593 RY 2016-09-24 0023 PI4CC         599 14 DX  HG1S          599 15 DX  0
QSO:  7048 RY 2016-09-24 0023 PI4CC         599 14 DX  8P2K          599 08 DX  0
QSO:  3593 RY 2016-09-24 0024 PI4CC         599 14 DX  SM4RGD        599 14 DX  0
QSO:  7048 RY 2016-09-24 0024 PI4CC         599 14 DX  WA1NPZ        599 05 NH  0
QSO:  7048 RY 2016-09-24 0025 PI4CC         599 14 DX  RZ3AV         599 16 DX  0
QSO:  3593 RY 2016-09-24 0025 PI4CC         599 14 DX  SG5G          599 14 DX  0
QSO:  3593 RY 2016-09-24 0026 PI4CC         599 14 DX  DK7ZT         599 14 DX  0
QSO:  3593 RY 2016-09-24 0027 PI4CC         599 14 DX  IU1GNA        599 15 DX  0
QSO:  7048 RY 2016-09-24 0027 PI4CC         599 14 DX  RV5K          599 16 DX  0
QSO:  3593 RY 2016-09-24 0027 PI4CC         599 14 DX  OH0JWL        599 15 DX  0
QSO:  7048 RY 2016-09-24 0028 PI4CC         599 14 DX  LZ3YY         599 20 DX  0
QSO:  3593 RY 2016-09-24 0028 PI4CC         599 14 DX  HG7T          599 15 DX  0
QSO:  7048 RY 2016-09-24 0029 PI4CC         599 14 DX  IK8NBE        599 15 DX  0
QSO:  3593 RY 2016-09-24 0029 PI4CC         599 14 DX  LZ5XQ         599 20 DX  0
QSO:  7048 RY 2016-09-24 0030 PI4CC         599 14 DX  VA2UP         599 05 QC  0
QSO:  7048 RY 2016-09-24 0030 PI4CC         599 14 DX  UT2IO         599 16 DX  0
QSO:  3593 RY 2016-09-24 0031 PI4CC         599 14 DX  SP8K          599 15 DX  0
QSO:  3593 RY 2016-09-24 0032 PI4CC         599 14 DX  ES1QV         599 15 DX  0
QSO:  3593 RY 2016-09-24 0032 PI4CC         599 14 DX  EW7A          599 16 DX  0
QSO:  3593 RY 2016-09-24 0032 PI4CC         599 14 DX  EW7EW         599 16 DX  0
QSO:  3593 RY 2016-09-24 0033 PI4CC         599 14 DX  ED2C          599 14 DX  0
QSO:  7048 RY 2016-09-24 0034 PI4CC         599 14 DX  K3UW          599 05 PA  0
QSO:  7048 RY 2016-09-24 0034 PI4CC         599 14 DX  N4KH          599 04 AL  0
QSO:  3593 RY 2016-09-24 0035 PI4CC         599 14 DX  OK4GP         599 15 DX  0
