START-OF-LOG: 3.0
CALLSIGN: IK2MXM
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 49166
NAME: GIGI
LOCATION: DX
OPERATORS: IK2MXM
CLUB:  
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5924.0
SOAPBOX: FT991 MAX PWR 50W - MULTIBAND VERTICAL ANTENNA - INV VEE DIPOLE
SOAPBOX: VERY EASY AND SIMPLY RULES ! THANKS 73 GIGI
QSO:  7049 RY 2016-09-24 0420 IK2MXM        599 15 DX  CS5CRE        599 14 DX
QSO: 14107 RY 2016-09-24 0428 IK2MXM        599 15 DX  R3AP          599 16 DX
QSO: 14095 RY 2016-09-24 0433 IK2MXM        599 15 DX  UN1L          599 17 DX
QSO: 14083 RY 2016-09-24 0436 IK2MXM        599 15 DX  RM3F          599 16 DX
QSO:  7045 RY 2016-09-24 0513 IK2MXM        599 15 DX  US1Q          599 16 DX
QSO:  7052 RY 2016-09-24 0703 IK2MXM        599 15 DX  S51CK         599 15 DX
QSO:  7061 RY 2016-09-24 0706 IK2MXM        599 15 DX  PG3N          599 14 DX
QSO:  7057 RY 2016-09-24 0709 IK2MXM        599 15 DX  PI4CC         599 14 DX
QSO:  7046 RY 2016-09-24 0712 IK2MXM        599 15 DX  9A701A        599 15 DX
QSO:  7044 RY 2016-09-24 0714 IK2MXM        599 15 DX  AN400V        599 14 DX
QSO:  7044 RY 2016-09-24 0718 IK2MXM        599 15 DX  LZC5JC        599 20 DX
QSO:  7045 RY 2016-09-24 0721 IK2MXM        599 15 DX  DR5N          599 14 DX
QSO:  7052 RY 2016-09-24 0727 IK2MXM        599 15 DX  PA3EVY        599 14 DX
QSO:  7052 RY 2016-09-24 0728 IK2MXM        599 15 DX  PC5D          599 14 DX
QSO:  7050 RY 2016-09-24 0731 IK2MXM        599 15 DX  DL1ARJ        599 14 DX
QSO:  7053 RY 2016-09-24 0733 IK2MXM        599 15 DX  LX1ER         599 14 DX
QSO:  7053 RY 2016-09-24 0747 IK2MXM        599 15 DX  DL4ME         599 14 DX
QSO:  7053 RY 2016-09-24 0753 IK2MXM        599 15 DX  DL1FCU        599 14 DX
QSO: 14085 RY 2016-09-24 0803 IK2MXM        599 15 DX  CR5U          599 14 DX
QSO: 14117 RY 2016-09-24 0811 IK2MXM        599 15 DX  EC7WA         599 14 DX
QSO: 14113 RY 2016-09-24 0812 IK2MXM        599 15 DX  RG9A          599 17 DX
QSO: 14110 RY 2016-09-24 0813 IK2MXM        599 15 DX  LY2SA         599 15 DX
QSO: 14105 RY 2016-09-24 0815 IK2MXM        599 15 DX  SV3EXU        599 20 DX
