START-OF-LOG: 3.0
CALLSIGN: VE7BGP
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2166
NAME: Gerry Pement
LOCATION: BC
OPERATORS: VE7BGP
CLUB: Nanaimo Amateur Radio Association
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5924.0
SOAPBOX: I only participated Saturday on this contest this year. It was
SOAPBOX: Classic Exchange Sunday so I participated in that Contest Sunday,
SOAPBOX: I got most of the QSO's with my venerable old IC-751A
QSO: 21079 RY 2016-09-24 2135 VE7BGP        599 03 BC  ZZ2T          599 11 DX
QSO: 21079 RY 2016-09-24 2150 VE7BGP        599 03 BC  VE7SZ         599 03 BC
QSO: 21082 RY 2016-09-24 2152 VE7BGP        599 03 BC  W4HOD         599 04 AL
QSO: 21080 RY 2016-09-24 2209 VE7BGP        599 03 BC  NV9L          599 04 IL
QSO: 21081 RY 2016-09-24 2224 VE7BGP        599 03 BC  JF8EPR        599 25 DX
QSO: 21084 RY 2016-09-24 2310 VE7BGP        599 03 BC  N4BP          599 05 FL
QSO: 21088 RY 2016-09-24 2335 VE7BGP        599 03 BC  VR2XMT        599 24 DX
QSO: 21090 RY 2016-09-25 0010 VE7BGP        599 03 BC  YB0NDT        599 28 DX
QSO: 21090 RY 2016-09-25 0023 VE7BGP        599 03 BC  PP5NY         599 11 DX
QSO: 21092 RY 2016-09-25 0029 VE7BGP        599 03 BC  JR1EMO        599 25 DX
QSO: 21094 RY 2016-09-25 0033 VE7BGP        599 03 BC  YE1ZAT        599 28 DX
QSO: 21094 RY 2016-09-25 0040 VE7BGP        599 03 BC  UA0LMO        599 19 DX
QSO: 21094 RY 2016-09-25 0042 VE7BGP        599 03 BC  JA7BME        599 25 DX
QSO: 21096 RY 2016-09-25 0043 VE7BGP        599 03 BC  JI1RXQ        599 25 DX
QSO: 21096 RY 2016-09-25 0047 VE7BGP        599 03 BC  CB1H          599 12 DX
QSO: 21078 RY 2016-09-25 0100 VE7BGP        599 03 BC  WB5TUF        599 04 TX
QSO: 14079 RY 2016-09-25 0427 VE7BGP        599 03 BC  VE7SZ         599 03 BC
QSO: 14087 RY 2016-09-25 0430 VE7BGP        599 03 BC  RU0LL         599 19 DX
QSO: 14079 RY 2016-09-25 0438 VE7BGP        599 03 BC  JI1RXQ        599 25 DX
QSO: 14084 RY 2016-09-25 0443 VE7BGP        599 03 BC  W6TK          599 03 CA
QSO:  7068 RY 2016-09-25 0528 VE7BGP        599 03 BC  KM4FRM        599 04 KY
QSO:  7064 RY 2016-09-25 0710 VE7BGP        599 03 BC  WB3JFS        599 03 NV
QSO:  7065 RY 2016-09-25 0719 VE7BGP        599 03 BC  WW4LL         599 05 GA
END-OF-LOG:
