START-OF-LOG: 3.0
CALLSIGN: W6QU
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 144256
NAME: Bill Parker
LOCATION: SDG
OPERATORS: W8QZA
CLUB: Southern California Contest Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger V11.4.0
SOAPBOX: Condx getting worse and score is dropping, but still lots of fun!!
QSO: 21092 RY 2016-09-24 0006 W6QU          599 03 CA  YV1YLY        599 09 DX
QSO: 21093 RY 2016-09-24 0010 W6QU          599 03 CA  CB1H          599 12 DX
QSO: 21097 RY 2016-09-24 0019 W6QU          599 03 CA  KU2M          599 05 NJ
QSO: 21092 RY 2016-09-24 0034 W6QU          599 03 CA  WN6K          599 03 CA
QSO: 21086 RY 2016-09-24 0049 W6QU          599 03 CA  ZL3JT         599 32 DX
QSO: 28082 RY 2016-09-24 0053 W6QU          599 03 CA  CW4MAX        599 13 DX
QSO: 21110 RY 2016-09-24 0056 W6QU          599 03 CA  JA1BPA        599 25 DX
QSO: 21096 RY 2016-09-24 0058 W6QU          599 03 CA  JS3CTQ        599 25 DX
QSO: 21079 RY 2016-09-24 0102 W6QU          599 03 CA  LU1FKR        599 13 DX
QSO: 14116 RY 2016-09-24 0123 W6QU          599 03 CA  K7ZS          599 03 OR
QSO: 14127 RY 2016-09-24 0139 W6QU          599 03 CA  K2PO          599 03 OR
QSO: 21103 RY 2016-09-24 0144 W6QU          599 03 CA  9M6XRO        599 28 DX
QSO: 21092 RY 2016-09-24 0150 W6QU          599 03 CA  ZM2B          599 32 DX
QSO: 21088 RY 2016-09-24 0153 W6QU          599 03 CA  VK2RT         599 30 DX
QSO: 21083 RY 2016-09-24 0155 W6QU          599 03 CA  ZL1N          599 32 DX
QSO: 21098 RY 2016-09-24 0157 W6QU          599 03 CA  ZL3TE         599 32 DX
QSO: 14131 RY 2016-09-24 0200 W6QU          599 03 CA  N5FNC         599 04 TX
QSO: 14126 RY 2016-09-24 0203 W6QU          599 03 CA  CE2MVF        599 12 DX
QSO: 14118 RY 2016-09-24 0205 W6QU          599 03 CA  LQ7E          599 13 DX
QSO: 14117 RY 2016-09-24 0206 W6QU          599 03 CA  XE1REW/2      599 06 DX
QSO: 14116 RY 2016-09-24 0207 W6QU          599 03 CA  K7ZS          599 03 OR
QSO: 14112 RY 2016-09-24 0211 W6QU          599 03 CA  K0YR          599 04 MN
QSO: 14106 RY 2016-09-24 0214 W6QU          599 03 CA  VA7ST         599 03 BC
QSO: 14105 RY 2016-09-24 0215 W6QU          599 03 CA  WG7X          599 03 WA
QSO: 14094 RY 2016-09-24 0217 W6QU          599 03 CA  RU0LL         599 19 DX
QSO: 14093 RY 2016-09-24 0220 W6QU          599 03 CA  KL4SD         599 01 DX
QSO: 14093 RY 2016-09-24 0223 W6QU          599 03 CA  JF8EPR        599 25 DX
QSO: 14089 RY 2016-09-24 0240 W6QU          599 03 CA  UN1L          599 17 DX
QSO: 14087 RY 2016-09-24 0243 W6QU          599 03 CA  ZL3JT         599 32 DX
QSO: 14087 RY 2016-09-24 0244 W6QU          599 03 CA  W7VXS         599 03 WA
QSO: 14085 RY 2016-09-24 0245 W6QU          599 03 CA  KZ1W          599 03 WA
QSO: 14083 RY 2016-09-24 0248 W6QU          599 03 CA  RL9I          599 18 DX
QSO: 14082 RY 2016-09-24 0249 W6QU          599 03 CA  VE7HBS        599 03 BC
QSO: 14116 RY 2016-09-24 0308 W6QU          599 03 CA  7K4QOK        599 25 DX
QSO: 14112 RY 2016-09-24 0309 W6QU          599 03 CA  JE1LFX        599 25 DX
QSO: 14111 RY 2016-09-24 0310 W6QU          599 03 CA  WH0RU         599 27 DX
QSO: 14106 RY 2016-09-24 0312 W6QU          599 03 CA  JH1XUM        599 25 DX
QSO: 14104 RY 2016-09-24 0312 W6QU          599 03 CA  JS3CTQ        599 25 DX
QSO: 14102 RY 2016-09-24 0313 W6QU          599 03 CA  JA2BQX        599 25 DX
QSO: 14097 RY 2016-09-24 0316 W6QU          599 03 CA  JA6GCE        599 25 DX
QSO: 14097 RY 2016-09-24 0325 W6QU          599 03 CA  ZL1N          599 32 DX
QSO: 14094 RY 2016-09-24 0325 W6QU          599 03 CA  KH6ZM         599 31 DX
QSO: 14085 RY 2016-09-24 0331 W6QU          599 03 CA  KG6DX         599 27 DX
QSO: 14087 RY 2016-09-24 0346 W6QU          599 03 CA  JH4UTP        599 25 DX
QSO:  7081 RY 2016-09-24 0353 W6QU          599 03 CA  NV9L          599 04 IL
QSO:  7054 RY 2016-09-24 0405 W6QU          599 03 CA  W7CT          599 03 UT
QSO:  3579 RY 2016-09-24 0409 W6QU          599 03 CA  N9NA          599 03 AZ
QSO:  7093 RY 2016-09-24 0435 W6QU          599 03 CA  N1KEZ         599 03 OR
QSO:  7085 RY 2016-09-24 0439 W6QU          599 03 CA  K7VIT         599 03 OR
QSO:  7070 RY 2016-09-24 0441 W6QU          599 03 CA  W7TSQ         599 03 WA
QSO:  7061 RY 2016-09-24 0445 W6QU          599 03 CA  VE7SZ         599 03 BC
QSO:  7051 RY 2016-09-24 0449 W6QU          599 03 CA  N7AT          599 03 AZ
QSO:  7084 RY 2016-09-24 0532 W6QU          599 03 CA  P49X          599 09 DX
QSO:  7054 RY 2016-09-24 0542 W6QU          599 03 CA  AC0C          599 04 KS
QSO:  7046 RY 2016-09-24 0548 W6QU          599 03 CA  K7BTW         599 03 WA
QSO:  7045 RY 2016-09-24 0549 W6QU          599 03 CA  KZ1W          599 03 WA
QSO:  3584 RY 2016-09-24 0559 W6QU          599 03 CA  W1SRD         599 03 CA
QSO:  7064 RY 2016-09-24 0611 W6QU          599 03 CA  W7RY          599 05 AR
QSO:  3588 RY 2016-09-24 0752 W6QU          599 03 CA  N7QT          599 03 WA
QSO:  3580 RY 2016-09-24 0755 W6QU          599 03 CA  W7RN          599 03 NV
QSO:  3578 RY 2016-09-24 0758 W6QU          599 03 CA  K3LR          599 05 PA
QSO:  3574 RY 2016-09-24 0803 W6QU          599 03 CA  AA7UN         599 03 ID
QSO:  7081 RY 2016-09-24 0806 W6QU          599 03 CA  KL4SD         599 01 DX
QSO:  7048 RY 2016-09-24 0808 W6QU          599 03 CA  VC7J          599 03 BC
QSO:  7053 RY 2016-09-24 0834 W6QU          599 03 CA  N7QT          599 03 WA
QSO:  7041 RY 2016-09-24 0836 W6QU          599 03 CA  KI6DY         599 04 KS
QSO:  3584 RY 2016-09-24 0851 W6QU          599 03 CA  W0LSD         599 04 CO
QSO:  3545 RY 2016-09-24 0856 W6QU          599 03 CA  K3EST         599 03 CA
QSO:  3586 RY 2016-09-24 1118 W6QU          599 03 CA  VE7SZ         599 03 BC
QSO:  7046 RY 2016-09-24 1134 W6QU          599 03 CA  JM1XCW        599 25 DX
QSO:  7039 RY 2016-09-24 1145 W6QU          599 03 CA  W0GJ          599 04 IA
QSO:  7066 RY 2016-09-24 1155 W6QU          599 03 CA  K4IU          599 04 MN
QSO:  7055 RY 2016-09-24 1158 W6QU          599 03 CA  AD4ES         599 05 FL
QSO:  7054 RY 2016-09-24 1200 W6QU          599 03 CA  W4MLB         599 05 FL
QSO:  7051 RY 2016-09-24 1203 W6QU          599 03 CA  K9CT          599 04 IL
QSO:  7036 RY 2016-09-24 1209 W6QU          599 03 CA  N7US          599 04 IL
QSO:  7034 RY 2016-09-24 1211 W6QU          599 03 CA  KB8O          599 04 OH
QSO:  7046 RY 2016-09-24 1312 W6QU          599 03 CA  WG7X          599 03 WA
QSO:  7044 RY 2016-09-24 1314 W6QU          599 03 CA  JA7BME        599 25 DX
QSO:  7043 RY 2016-09-24 1316 W6QU          599 03 CA  W0LSD         599 04 CO
QSO:  3585 RY 2016-09-24 1321 W6QU          599 03 CA  W7YAQ         599 03 OR
QSO:  7048 RY 2016-09-24 1326 W6QU          599 03 CA  K7JR          599 03 OR
QSO:  7045 RY 2016-09-24 1330 W6QU          599 03 CA  AH6KO         599 31 DX
QSO: 14129 RY 2016-09-24 1348 W6QU          599 03 CA  AB0RX         599 04 MO
QSO: 14105 RY 2016-09-24 1349 W6QU          599 03 CA  AA3B          599 05 PA
QSO: 14087 RY 2016-09-24 1400 W6QU          599 03 CA  HK1T          599 09 DX
QSO: 14138 RY 2016-09-24 1409 W6QU          599 03 CA  SP3VSE        599 15 DX
QSO: 14136 RY 2016-09-24 1411 W6QU          599 03 CA  YL5T          599 15 DX
QSO: 14135 RY 2016-09-24 1411 W6QU          599 03 CA  SM5IMO        599 14 DX
QSO: 14111 RY 2016-09-24 1423 W6QU          599 03 CA  K9CT          599 04 IL
QSO: 14108 RY 2016-09-24 1426 W6QU          599 03 CA  M9K           599 14 DX
QSO: 14105 RY 2016-09-24 1428 W6QU          599 03 CA  LY4OO         599 15 DX
QSO: 14102 RY 2016-09-24 1438 W6QU          599 03 CA  KI6DY         599 04 KS
QSO: 14099 RY 2016-09-24 1440 W6QU          599 03 CA  ON5GQ         599 14 DX
QSO: 14090 RY 2016-09-24 1445 W6QU          599 03 CA  K0AD          599 04 MN
QSO: 21138 RY 2016-09-24 1455 W6QU          599 03 CA  K3MD          599 05 PA
QSO: 21131 RY 2016-09-24 1456 W6QU          599 03 CA  N3QE          599 05 MD
QSO: 21115 RY 2016-09-24 1501 W6QU          599 03 CA  NR4M          599 05 VA
QSO: 21111 RY 2016-09-24 1502 W6QU          599 03 CA  K3MJW         599 05 PA
