START-OF-LOG: 3.0
CALLSIGN: DF7EF
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 170856
NAME: Uli von Aswegen
LOCATION: DX
OPERATORS: DF7EF
CLUB: Rhein Ruhr DX Association
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5931.0
SOAPBOX: Only working since 3 months in digital modes. Hoping for a lot of
SOAPBOX: new band points during this largest RTTY contest of the year
QSO:  7038 RY 2016-09-24 0513 DF7EF         599 14 DX  HK3TU         599 09 DX
QSO:  7040 RY 2016-09-24 0515 DF7EF         599 14 DX  OG30OJ        599 15 DX
QSO:  7042 RY 2016-09-24 0519 DF7EF         599 14 DX  K1SFA         599 05 MA
QSO:  7043 RY 2016-09-24 0521 DF7EF         599 14 DX  4O10A         599 15 DX
QSO:  7049 RY 2016-09-24 0550 DF7EF         599 14 DX  C37NL         599 14 DX
QSO:  7051 RY 2016-09-24 0552 DF7EF         599 14 DX  OH0JWL        599 15 DX
QSO:  7051 RY 2016-09-24 0554 DF7EF         599 14 DX  9A5X          599 15 DX
QSO:  7055 RY 2016-09-24 0557 DF7EF         599 14 DX  S58M          599 15 DX
QSO:  7059 RY 2016-09-24 0651 DF7EF         599 14 DX  N4WW          599 05 FL
QSO: 21094 RY 2016-09-24 0708 DF7EF         599 14 DX  RO9A          599 17 DX
QSO: 21096 RY 2016-09-24 0709 DF7EF         599 14 DX  RG9A          599 17 DX
QSO: 21110 RY 2016-09-24 0711 DF7EF         599 14 DX  JH4UYB        599 25 DX
QSO: 14079 RY 2016-09-24 0718 DF7EF         599 14 DX  LZ7A          599 20 DX
QSO: 14079 RY 2016-09-24 0720 DF7EF         599 14 DX  IQ9UI         599 15 DX
QSO: 21099 RY 2016-09-24 0827 DF7EF         599 14 DX  E2X           599 26 DX
QSO: 21087 RY 2016-09-24 0950 DF7EF         599 14 DX  CR3W          599 33 DX
QSO: 21101 RY 2016-09-24 1003 DF7EF         599 14 DX  XW1IC         599 26 DX
QSO: 21103 RY 2016-09-24 1007 DF7EF         599 14 DX  UA0OK         599 18 DX
QSO: 21132 RY 2016-09-24 1013 DF7EF         599 14 DX  TR8CA         599 36 DX
QSO: 21105 RY 2016-09-24 1020 DF7EF         599 14 DX  SV9OFS        599 20 DX
QSO: 21082 RY 2016-09-24 1042 DF7EF         599 14 DX  BH4TXN        599 24 DX
QSO: 14081 RY 2016-09-24 1048 DF7EF         599 14 DX  KP4JRS        599 08 DX
QSO: 14089 RY 2016-09-24 1051 DF7EF         599 14 DX  OH0Z          599 15 DX
QSO: 21106 RY 2016-09-24 1136 DF7EF         599 14 DX  FG5LA         599 08 DX
QSO: 28085 RY 2016-09-24 1141 DF7EF         599 14 DX  CR3W          599 33 DX
QSO: 21083 RY 2016-09-24 1147 DF7EF         599 14 DX  CT1BXT        599 14 DX
