START-OF-LOG: 3.0
CALLSIGN: DL6SFR
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 203280
NAME: Steffen
LOCATION: DX
OPERATORS: DL6SFR
CLUB: DL-DX RTTY CONTEST GROUP
CERTIFICATE: NO
CREATED-BY: MixW 2.19
SOAPBOX: Nice contest, had a lot of fun and a ATNO -)
QSO: 14111 RY 2016-09-24 0559 DL6SFR        599 14 DX  RD9D          599 17 DX
QSO: 14097 RY 2016-09-24 0619 DL6SFR        599 14 DX  RM3F          599 16 DX
QSO: 14094 RY 2016-09-24 0626 DL6SFR        599 14 DX  UN1L          599 20 DX
QSO: 14090 RY 2016-09-24 0630 DL6SFR        599 14 DX  ER1LW         599 16 DX
QSO: 14090 RY 2016-09-24 0630 DL6SFR        599 14 DX  SV2BFN        599 20 DX
QSO: 14088 RY 2016-09-24 0637 DL6SFR        599 14 DX  OH0Z          599 15 DX
QSO: 14086 RY 2016-09-24 0645 DL6SFR        599 14 DX  LZ5XQ         599 20 DX
QSO: 14085 RY 2016-09-24 0646 DL6SFR        599 14 DX  RM3DA         599 16 DX
QSO: 14084 RY 2016-09-24 0648 DL6SFR        599 14 DX  UT0RM         599 16 DX
QSO: 14083 RY 2016-09-24 0649 DL6SFR        599 14 DX  SZ1A          599 20 DX
QSO: 14079 RY 2016-09-24 0651 DL6SFR        599 14 DX  UW3E          599 16 DX
QSO: 14077 RY 2016-09-24 0654 DL6SFR        599 14 DX  UA3PI         599 16 DX
QSO: 14077 RY 2016-09-24 0655 DL6SFR        599 14 DX  RK4FF         599 16 DX
QSO:  7081 RY 2016-09-24 0702 DL6SFR        599 14 DX  P49X          599 09 DX
QSO:  7080 RY 2016-09-24 0705 DL6SFR        599 14 DX  KP2/WE5DX     599 08 DX
QSO:  7077 RY 2016-09-24 0707 DL6SFR        599 14 DX  V31MA         599 07 DX
QSO:  7065 RY 2016-09-24 0709 DL6SFR        599 14 DX  YO4NF         599 20 DX
QSO:  7064 RY 2016-09-24 0711 DL6SFR        599 14 DX  EI7KD         599 14 DX
QSO:  7063 RY 2016-09-24 0712 DL6SFR        599 14 DX  S51A          599 15 DX
QSO:  7062 RY 2016-09-24 0712 DL6SFR        599 14 DX  S57AM         599 15 DX
QSO:  7062 RY 2016-09-24 0714 DL6SFR        599 14 DX  ON5GQ         599 14 DX
QSO:  7060 RY 2016-09-24 0715 DL6SFR        599 14 DX  AN400A        599 14 DX
QSO:  7059 RY 2016-09-24 0716 DL6SFR        599 14 DX  3Z9M          599 15 DX
QSO:  7058 RY 2016-09-24 0717 DL6SFR        599 14 DX  PG3N          599 14 DX
QSO:  7057 RY 2016-09-24 0728 DL6SFR        599 14 DX  LZ9W          599 20 DX
QSO:  7056 RY 2016-09-24 0729 DL6SFR        599 14 DX  K1SFA         599 05 MA
QSO:  7054 RY 2016-09-24 0732 DL6SFR        599 14 DX  PI4CC         599 14 DX
QSO:  7053 RY 2016-09-24 0733 DL6SFR        599 14 DX  OK6K          599 15 DX
QSO:  7052 RY 2016-09-24 0734 DL6SFR        599 14 DX  IQ6AN         599 15 DX
QSO:  7049 RY 2016-09-24 0736 DL6SFR        599 14 DX  US1Q          599 16 DX
QSO:  7049 RY 2016-09-24 0736 DL6SFR        599 14 DX  PA3EVY        599 14 DX
QSO:  7048 RY 2016-09-24 0739 DL6SFR        599 14 DX  DL5XL         599 14 DX
QSO:  7048 RY 2016-09-24 0740 DL6SFR        599 14 DX  DL4LT         599 14 DX
QSO:  7046 RY 2016-09-24 0745 DL6SFR        599 14 DX  PI4COM        599 14 DX
QSO:  7045 RY 2016-09-24 0747 DL6SFR        599 14 DX  PA5SKY        599 14 DX
QSO:  7045 RY 2016-09-24 0748 DL6SFR        599 14 DX  G0HDV         599 14 DX
QSO:  7043 RY 2016-09-24 0749 DL6SFR        599 14 DX  9A701A        599 15 DX
QSO:  7042 RY 2016-09-24 0751 DL6SFR        599 14 DX  SP7AH         599 15 DX
QSO:  7042 RY 2016-09-24 0752 DL6SFR        599 14 DX  IQ3UD         599 15 DX
QSO:  7041 RY 2016-09-24 0752 DL6SFR        599 14 DX  S51CK         599 15 DX
QSO:  7041 RY 2016-09-24 0753 DL6SFR        599 14 DX  DL8ZU         599 14 DX
QSO:  7040 RY 2016-09-24 0754 DL6SFR        599 14 DX  IU4CHE        599 15 DX
QSO:  7039 RY 2016-09-24 0756 DL6SFR        599 14 DX  PA6B          599 14 DX
QSO:  7037 RY 2016-09-24 0800 DL6SFR        599 14 DX  F5NBX         599 14 DX
QSO:  7036 RY 2016-09-24 0802 DL6SFR        599 14 DX  NR4M          599 05 VA
QSO:  7035 RY 2016-09-24 0804 DL6SFR        599 14 DX  SM6BGG        599 14 DX
QSO:  7046 RY 2016-09-24 0809 DL6SFR        599 14 DX  IK7IMK        599 15 DX
QSO:  7046 RY 2016-09-24 0809 DL6SFR        599 14 DX  CS5CRE        599 14 DX
QSO:  7047 RY 2016-09-24 0810 DL6SFR        599 14 DX  OS0S          599 14 DX
QSO:  7048 RY 2016-09-24 0813 DL6SFR        599 14 DX  AN400V        599 14 DX
QSO:  7051 RY 2016-09-24 0814 DL6SFR        599 14 DX  M7T           599 14 DX
QSO:  7052 RY 2016-09-24 0816 DL6SFR        599 14 DX  UW0K          599 16 DX
QSO:  7052 RY 2016-09-24 0818 DL6SFR        599 14 DX  HG3FMZ        599 15 DX
QSO:  7054 RY 2016-09-24 0819 DL6SFR        599 14 DX  DM6DX         599 14 DX
QSO: 21116 RY 2016-09-24 0832 DL6SFR        599 14 DX  RU4SS         599 16 DX
QSO: 21101 RY 2016-09-24 0834 DL6SFR        599 14 DX  UX7QV         599 16 DX
QSO: 21077 RY 2016-09-24 0842 DL6SFR        599 14 DX  UT2IO         599 16 DX
QSO: 21083 RY 2016-09-24 0900 DL6SFR        599 14 DX  RW0A          599 18 DX
QSO: 14125 RY 2016-09-24 0903 DL6SFR        599 14 DX  UR0HQ         599 16 DX
QSO: 14124 RY 2016-09-24 0905 DL6SFR        599 14 DX  UT8EL         599 16 DX
QSO: 14121 RY 2016-09-24 0907 DL6SFR        599 14 DX  UB7K          599 16 DX
QSO: 14119 RY 2016-09-24 0912 DL6SFR        599 14 DX  OH3KRH        599 15 DX
QSO: 14118 RY 2016-09-24 0913 DL6SFR        599 14 DX  RK9DO         599 17 DX
QSO: 14113 RY 2016-09-24 0915 DL6SFR        599 14 DX  OH10A         599 15 DX
QSO: 14113 RY 2016-09-24 0925 DL6SFR        599 14 DX  RG9A          599 17 DX
QSO: 14114 RY 2016-09-24 0927 DL6SFR        599 14 DX  IT9STX        599 15 DX
QSO: 14111 RY 2016-09-24 0930 DL6SFR        599 14 DX  Z37V          599 15 DX
QSO: 14109 RY 2016-09-24 0932 DL6SFR        599 14 DX  SE4E          599 14 DX
QSO: 14106 RY 2016-09-24 0934 DL6SFR        599 14 DX  OH2V          599 15 DX
QSO: 14106 RY 2016-09-24 0937 DL6SFR        599 14 DX  LY6A          599 15 DX
QSO: 14105 RY 2016-09-24 0938 DL6SFR        599 14 DX  UA4M          599 16 DX
