START-OF-LOG: 2.0
CATEGORY: Multi operator
CONTEST: WAG
SPECIFIC: D23
CALLSIGN: DA0CCC
CLUB: CHAOS COMPUTER CLUB
CLAIMED-SCORE: 995379
OPERATORS: DF1QR, DJ1CW, DL1REM, DO4PA, DC4LW, DD6SW, DH5DAX, DL7YRN, DL3OC, DO3BOX
CREATED-BY: N1MM Logger+ 1.0.7290.0, modified by DXHF upload.
QSO:  7014 CW 2018-10-20 1504 DA0CCC        599 D23  LY4L          599 6
QSO:  7016 CW 2018-10-20 1505 DA0CCC        599 D23  IZ2QXG        599 3
QSO:  7018 CW 2018-10-20 1506 DA0CCC        599 D23  4O/E73A       599 3
QSO: 21249 PH 2018-10-20 1507 DA0CCC        59  D23  DL4M          59  N13
QSO: 14020 CW 2018-10-20 1508 DA0CCC        599 D23  DF0RW         599 R17
QSO: 21249 PH 2018-10-20 1508 DA0CCC        59  D23  KC9WWM        59  002
QSO: 14023 CW 2018-10-20 1508 DA0CCC        599 D23  RZ9SZ         599 13
QSO: 21249 PH 2018-10-20 1509 DA0CCC        59  D23  WB2DKH        59  002
QSO: 14027 CW 2018-10-20 1509 DA0CCC        599 D23  UY5ZZ         599 12
QSO: 14029 CW 2018-10-20 1509 DA0CCC        599 D23  AB3CX         599 000
QSO: 21249 PH 2018-10-20 1509 DA0CCC        59  D23  W8MSP         59  003
QSO: 14022 CW 2018-10-20 1511 DA0CCC        599 D23  UC5D          599 15
QSO: 14037 CW 2018-10-20 1511 DA0CCC        599 D23  LZ1ZF         599 14
QSO: 21250 PH 2018-10-20 1512 DA0CCC        59  D23  K4HUD         59  004
QSO: 14023 CW 2018-10-20 1512 DA0CCC        599 D23  4X1VF         599 16
QSO: 21250 PH 2018-10-20 1513 DA0CCC        59  D23  VE3AT         59  009
QSO: 21250 PH 2018-10-20 1513 DA0CCC        59  D23  WB2GMY        59  002
QSO: 21250 PH 2018-10-20 1514 DA0CCC        59  D23  VE3NEP        59  001
QSO: 14241 PH 2018-10-20 1514 DA0CCC        59  D23  SV0JQ         59  14
QSO: 21250 PH 2018-10-20 1515 DA0CCC        59  D23  KX1W          59  003
QSO: 21250 PH 2018-10-20 1517 DA0CCC        59  D23  VA3XUK        59  004
QSO:  7022 CW 2018-10-20 1518 DA0CCC        599 D23  DL0MFL        599 MF
QSO:  7021 CW 2018-10-20 1519 DA0CCC        599 D23  UT4U          599 32
QSO:  7029 CW 2018-10-20 1520 DA0CCC        599 D23  HA8TP         599 4
QSO:  7030 CW 2018-10-20 1520 DA0CCC        599 D23  GU3HFN        599 4
QSO:  7029 CW 2018-10-20 1521 DA0CCC        599 D23  OG7F          599 21
QSO:  7034 CW 2018-10-20 1522 DA0CCC        599 D23  EW6F          599 11
QSO: 21255 PH 2018-10-20 1523 DA0CCC        59  D23  AJ2I          59  001
QSO:  7015 CW 2018-10-20 1524 DA0CCC        599 D23  OK2NO         599 011
QSO:  7006 CW 2018-10-20 1526 DA0CCC        599 D23  RK3AW         599 031
QSO: 14248 PH 2018-10-20 1526 DA0CCC        59  D23  YL1ZT         59  005
QSO: 14248 PH 2018-10-20 1527 DA0CCC        59  D23  UT7NW         59  024
QSO:  7011 CW 2018-10-20 1527 DA0CCC        599 D23  LZ1ND         599 028
QSO: 14248 PH 2018-10-20 1527 DA0CCC        59  D23  UT5EOX        59  011
QSO: 14248 PH 2018-10-20 1528 DA0CCC        59  D23  DH5KLI        59  D23
QSO:  7009 CW 2018-10-20 1528 DA0CCC        599 D23  YU1ANO        599 019
QSO: 14248 PH 2018-10-20 1528 DA0CCC        59  D23  UF1M          59  010
QSO:  7010 CW 2018-10-20 1528 DA0CCC        599 D23  OE8TED        599 027
QSO: 14248 PH 2018-10-20 1528 DA0CCC        59  D23  RV3VR         59  013
QSO: 14248 PH 2018-10-20 1529 DA0CCC        59  D23  9A6DJX        59  006
QSO:  7015 CW 2018-10-20 1529 DA0CCC        599 D23  SD6M          599 028
QSO: 14248 PH 2018-10-20 1530 DA0CCC        59  D23  9A4TX         59  009
QSO:  7012 CW 2018-10-20 1530 DA0CCC        599 D23  MW/DF8DX      599 028
QSO: 14248 PH 2018-10-20 1530 DA0CCC        59  D23  YO6GUU        59  004
QSO:  7014 CW 2018-10-20 1531 DA0CCC        599 D23  SN6A          599 013
QSO: 14248 PH 2018-10-20 1531 DA0CCC        59  D23  DL4M          59  N13
QSO:  7014 CW 2018-10-20 1531 DA0CCC        599 D23  YL3FW         599 016
QSO:  7019 CW 2018-10-20 1532 DA0CCC        599 D23  Z35Y          599 009
QSO: 14248 PH 2018-10-20 1533 DA0CCC        59  D23  TA4ASG        59  000
QSO: 14248 PH 2018-10-20 1534 DA0CCC        59  D23  R3LC          59  026
QSO:  7030 CW 2018-10-20 1535 DA0CCC        599 D23  S53V          599 035
QSO: 14248 PH 2018-10-20 1535 DA0CCC        59  D23  UR4QFP        59  015
QSO: 14248 PH 2018-10-20 1536 DA0CCC        59  D23  US3LX         59  008
QSO:  7034 CW 2018-10-20 1536 DA0CCC        599 D23  F5ICC         599 014
QSO: 14248 PH 2018-10-20 1538 DA0CCC        59  D23  DL2FK         59  P15
QSO:  7012 CW 2018-10-20 1538 DA0CCC        599 D23  G3OTK         599 008
QSO:  7006 CW 2018-10-20 1538 DA0CCC        599 D23  UA9CTT        599 012
QSO: 14248 PH 2018-10-20 1539 DA0CCC        59  D23  RW3AI         59  029
QSO: 14248 PH 2018-10-20 1539 DA0CCC        59  D23  WD5CSK        59  002
QSO: 14248 PH 2018-10-20 1539 DA0CCC        59  D23  VE3AT         59  25
QSO: 14248 PH 2018-10-20 1540 DA0CCC        59  D23  KK4MOV        59  004
QSO: 14248 PH 2018-10-20 1541 DA0CCC        59  D23  VA6RQ         59  008
QSO: 14248 PH 2018-10-20 1541 DA0CCC        59  D23  KM4SII        59  007
