START-OF-LOG: 2.0
CATEGORY: Multi operator
CONTEST: WAG
SPECIFIC: S41
CREATED-BY: Win-Test 4.28.0, modified by DXHF upload.
CALLSIGN: DL0XM
CLAIMED-SCORE: 1706550
OPERATORS: DE1PGL DG0LFG DK3WW DK7YY DL1LRM DL4WG DL5LYM DL5WS DL7AIG DL7URH
OPERATORS: DL8WAA DL9WVM DO7OH
CLUB: Bavarian Contest Club
QSO: 21026 CW 2018-10-20 1500 DL0XM         599 S41    N9AUG         599 001
QSO: 14028 CW 2018-10-20 1500 DL0XM         599 S41    EA5ITT        599 001
QSO:  7005 CW 2018-10-20 1500 DL0XM         599 S41    RK3AW         599 001
QSO: 21026 CW 2018-10-20 1501 DL0XM         599 S41    LZ1QV         599 002
QSO:  7019 CW 2018-10-20 1501 DL0XM         599 S41    SQ5LNU        599 000
QSO: 14004 CW 2018-10-20 1501 DL0XM         599 S41    9K2MU         599 000
QSO: 21026 CW 2018-10-20 1502 DL0XM         599 S41    YL7X          599 001
QSO: 21026 CW 2018-10-20 1502 DL0XM         599 S41    K1ZZ          599 003
QSO:  7017 CW 2018-10-20 1502 DL0XM         599 S41    RO9Q          599 000
QSO: 21026 CW 2018-10-20 1502 DL0XM         599 S41    N9CK          599 005
QSO: 21026 CW 2018-10-20 1503 DL0XM         599 S41    LZ4AA         599 003
QSO: 14010 CW 2018-10-20 1504 DL0XM         599 S41    DL2DX         599 S07
QSO:  7021 CW 2018-10-20 1504 DL0XM         599 S41    UT4U          599 006
QSO: 21026 CW 2018-10-20 1505 DL0XM         599 S41    E71EEE        599 001
QSO:  7027 CW 2018-10-20 1505 DL0XM         599 S41    DL1RG         599 Y08
QSO: 21026 CW 2018-10-20 1505 DL0XM         599 S41    NR3X          599 008
QSO: 21026 CW 2018-10-20 1506 DL0XM         599 S41    DL3ZZA        599 D25
QSO: 21026 CW 2018-10-20 1506 DL0XM         599 S41    UT5EOX        599 002
QSO: 14016 CW 2018-10-20 1507 DL0XM         599 S41    RW4WA         599 006
QSO: 21026 CW 2018-10-20 1507 DL0XM         599 S41    LZ1BP         599 004
QSO: 21026 CW 2018-10-20 1507 DL0XM         599 S41    N7DR          599 005
QSO: 21026 CW 2018-10-20 1508 DL0XM         599 S41    DL2ROM        599 Y34
