START-OF-LOG: 3.0
CATEGORY: Single operator, mixed, QRP
CONTEST: WAG
SPECIFIC: P30
CALLSIGN: DH0GDS
CLAIMED-SCORE: 4732
CREATED-BY: EASY CONTEST 1.30F, CABRILLO-FORMAT MANMADE, modified by DXHF upload.
QSO:  7160 PH 2018-10-21 0843 DH0GDS        59 P30     DL7AT         59   E38
QSO:  7160 PH 2018-10-21 0845 DH0GDS        59 P30     PA7DN         59   329
QSO:  7160 PH 2018-10-21 0847 DH0GDS        59 P30     OM5DX         59   146
QSO:  7160 PH 2018-10-21 0850 DH0GDS        59 P30     HA1BC         59   240
QSO:  7160 PH 2018-10-21 0851 DH0GDS        59 P30     DL7UXG        59   D21
QSO:  7160 PH 2018-10-21 0853 DH0GDS        59 P30     DM5B          59   Y26
QSO:  7160 PH 2018-10-21 0854 DH0GDS        59 P30     DB1BAC        59   I18
QSO:  7160 PH 2018-10-21 0904 DH0GDS        59 P30     PH00T         59   476
QSO:  7160 PH 2018-10-21 0907 DH0GDS        59 P30     S57DX         59   387
QSO:  7160 PH 2018-10-21 0911 DH0GDS        59 P30     DK0HF         59   N08
QSO:  7160 PH 2018-10-21 0914 DH0GDS        59 P30     OM4KK         59   236
QSO:  7160 PH 2018-10-21 0916 DH0GDS        59 P30     DL5SD         59   Y10
QSO:  7160 PH 2018-10-21 0917 DH0GDS        59 P30     DL0AT         59   E13
QSO:  7160 PH 2018-10-21 0929 DH0GDS        59 P30     DM5SB         59   S50
QSO:  7160 PH 2018-10-21 0932 DH0GDS        59 P30     SP1JQJ        59    66
QSO:  7160 PH 2018-10-21 0934 DH0GDS        59 P30     DK0MTR        59   I14
QSO:  7160 PH 2018-10-21 0936 DH0GDS        59 P30     OK2MBP        59   596
QSO:  7160 PH 2018-10-21 0940 DH0GDS        59 P30     IU4JIC        59    12
QSO:  7160 PH 2018-10-21 0952 DH0GDS        59 P30     DL0NO         59 50E12
QSO:  7160 PH 2018-10-21 0954 DH0GDS        59 P30     DL0BX         59   N17
QSO:  7160 PH 2018-10-21 1002 DH0GDS        59 P30     SP1GA         59   449
QSO:  7160 PH 2018-10-21 1006 DH0GDS        59 P30     SN740BAR      59   369
QSO:  7160 PH 2018-10-21 1008 DH0GDS        59 P30     DF4SR         59   D01
QSO:  7160 PH 2018-10-21 1009 DH0GDS        59 P30     DL6HBQ        59   E09
QSO:  7160 PH 2018-10-21 1018 DH0GDS        59 P30     PA9M          59   776
QSO:  7160 PH 2018-10-21 1021 DH0GDS        59 P30     3Z100I        59   269
QSO:  7160 PH 2018-10-21 1024 DH0GDS        59 P30     SP9QMP        59   369
QSO:  7160 PH 2018-10-21 1033 DH0GDS        59 P30     DP5N          59   N41
QSO: 14250 PH 2018-10-21 1046 DH0GDS        59 P30     DF5A          59   V11
QSO: 14250 PH 2018-10-21 1050 DH0GDS        59 P30     UA1D          59   204
QSO: 14250 PH 2018-10-21 1054 DH0GDS        59 P30     SB7W          59   310
QSO: 14250 PH 2018-10-21 1055 DH0GDS        59 P30     SE3X          59   337
QSO: 14250 PH 2018-10-21 1100 DH0GDS        59 P30     DM5B          59   Y26
QSO: 14250 PH 2018-10-21 1102 DH0GDS        59 P30     RT2F          59   396
QSO: 14250 PH 2018-10-21 1105 DH0GDS        59 P30     KC1XX         59   535
QSO: 14250 PH 2018-10-21 1107 DH0GDS        59 P30     UA9MA         59   565
QSO: 14250 PH 2018-10-21 1118 DH0GDS        59 P30     UY3U          59   366
QSO: 14250 PH 2018-10-21 1122 DH0GDS        59 P30     LZ1YE         59   199
