START-OF-LOG: 3.0
CATEGORY: Single operator, mixed, high power
CONTEST: WAG
CALLSIGN: R9CD
ADDRESS-CITY: Revda
ADDRESS-STATE-PROVINCE: Sverdlovsk region
ADDRESS-POSTALCODE: 623285
ADDRESS-COUNTRY: Russian Federation
CREATED-BY: R9CD Contest Program - http://r9cd.myftp.org/contest_program.html, modified by DXHF upload.
QSO: 14005 CW 2018-10-21 0654 R9CD          599  001   DJ2QV         599 C30
QSO: 14007 CW 2018-10-21 0657 R9CD          599  002   DJ9AO         599 X22
QSO: 14010 CW 2018-10-21 0709 R9CD          599  003   DL1DQW        599 S04
QSO: 14010 CW 2018-10-21 0710 R9CD          599  004   DK3YD         599 C12
QSO: 14016 CW 2018-10-21 0712 R9CD          599  005   DL6AG         599 S44
QSO: 14020 CW 2018-10-21 0714 R9CD          599  006   DL4SL         599 Y13
QSO: 14021 CW 2018-10-21 0714 R9CD          599  007   DK5KK         599 L05
QSO: 14031 CW 2018-10-21 0717 R9CD          599  008   DL4A          599 P55
QSO: 14036 CW 2018-10-21 0724 R9CD          599  009   DL4HRM        599 W35
QSO: 14038 CW 2018-10-21 0740 R9CD          599  010   DL9LM         599 V14
QSO: 14044 CW 2018-10-21 0742 R9CD          599  011   DL0XM         599 S41
QSO: 14053 CW 2018-10-21 0744 R9CD          599  012   DR4A          599 F27
QSO: 14002 CW 2018-10-21 0746 R9CD          599  013   DK4PL         599 S05
QSO: 14008 CW 2018-10-21 0749 R9CD          599  014   DL2F          599 F07
QSO: 14015 CW 2018-10-21 0751 R9CD          599  015   DL1BUG        599 Y15
QSO: 14018 CW 2018-10-21 0753 R9CD          599  016   DL2VK         599 U07
QSO: 14030 CW 2018-10-21 0756 R9CD          599  017   DL3AMI        599 X04
QSO: 14034 CW 2018-10-21 0801 R9CD          599  018   DA0CCC        599 D23
QSO: 14044 CW 2018-10-21 0802 R9CD          599  019   DF4UM         599 P07
QSO: 14004 CW 2018-10-21 0848 R9CD          599  020   DL3HXS        599 W22
QSO: 14014 CW 2018-10-21 0849 R9CD          599  021   DL4WA         599 X28
QSO: 14015 CW 2018-10-21 0850 R9CD          599  022   DL1LOD        599 S41
QSO: 14020 CW 2018-10-21 0853 R9CD          599  023   DK2GZ         599 A36
QSO: 14021 CW 2018-10-21 0854 R9CD          599  024   DL9GFB        599 V06
QSO: 14022 CW 2018-10-21 0857 R9CD          599  025   DK7A          599 Q05
QSO: 14009 CW 2018-10-21 0923 R9CD          599  026   DL1NKS        599 B24
QSO: 14010 CW 2018-10-21 0925 R9CD          599  027   DL4DZ         599 O04
QSO: 14014 CW 2018-10-21 0927 R9CD          599  028   DL0MCM        599 MCM
QSO: 14016 CW 2018-10-21 0934 R9CD          599  029   DK5SF         599 Z46
QSO: 14017 CW 2018-10-21 0935 R9CD          599  030   DF0SX         599 P51
QSO: 14018 CW 2018-10-21 0936 R9CD          599  031   DL1VDL        599 S06
QSO: 14021 CW 2018-10-21 0938 R9CD          599  032   DL1OJ         599 N01
QSO: 14036 CW 2018-10-21 0941 R9CD          599  033   DL3RSN        599 V22
QSO: 14053 CW 2018-10-21 0948 R9CD          599  034   DF6PB         599 K14
QSO: 14057 CW 2018-10-21 0950 R9CD          599  035   DL7VHP        599 Y34
QSO: 14204 PH 2018-10-21 0957 R9CD          59   036   DH2PA         59  K14
QSO: 14234 PH 2018-10-21 1002 R9CD          59   037   DP9A          59  Y37
QSO: 14248 PH 2018-10-21 1005 R9CD          59   038   DH3RD         59  K09
QSO: 14261 PH 2018-10-21 1006 R9CD          59   039   DF2RG         59  U18
QSO: 14188 PH 2018-10-21 1009 R9CD          59   040   DP5N          59  N41
QSO: 14201 PH 2018-10-21 1011 R9CD          59   041   DK0FR         59  A05
QSO: 14213 PH 2018-10-21 1013 R9CD          59   042   DG6SA         59  R24
QSO: 14259 PH 2018-10-21 1015 R9CD          59   043   DK3T          59  N61
QSO: 14265 PH 2018-10-21 1016 R9CD          59   044   DA0C          59  F69
QSO: 14172 PH 2018-10-21 1018 R9CD          59   045   DJ9HX         59  P50
QSO: 14189 PH 2018-10-21 1025 R9CD          59   046   DH0F          59  B09
QSO: 14223 PH 2018-10-21 1027 R9CD          59   047   DQ1P          59  E34
QSO: 14244 PH 2018-10-21 1028 R9CD          59   048   DK2YL         59  Q05
QSO: 14247 PH 2018-10-21 1029 R9CD          59   049   DR4A          59  F27
QSO: 14259 PH 2018-10-21 1030 R9CD          59   050   DK3T          59  N61
QSO: 14205 PH 2018-10-21 1034 R9CD          59   051   DM2B          59  Y14
QSO: 14252 PH 2018-10-21 1036 R9CD          59   052   DF2F          59  L06
QSO: 14248 PH 2018-10-21 1209 R9CD          59   053   DK5DQ         59  O32
QSO: 14008 CW 2018-10-21 1213 R9CD          599  054   DR5X          599 M11
QSO: 14012 CW 2018-10-21 1215 R9CD          599  055   DM9KT         599 X06
END-OF-LOG:
