START-OF-LOG: 3.0
CATEGORY: Single operator, mixed, low power
CONTEST: WAG
SPECIFIC: W33
CALLSIGN: DL9FB
LOCATION: DX
CLAIMED-SCORE: 18564
CREATED-BY: HAM OFFICE 5 REL. 9.3C HTTP://WWW.HAMOFFICE.DE, modified by DXHF upload.
CLUB: DARC
OPERATORS: DL9FB
QSO: 14000 PH  2018-10-20 1513 DL9FB 59  W33               RM7C         59  024
QSO: 14000 PH  2018-10-20 1516 DL9FB 59  W33               RL4A         59  037
QSO: 14000 PH  2018-10-20 1519 DL9FB 59  W33               R2AB         59  051
QSO: 14000 PH  2018-10-20 1522 DL9FB 59  W33               KC1XX        59  064
QSO: 14000 PH  2018-10-20 1527 DL9FB 59  W33               N1UR         59  022
QSO: 14000 PH  2018-10-20 1534 DL9FB 59  W33               SV0JQ        59  061
QSO: 14000 PH  2018-10-20 1537 DL9FB 59  W33               SV3RPQ       59  032
QSO: 7000  PH  2018-10-20 1544 DL9FB 59  W33               PH00T        59  047
QSO: 7000  PH  2018-10-20 1555 DL9FB 59  W33               OE100AJT     59  047
QSO: 7000  PH  2018-10-20 1558 DL9FB 59  W33               HB2C         59  048
QSO: 14000 PH  2018-10-20 1606 DL9FB 59  W33               EA6/DK5IR    59  043
QSO: 7000  PH  2018-10-20 1847 DL9FB 59  W33               RD1AH        59  051
QSO: 7000  PH  2018-10-20 1859 DL9FB 59  W33               UY3U         59  205
QSO: 7000  PH  2018-10-20 1901 DL9FB 59  W33               LZ5DD        59  205
QSO: 7000  PH  2018-10-20 1903 DL9FB 59  W33               Z35Y         59  179
QSO: 7000  PH  2018-10-20 1904 DL9FB 59  W33               YL3CW        59  262
QSO: 3500  PH  2018-10-20 1909 DL9FB 59  W33               SE3X         59  178
QSO: 3500  PH  2018-10-20 1911 DL9FB 59  W33               TM2F         59  230
QSO: 3500  PH  2018-10-20 1916 DL9FB 59  W33               DH5BS        59  V11
QSO: 3500  PH  2018-10-20 1917 DL9FB 59  W33               DP5N         59  N41
QSO: 3500  PH  2018-10-20 1920 DL9FB 59  W33               HF100POL     59  059
QSO: 3500  PH  2018-10-20 1923 DL9FB 59  W33               SP9QMP       59  105
QSO: 3500  PH  2018-10-20 1931 DL9FB 59  W33               IZ3SQW       59  145
QSO: 3500  PH  2018-10-20 1933 DL9FB 59  W33               DF2RG        59  U18
QSO: 3500  PH  2018-10-20 1938 DL9FB 59  W33               DK2R         59  U14
QSO: 3500  PH  2018-10-20 1942 DL9FB 59  W33               PH00T        59  360
QSO: 3500  PH  2018-10-20 1944 DL9FB 59  W33               DM2BPG       59  W33
QSO: 3500  PH  2018-10-20 1948 DL9FB 59  W33               DL8UD        59  E38
QSO: 3500  PH  2018-10-20 1950 DL9FB 59  W33               OZ7MC        59  002
QSO: 3500  PH  2018-10-20 1955 DL9FB 59  W33               DF0RN        59  L19
QSO: 3500  PH  2018-10-20 1957 DL9FB 59  W33               OH0X         59  331
QSO: 3500  PH  2018-10-20 1958 DL9FB 59  W33               YL3CW        59  356
QSO: 3500  PH  2018-10-20 2001 DL9FB 59  W33               DK2YL        59  Q05
QSO: 3500  PH  2018-10-20 2002 DL9FB 59  W33               DL0BZA       59  C13
QSO: 3500  PH  2018-10-20 2005 DL9FB 59  W33               DA0C         59  F69
QSO: 3500  PH  2018-10-20 2009 DL9FB 59  W33               DL4LAB       59  E13
QSO: 3500  PH  2018-10-20 2010 DL9FB 59  W33               DL0WMS       59  W37
QSO: 7000  PH  2018-10-20 2013 DL9FB 59  W33               RK3AW        59  297
QSO: 7000  PH  2018-10-20 2015 DL9FB 59  W33               YT5LD        59  039
QSO: 7000  PH  2018-10-20 2039 DL9FB 59  W33               CR3W         59  784
QSO: 7000  PH  2018-10-20 2045 DL9FB 59  W33               RK3T         59  223
QSO: 7000  PH  2018-10-20 2047 DL9FB 59  W33               KC1XX        59  150
QSO: 3500  PH  2018-10-20 2055 DL9FB 59  W33               DL2LBK       59  M06
QSO: 3500  PH  2018-10-20 2057 DL9FB 59  W33               DL6AL        59  M44
QSO: 3500  PH  2018-10-20 2103 DL9FB 59  W33               DP9A         59  Y37
QSO: 3500  PH  2018-10-20 2106 DL9FB 59  W33               DK7ET        59  D25
QSO: 3500  PH  2018-10-20 2108 DL9FB 59  W33               DO4MM        59  I13
QSO: 3500  PH  2018-10-20 2110 DL9FB 59  W33               DM3C         59  V22
QSO: 3500  PH  2018-10-20 2111 DL9FB 59  W33               9A5Y         59  654
QSO: 3500  PH  2018-10-20 2114 DL9FB 59  W33               DM5SB        59  S50
QSO: 7000  PH  2018-10-20 2119 DL9FB 59  W33               DA0CCC       59  D23
QSO: 7000  PH  2018-10-21 0456 DL9FB 59  W33               UT7NW        59  466
QSO: 7000  PH  2018-10-21 0500 DL9FB 59  W33               EC5EA        59  066
QSO: 3500  PH  2018-10-21 0518 DL9FB 59  W33               DF3AX        59  H43
QSO: 3500  PH  2018-10-21 0520 DL9FB 59  W33               DL0FA        59  H07
QSO: 3500  PH  2018-10-21 0525 DL9FB 59  W33               SP5UGP       59  123
QSO: 3500  PH  2018-10-21 0528 DL9FB 59  W33               DB1BAC       59  I18
