START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Official results - VHFManager
CALLSIGN: OK2KJI
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 50W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144300 PH 2022-08-07 0934 OK2KJI        59  55 JN79TI  OK1VKC        59  29 JN79NU 
QSO: 144300 PH 2022-08-07 0935 OK2KJI        59  56 JN79TI  OK1JPP        59  23 JO70OQ 
QSO: 144300 PH 2022-08-07 0936 OK2KJI        59  57 JN79TI  OK1HCU        59  22 JN69XB 
QSO: 144300 PH 2022-08-07 0939 OK2KJI        59  58 JN79TI  OK1KWV        59  31 JN79EJ 
QSO: 144300 PH 2022-08-07 0953 OK2KJI        59  59 JN79TI  S50W          59  134 JN76WK
QSO: 144300 PH 2022-08-07 1000 OK2KJI        59  60 JN79TI  9A1I          59  80 JN85FS 
QSO: 144300 PH 2022-08-07 1004 OK2KJI        59  61 JN79TI  OE5JFE/P      59  64 JN77OU 
QSO: 144300 PH 2022-08-07 1006 OK2KJI        59  62 JN79TI  S59P          59  284 JN75FO
QSO: 144300 PH 2022-08-07 1009 OK2KJI        59  63 JN79TI  OM0AAO        59  53 JN88ST 
QSO: 144100 CW 2022-08-07 1013 OK2KJI        599 64 JN79TI  OK2DTF        599 73 JN89NE 
QSO: 144300 PH 2022-08-07 1016 OK2KJI        59  65 JN79TI  HA6W          59  143 KN08FB
QSO: 144100 CW 2022-08-07 1021 OK2KJI        599 66 JN79TI  OK1DEP        599 6 JO70OP  
QSO: 144100 CW 2022-08-07 1023 OK2KJI        599 67 JN79TI  9A0V          599 110 JN95PE
QSO: 144100 CW 2022-08-07 1024 OK2KJI        599 68 JN79TI  9A1W          599 80 JN75ST 
QSO: 144100 CW 2022-08-07 1027 OK2KJI        599 69 JN79TI  OM3GI         599 68 KN09HB 
QSO: 144100 CW 2022-08-07 1030 OK2KJI        599 70 JN79TI  9A6D          599 69 JN85AO 
QSO: 144100 CW 2022-08-07 1031 OK2KJI        599 71 JN79TI  OK1FIG        599 67 JO80DH 
QSO: 144100 CW 2022-08-07 1035 OK2KJI        599 72 JN79TI  OL1B          599 81 JO80IB 
QSO: 144100 CW 2022-08-07 1036 OK2KJI        599 73 JN79TI  S59GS         599 16 JN75OO 
QSO: 144100 CW 2022-08-07 1039 OK2KJI        599 74 JN79TI  S53O          599 102 JN86AT
QSO: 144100 CW 2022-08-07 1046 OK2KJI        599 75 JN79TI  IK4GNG        599 95 JN64FB 
QSO: 144100 CW 2022-08-07 1050 OK2KJI        599 76 JN79TI  OM3RM         599 86 JN88QA 
QSO: 144100 CW 2022-08-07 1053 OK2KJI        599 77 JN79TI  YO2AMU        599 58 KN06PE 
QSO: 144100 CW 2022-08-07 1054 OK2KJI        599 78 JN79TI  OM5CM         599 38 JN98DF 
QSO: 144100 CW 2022-08-07 1056 OK2KJI        599 79 JN79TI  OK1DXD        599 45 JN79IX 
QSO: 144100 CW 2022-08-07 1058 OK2KJI        599 80 JN79TI  YO2NAA        599 48 KN05NS 
QSO: 144300 PH 2022-08-07 1107 OK2KJI        59  81 JN79TI  E73JHI        59  119 JN84LX
QSO: 144300 PH 2022-08-07 1116 OK2KJI        59  82 JN79TI  OE3GRA/P      59  105 JN77VN
QSO: 144300 PH 2022-08-07 1122 OK2KJI        59  83 JN79TI  S50L          59  133 JN75ES
QSO: 144300 PH 2022-08-07 1125 OK2KJI        59  84 JN79TI  OK3TV         59  76 JO70AB 
QSO: 144300 PH 2022-08-07 1128 OK2KJI        59  85 JN79TI  OM5AW         59  191 JN98AH
QSO: 144300 PH 2022-08-07 1129 OK2KJI        59  86 JN79TI  OK2KZO        59  56 JN88AU 
QSO: 144300 PH 2022-08-07 1134 OK2KJI        59  87 JN79TI  E7AA          59  238 JO83SO
QSO: 144300 PH 2022-08-07 1138 OK2KJI        59  88 JN79TI  SP9KDA        59  189 JO90PP
QSO: 144300 PH 2022-08-07 1147 OK2KJI        59  89 JN79TI  9A1P          59  328 JN65VG
QSO: 144100 CW 2022-08-07 1208 OK2KJI        599 90 JN79TI  OK1MGW        599 7 JO70WF  
QSO: 144300 PH 2022-08-07 1211 OK2KJI        59  91 JN79TI  OM6TX         59  68 JN99JK 
QSO: 144300 PH 2022-08-07 1212 OK2KJI        59  92 JN79TI  I3QJZ         59  102 JN55UI
QSO: 144300 PH 2022-08-07 1217 OK2KJI        59  93 JN79TI  I4BME         59  104 JN54QL
QSO: 144300 PH 2022-08-07 1221 OK2KJI        59  94 JN79TI  IK3SSG        59  110 JN55XH
QSO: 144100 CW 2022-08-07 1223 OK2KJI        599 95 JN79TI  YU1LA         599 123 KN04FR
QSO: 144100 CW 2022-08-07 1225 OK2KJI        599 96 JN79TI  OK6RA         599 113 JO60TP
QSO: 144100 CW 2022-08-07 1227 OK2KJI        599 97 JN79TI  YO2BLX        599 43 KN06SM 
QSO: 144100 CW 2022-08-07 1231 OK2KJI        599 98 JN79TI  OK1OA         599 38 JO70MO 
QSO: 144100 CW 2022-08-07 1231 OK2KJI        599 99 JN79TI  YT5W          599 124 KN04OO
QSO: 144100 CW 2022-08-07 1240 OK2KJI        599 100 JN79TI E70AA         599 59 JN93CQ 
QSO: 144100 CW 2022-08-07 1241 OK2KJI        599 101 JN79TI YO5LD         599 94 KN05NR 
QSO: 144100 CW 2022-08-07 1248 OK2KJI        599 102 JN79TI PA4VHF        599 66 JO32JE 
QSO: 144100 CW 2022-08-07 1249 OK2KJI        599 103 JN79TI OK4RM         599 30 JO70GC 
QSO: 144100 CW 2022-08-07 1251 OK2KJI        599 104 JN79TI S56P          599 196 JN76PO
QSO: 144100 CW 2022-08-07 1258 OK2KJI        599 105 JN79TI OK1DMP        599 66 JN79HW 
QSO: 144300 PH 2022-08-07 1259 OK2KJI        59  106 JN79TI OK1KDO        59  227 JN69JJ
END-OF-LOG:
