START-OF-LOG: 3.0
CONTEST: CQ-160-SSB
CALLSIGN: KJ5IEL
LOCATION: STX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 160M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: EM20MB
CLAIMED-SCORE: 0
NAME: Benjamin Andersen
OPERATORS: KJ5IEL
CREATED-BY: World Radio League v1.0
SOAPBOX: DX Engineering Multiband Vertical Antenna, 10M - 160M, 43' tall.
QSO:    1873 PH 2026-03-01 0231 KJ5IEL           59  TX    KV0Q             59   CO       
QSO:    1848 PH 2026-03-01 0235 KJ5IEL           59  TX    W5SGL            59   MS       
QSO:    1882 PH 2026-03-01 0255 KJ5IEL           59  TX    W5MX             59   KY       
QSO:    1867 PH 2026-03-01 0258 KJ5IEL           59  TX    K5RT             59   TX       
QSO:    1902 PH 2026-03-01 0303 KJ5IEL           59  TX    N2CEI            59   FL       
QSO:    1810 PH 2026-03-01 0307 KJ5IEL           59  TX    K5RX             59   TX       
QSO:    1821 PH 2026-03-01 0309 KJ5IEL           59  TX    N0GN             59   NE       
QSO:    1845 PH 2026-03-01 0311 KJ5IEL           59  TX    K5GN             59   TX       
QSO:    1881 PH 2026-03-01 0327 KJ5IEL           59  TX    K5TD             59   LA       
QSO:    1855 PH 2026-03-01 0356 KJ5IEL           59  TX    N5REL            59   TX       
QSO:    1823 PH 2026-03-01 0421 KJ5IEL           59  TX    N7A              59   AZ       
QSO:    1957 PH 2026-03-01 0428 KJ5IEL           55  TX    AB6GS            59   WY       
QSO:    1929 PH 2026-03-01 0432 KJ5IEL           59  TX    ND8DX            59   OH       
QSO:    1855 PH 2026-03-01 0436 KJ5IEL           59  TX    WR5O             59   TX       
QSO:    1872 PH 2026-03-01 1139 KJ5IEL           59  TX    N8CWU            59   OH       
QSO:    1834 PH 2026-03-01 1156 KJ5IEL           59  TX    N8OL             59   MI       
END-OF-LOG:
