START-OF-LOG: 3.0
CREATED-BY: FLLOG 1.2.6

# The callsign used during the contest.
CALLSIGN: DL5BCT
CATEGORY: SINGLE-OP ALL LOW

# ASSISTED or NON-ASSISTED

# Band: ALL, 160M, 80M, 40M, 20M, 15M, 10M, 6M, 2M, 222, 432, 902, 1.2G

# Mode: SSB, CW, RTTY, MIXED 

# Operator: SINGLE-OP, MULTI-OP, CHECKLOG 

# Power: HIGH, LOW, QRP 

# Station: FIXED, MOBILE, PORTABLE, ROVER, EXPEDITION, HQ, SCHOOL 

# Time: 6-HOURS, 12-HOURS, 24-HOURS 

# Transmitter: ONE, TWO, LIMITED, UNLIMITED, SWL 

# Overlay: ROOKIE, TB-WIRES, NOVICE-TECH, OVER-50 

# Integer number
CLAIMED-SCORE: 39087

# Name of the radio club with which the score should be aggregated.
CLUB: DARC

CONTEST: EA-RTTY
# ARRL-SS-SSB, ARRL-UHF-AUG, ARRL-VHF-JAN, ARRL-VHF-JUN, ARRL-VHF-SEP,
# ARRL-RTTY, BARTG-RTTY, CQ-160-CW, CQ-160-SSB, CQ-WPX-CW, CQ-WPX-RTTY,
# CQ-WPX-SSB, CQ-VHF, CQ-WW-CW, CQ-WW-RTTY, CQ-WW-SSB, DARC-WAEDC-CW,
# DARC-WAEDC-RTTY, DARC-WAEDC-SSB, FCG-FQP, IARU-HF, JIDX-CW, JIDX-SSB,
# NAQP-CW, NAQP-RTTY, NAQP-SSB, NA-SPRINT-CW, NA-SPRINT-SSB, NCCC-CQP,
# NEQP, OCEANIA-DX-CW, OCEANIA-DX-SSB, RDXC, RSGB-IOTA, SAC-CW, SAC-SSB,
# STEW-PERRY, TARA-RTTY 
CONTEST: EA-RTTY


LOCATION: JN49GA

# Operator name
NAME: PETER CORNELIUS


# A space-delimited list of operator callsign(s). 
OPERATORS: DL5BCT

# Offtime yyyy-mm-dd nnnn yyyy-mm-dd nnnn 
OFFTIME: 2023-04-01 2255 2023-04-02 0515

# Soapbox comments.
SOAPBOX: FLDIGI LOGGING ISSUES BEFORE AND
SOAPBOX: PROGRAM CRASH AT 2023-04-01 1547
SOAPBOX: (I. E. BEFORE INCLUDING SER NO 009)

#SO: QRG   MO DAY        TIME MYCALL        RST SER        CALL          RST SER
QSO:  7058 RY 2023-04-01 2000 DL5BCT        599 049        DL3SYA        599 278
QSO:  7056 RY 2023-04-01 2002 DL5BCT        599 050        YO4NF         599 278
QSO:  7056 RY 2023-04-01 2004 DL5BCT        599 051        IV3UHL        599 172
QSO:  7055 RY 2023-04-01 2005 DL5BCT        599 052        LZ1QV         599 137
QSO:  7055 RY 2023-04-01 2006 DL5BCT        599 053        EE4Y          599 to
QSO:  7055 RY 2023-04-01 2009 DL5BCT        599 054        ED1R          599 av
QSO:  7053 RY 2023-04-01 2013 DL5BCT        599 055        YT5R          599 036
QSO:  7053 RY 2023-04-01 2015 DL5BCT        599 056        EA2ESB        599 te
QSO:  7051 RY 2023-04-01 2017 DL5BCT        599 057        EA4URE        599 hq
QSO:  7051 RY 2023-04-01 2021 DL5BCT        599 058        EA3IAZ        599 gi
QSO:  7050 RY 2023-04-01 2023 DL5BCT        599 059        IZ8JFL        599 247
QSO:  7049 RY 2023-04-01 2029 DL5BCT        599 060        EF5K          599 v
QSO:  3584 RY 2023-04-01 2038 DL5BCT        599 061        IK3SSJ        599 082
QSO:  3586 RY 2023-04-01 2042 DL5BCT        599 062        EA1X          599 c
QSO:  3588 RY 2023-04-01 2043 DL5BCT        599 063        OZ1LFI        599 053
QSO:  3588 RY 2023-04-01 2044 DL5BCT        599 064        S51W          599 083
QSO:  3590 RY 2023-04-01 2047 DL5BCT        599 065        S57ZT         599 224
QSO:  3591 RY 2023-04-01 2053 DL5BCT        599 066        OZ11A         599 346
QSO:  3595 RY 2023-04-01 2057 DL5BCT        599 067        ON5GQ         599 373
QSO:  3595 RY 2023-04-01 2059 DL5BCT        599 068        ED1R          599 av
QSO:  3596 RY 2023-04-01 2104 DL5BCT        599 069        OM1HMI        599 115
QSO:  3597 RY 2023-04-01 2106 DL5BCT        599 070        F5TFW         599 165
QSO:  3601 RY 2023-04-01 2109 DL5BCT        599 071        G0HDV         599 170
QSO:  3604 RY 2023-04-01 2111 DL5BCT        599 072        IU3FBL        599 074
QSO: 14102 RY 2023-04-01 2116 DL5BCT        599 073        W4PK          599 204
QSO: 14101 RY 2023-04-01 2125 DL5BCT        599 074        AI9T          599 239
