START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: PA0AWH
CATEGORY: SINGLE-OP ALL QRP
LOCATION: DX
CLUB:    DIGITAL MODES CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: YAESU-FT817, 5 WATT IN RTTY
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO: 21000 RY 2023-04-01 1203 PA0AWH        599 001        IK8IOO        599 003        
QSO: 21000 RY 2023-04-01 1213 PA0AWH        599 002        SV2AEL        599 008        
QSO: 21000 RY 2023-04-01 1216 PA0AWH        599 003        EA7EQ         599 SE           
QSO: 21000 RY 2023-04-01 1219 PA0AWH        599 004        UA9XL         599 014        
QSO: 21000 RY 2023-04-01 1224 PA0AWH        599 005        AI9T          599 015        
QSO: 21000 RY 2023-04-01 1226 PA0AWH        599 006        AC5XK         599 008        
QSO: 28000 RY 2023-04-01 1233 PA0AWH        599 007        EA8AH         599 GC        
QSO: 28000 RY 2023-04-01 1237 PA0AWH        599 008        RG9A          599 079        
QSO: 28000 RY 2023-04-01 1241 PA0AWH        599 009        EA8AQV        599 GC           
QSO: 14000 RY 2023-04-01 1248 PA0AWH        599 010        EA1CHG        599 ZA
QSO: 14000 RY 2023-04-01 1249 PA0AWH        599 011        EA2ESB        599 TE           
QSO: 14000 RY 2023-04-01 1251 PA0AWH        599 012        EF5K          599 V           
QSO: 14000 RY 2023-04-01 1256 PA0AWH        599 013        DQ9Y          599 040        
QSO: 14000 RY 2023-04-01 1259 PA0AWH        599 014        EW8Z          599 025        
QSO: 14000 RY 2023-04-01 1301 PA0AWH        599 015        VE2RYY        599 046        
QSO: 14000 RY 2023-04-01 1305 PA0AWH        599 016        SV2AEL        599 046        
QSO: 14000 RY 2023-04-01 1308 PA0AWH        599 017        EE1D          599 SO
QSO: 14000 RY 2023-04-01 1317 PA0AWH        599 018        EB1FE         599 O           
QSO: 14000 RY 2023-04-01 1328 PA0AWH        599 019        ED3D          599 GI           
QSO: 14000 RY 2023-04-01 1329 PA0AWH        599 020        LY4BF         599 049        
QSO: 14000 RY 2023-04-01 1331 PA0AWH        599 021        EA4URA        599 M           
QSO: 14000 RY 2023-04-01 1331 PA0AWH        599 022        9A1A          599 110        
QSO: 14000 RY 2023-04-01 1350 PA0AWH        599 023        EF5T          599 MU           
QSO: 14000 RY 2023-04-01 1355 PA0AWH        599 024        SV2BFN        599 092        
QSO: 14000 RY 2023-04-01 1357 PA0AWH        599 025        EE4Y          599 TO           
QSO: 14000 RY 2023-04-01 1400 PA0AWH        599 026        SP4TXI        599 091        
QSO: 14000 RY 2023-04-01 1402 PA0AWH        599 027        EA4URE        599 HQ           
QSO: 14000 RY 2023-04-01 1408 PA0AWH        599 028        IK4RVY        599 069        
QSO: 14000 RY 2023-04-01 1411 PA0AWH        599 029        EA2CCG        599 NA           
QSO: 14000 RY 2023-04-01 1414 PA0AWH        599 030        EA3CS         599 B           
QSO: 14000 RY 2023-04-01 1417 PA0AWH        599 031        LY1R          599 063        
QSO: 14000 RY 2023-04-01 1420 PA0AWH        599 032        R9FE          599 046        
QSO: 14000 RY 2023-04-01 1425 PA0AWH        599 033        IT9MRM/QRP    599 032        
QSO: 14000 RY 2023-04-01 1427 PA0AWH        599 034        EA1X          599 C           
QSO: 14000 RY 2023-04-01 1429 PA0AWH        599 035        ED7B          599 CO           
QSO: 14000 RY 2023-04-01 1431 PA0AWH        599 036        IT9ATF        599 157        
QSO: 14000 RY 2023-04-01 1432 PA0AWH        599 037        EA4Z          599 M           
QSO: 14000 RY 2023-04-01 1443 PA0AWH        599 038        SV8DCY        599 096        
QSO: 14000 RY 2023-04-01 1445 PA0AWH        599 039        EA1B          599 S           
QSO: 14000 RY 2023-04-01 1447 PA0AWH        599 040        YT3X          599 194        
QSO: 14000 RY 2023-04-01 1450 PA0AWH        599 041        HG5D          599 191        
QSO: 14000 RY 2023-04-01 1454 PA0AWH        599 042        EA2BFM        599 BI           
QSO: 14000 RY 2023-04-01 1456 PA0AWH        599 043        S56EM         599 055        
QSO: 14000 RY 2023-04-01 1459 PA0AWH        599 044        EE4Y          599 TO           
QSO: 14000 RY 2023-04-01 1500 PA0AWH        599 045        I1NVU         599 059        
QSO: 14000 RY 2023-04-01 1501 PA0AWH        599 046        HA3MGA        599 058        
QSO: 21000 RY 2023-04-01 1507 PA0AWH        599 047        EA7HAB        599 GR           
QSO: 21000 RY 2023-04-01 1511 PA0AWH        599 048        LZ6E          599 174        
QSO: 21000 RY 2023-04-01 1516 PA0AWH        599 049        Z33B          599 110        
QSO: 14000 RY 2023-04-01 1539 PA0AWH        599 050        UC6N          599 121        
QSO: 14000 RY 2023-04-01 1543 PA0AWH        599 051        EA7K          599 SE           
QSO: 14000 RY 2023-04-01 1546 PA0AWH        599 052        R6BH          599 088        
QSO:  3500 RY 2023-04-02 0311 PA0AWH        599 053        EF1T          599 LU           
QSO:  3500 RY 2023-04-02 0315 PA0AWH        599 054        HA3OU         599 157        
QSO:  3500 RY 2023-04-02 0327 PA0AWH        599 055        EF5K          599 V           
QSO:  7000 RY 2023-04-02 0330 PA0AWH        599 056        EA4URE        599 HQ           
QSO:  7000 RY 2023-04-02 0332 PA0AWH        599 057        Z39A          599 173        
QSO:  7000 RY 2023-04-02 0333 PA0AWH        599 058        ED1B          599 O           
QSO:  7000 RY 2023-04-02 0340 PA0AWH        599 059        ED1R          599 AV           
QSO:  7000 RY 2023-04-02 0342 PA0AWH        599 060        R7MM          599 395        
QSO:  3500 RY 2023-04-02 0348 PA0AWH        599 061        EA4URE        599 HQ           
QSO:  3500 RY 2023-04-02 0350 PA0AWH        599 062        9A1A          599 273        
QSO:  3500 RY 2023-04-02 0355 PA0AWH        599 063        ED1R          599 AV           
QSO:  3500 RY 2023-04-02 0359 PA0AWH        599 064        DL1ZBO        599 183        
QSO:  3500 RY 2023-04-02 0405 PA0AWH        599 065        LZ6E          599 502        
QSO:  3500 RY 2023-04-02 0411 PA0AWH        599 066        IV3UHL        599 259        
QSO:  3500 RY 2023-04-02 0413 PA0AWH        599 067        IK4QJF        599 194        
QSO:  3500 RY 2023-04-02 0417 PA0AWH        599 068        ED1B          599 O           
QSO:  3500 RY 2023-04-02 0422 PA0AWH        599 069        DJ4WM         599 078        
QSO:  3500 RY 2023-04-02 0423 PA0AWH        599 070        9A1HBC        599 452        
QSO:  3500 RY 2023-04-02 0425 PA0AWH        599 071        S51W          599 180        
QSO:  3500 RY 2023-04-02 0427 PA0AWH        599 072        IZ0KBR        599 079        
QSO:  7000 RY 2023-04-02 0438 PA0AWH        599 073        EA3X          599 B           
QSO:  7000 RY 2023-04-02 0441 PA0AWH        599 074        YO4DG         599 279        
QSO:  7000 RY 2023-04-02 0443 PA0AWH        599 075        9A1HBC        599 460        
QSO:  7000 RY 2023-04-02 0447 PA0AWH        599 076        7S9A          599 244        
QSO:  3500 RY 2023-04-02 0451 PA0AWH        599 077        EA2DLX        599 BI           
QSO:  3500 RY 2023-04-02 0452 PA0AWH        599 078        EA3F          599 L           
QSO:  3500 RY 2023-04-02 0508 PA0AWH        599 079        EE1D          599 SO           
QSO:  3500 RY 2023-04-02 0512 PA0AWH        599 080        DH8WR         599 185        
QSO:  7000 RY 2023-04-02 0646 PA0AWH        599 081        IZ2BVC        599 198        
QSO:  7000 RY 2023-04-02 0647 PA0AWH        599 082        G0HDV         599 270        
QSO:  7000 RY 2023-04-02 0648 PA0AWH        599 083        ON4CT         599 036        
QSO:  7000 RY 2023-04-02 0654 PA0AWH        599 084        9A1A          599 534        
QSO:  7000 RY 2023-04-02 0656 PA0AWH        599 085        OK2HBR        599 242        
QSO:  7000 RY 2023-04-02 0658 PA0AWH        599 086        DL4ME         599 128        
QSO:  7000 RY 2023-04-02 0700 PA0AWH        599 087        EA2BFM        599 BI           
QSO: 14000 RY 2023-04-02 0711 PA0AWH        599 088        HA0MS         599 114        
QSO: 14000 RY 2023-04-02 0714 PA0AWH        599 089        LZ6E          599 604        
QSO: 14000 RY 2023-04-02 0721 PA0AWH        599 090        SV1BJW        599 419        
QSO: 14000 RY 2023-04-02 0723 PA0AWH        599 091        RG9A          599 883        
QSO: 21000 RY 2023-04-02 0728 PA0AWH        599 092        EA4URE        599 HQ           
QSO:  7000 RY 2023-04-02 0733 PA0AWH        599 093        ON5GQ         599 483        
QSO:  7000 RY 2023-04-02 0735 PA0AWH        599 094        EI6IKB        599 266        
QSO:  7000 RY 2023-04-02 0739 PA0AWH        599 095        PA4GDR        599 087        
QSO:  7000 RY 2023-04-02 0742 PA0AWH        599 096        EA4URA        599 M           
QSO:  7000 RY 2023-04-02 0745 PA0AWH        599 097        S51CK         599 357        
QSO:  7000 RY 2023-04-02 0746 PA0AWH        599 098        DM5WH         599 165        
QSO:  7000 RY 2023-04-02 0747 PA0AWH        599 099        PI4VPO        599 082        
QSO:  7000 RY 2023-04-02 0749 PA0AWH        599 100        PG5V          599 029        
QSO:  7000 RY 2023-04-02 0750 PA0AWH        599 101        DL3SYA        599 510        
QSO:  7000 RY 2023-04-02 0751 PA0AWH        599 102        ON6YYY        599 256        
QSO:  7000 RY 2023-04-02 0754 PA0AWH        599 103        DM6WAN        599 127        
END-OF-LOG:
