START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: AA5UN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AA5UN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2022.
QSO: 28015 CW 2022-07-09 1513 AA5UN         599 08 PY2XL         599 15
QSO: 28012 CW 2022-07-09 1546 AA5UN         599 08 K8AZ          599 8
QSO: 28000 CW 2022-07-09 1548 AA5UN         599 07 W1WEF         599 08
QSO: 21004 CW 2022-07-09 1556 AA5UN         599 08 WC7Q          599 06
QSO: 21004 CW 2022-07-09 1558 AA5UN         599 08 W0UA          599 07
QSO: 21008 CW 2022-07-09 1600 AA5UN         599 08 CR3DX         599 36
QSO: 21000 CW 2022-07-09 1816 AA5UN         599 8 VY2EJ         599 9
QSO: 21009 CW 2022-07-09 1827 AA5UN         599 08 N6TV          599 6
QSO: 21016 CW 2022-07-09 1833 AA5UN         599 08 TM0HQ         599 REF
QSO: 21018 CW 2022-07-09 1834 AA5UN         599 08 YT0HQ         599 SRS
QSO: 21025 CW 2022-07-09 1849 AA5UN         599 08 HG0HQ         599 MRASZ
QSO: 21029 CW 2022-07-09 1855 AA5UN         599 08 R6HQ          599 SRR
QSO: 21003 CW 2022-07-09 1908 AA5UN         599 08 LZ0HQ         599 BFRA
QSO: 21005 CW 2022-07-09 1910 AA5UN         599 08 K1ZZ          599 08
QSO: 21005 CW 2022-07-09 1911 AA5UN         599 8 S57K          599 28
QSO: 21019 CW 2022-07-09 1921 AA5UN         599 08 GR2HQ         599 RSGB
QSO: 21000 CW 2022-07-09 1930 AA5UN         599 08 TI2OY         599 11
QSO: 21000 CW 2022-07-09 1945 AA5UN         599 08 9A0HQ         599 HRS
QSO: 21051 CW 2022-07-09 1959 AA5UN         599 08 WP3C          599 11
QSO: 21000 CW 2022-07-09 2017 AA5UN         599 07 YT5N          599 28
QSO: 21005 CW 2022-07-09 2020 AA5UN         599 07 HB0HQ         599 AFVL
QSO: 14001 CW 2022-07-09 2037 AA5UN         599 08 NP2X          599 11
QSO: 14001 CW 2022-07-09 2038 AA5UN         599 08 K4OAQ         599 08
QSO: 14006 CW 2022-07-09 2047 AA5UN         599 08 W1AW          599 ARRL
QSO: 14010 CW 2022-07-09 2052 AA5UN         599 08 K1IMI         599 08
QSO: 14012 CW 2022-07-09 2053 AA5UN         599 07 EF4HQ         599 URE
QSO: 14020 CW 2022-07-09 2101 AA5UN         599 08 N1RM          599 08
QSO: 14023 CW 2022-07-09 2102 AA5UN         599 07 K5WA          599 07
QSO: 14029 CW 2022-07-09 2107 AA5UN         599 08 TM0HQ         599 REF
QSO: 14031 CW 2022-07-09 2110 AA5UN         599 08 SN7Q          599 28
QSO: 14035 CW 2022-07-09 2115 AA5UN         599 07 W5ZN          599 AC
QSO: 14038 CW 2022-07-09 2118 AA5UN         599 08 N3QE          599 08
QSO: 14041 CW 2022-07-09 2119 AA5UN         599 08 K1ZZ          599 08
QSO: 14045 CW 2022-07-09 2121 AA5UN         599 8 WI9WI         599 7
QSO: 14046 CW 2022-07-09 2125 AA5UN         599 08 N2AA          599 8
QSO: 14052 CW 2022-07-09 2128 AA5UN         599 08 EA8RM         599 36
QSO: 14054 CW 2022-07-09 2129 AA5UN         599 08 S57DX         599 28
QSO: 14056 CW 2022-07-09 2130 AA5UN         599 08 N3AM          599 08
QSO: 14062 CW 2022-07-09 2132 AA5UN         599 08 W4PM          599 08
QSO: 14073 CW 2022-07-09 2133 AA5UN         599 08 WK2G          599 08
QSO: 14002 CW 2022-07-09 2136 AA5UN         599 08 K3JO          599 8
QSO: 14014 CW 2022-07-09 2210 AA5UN         599 07 C4HQ          599 CARS
QSO: 14012 CW 2022-07-09 2212 AA5UN         599 08 DM5W          599 28
QSO: 14012 CW 2022-07-09 2213 AA5UN         599 08 S50HQ         599 ZRS
QSO: 14010 CW 2022-07-09 2214 AA5UN         599 08 IY3A          599 28
QSO: 14007 CW 2022-07-09 2217 AA5UN         599 07 N5OT          599 07
QSO: 14009 CW 2022-07-09 2217 AA5UN         599 08 VX3AT         599 04
QSO: 21045 CW 2022-07-09 2220 AA5UN         599 07 NH6V          599 61
QSO: 21024 CW 2022-07-09 2222 AA5UN         599 08 CX1AA         599 RCU
QSO: 21027 CW 2022-07-09 2225 AA5UN         599 08 NP2X          599 11
QSO: 21022 CW 2022-07-09 2229 AA5UN         599 08 9A7T          599 28
QSO: 21020 CW 2022-07-09 2231 AA5UN         599 7 IR4M          599 28
QSO: 21015 CW 2022-07-09 2233 AA5UN         599 08 W1KM          599 08
QSO: 21003 CW 2022-07-09 2237 AA5UN         599 08 LZ0HQ         599 BFRA
QSO: 21002 CW 2022-07-09 2238 AA5UN         599 08 LN2HQ         599 NRRL
QSO: 21010 CW 2022-07-09 2240 AA5UN         599 08 N9NC          599 8
QSO: 21014 CW 2022-07-09 2241 AA5UN         599 8 YR0HQ         599 FRR
QSO: 21018 CW 2022-07-09 2243 AA5UN         599 08 OM2HQ         599 SARA
QSO: 21029 CW 2022-07-09 2245 AA5UN         599 07 KT7E          599 06
QSO: 21033 CW 2022-07-09 2251 AA5UN         599 08 W6SX          599 06
QSO: 21035 CW 2022-07-09 2300 AA5UN         599 07 A47HQ         599 ROARS
QSO: 21012 CW 2022-07-09 2301 AA5UN         599 07 XR3W          599 14
QSO: 21024 CW 2022-07-09 2304 AA5UN         599 8 KH6ND         599 6
QSO: 21031 CW 2022-07-09 2306 AA5UN         599 08 HG5D          599 28
QSO: 21039 CW 2022-07-09 2309 AA5UN         599 08 PA6HQ         599 VERON
QSO: 21041 CW 2022-07-09 2310 AA5UN         599 08 YT6X          599 28
QSO: 21044 CW 2022-07-09 2318 AA5UN         599 07 YV4ABR        599 12
QSO: 28010 CW 2022-07-09 2322 AA5UN         599 08 GR2HQ         599 RSGB
QSO: 28019 CW 2022-07-09 2324 AA5UN         599 08 S50HQ         599 ZRS
QSO: 28022 CW 2022-07-09 2326 AA5UN         599 08 YT0HQ         599 SRS
QSO: 28025 CW 2022-07-09 2328 AA5UN         599 08 E7HQ          599 BA
QSO: 28032 CW 2022-07-09 2329 AA5UN         599 08 DA0HQ         599 DARC
QSO: 28034 CW 2022-07-09 2330 AA5UN         599 08 NP2X          599 11
QSO: 28044 CW 2022-07-09 2331 AA5UN         599 08 TM0HQ         599 REF
QSO: 21048 CW 2022-07-09 2338 AA5UN         599 08 S50HQ         599 ZRS
QSO: 21037 CW 2022-07-09 2340 AA5UN         599 08 IR4X          599 28
QSO: 21000 CW 2022-07-09 2341 AA5UN         599 08 9A0HQ         599 HRS
QSO: 21030 CW 2022-07-09 2344 AA5UN         599 08 MD2C          599 27
QSO: 21028 CW 2022-07-09 2345 AA5UN         599 08 N9RV          599 6
QSO: 21000 CW 2022-07-09 2348 AA5UN         599 7 IZ8EFD        599 28
QSO: 14000 CW 2022-07-10 0002 AA5UN         599 08 DL3JAN        599 28
QSO:  7021 CW 2022-07-10 0013 AA5UN         599 07 4U1UN         599 08
QSO: 14006 CW 2022-07-10 0025 AA5UN         599 07 PX2HQ         599 LABRE
QSO: 14009 CW 2022-07-10 0028 AA5UN         599 08 K4RO          599 08
QSO: 14010 CW 2022-07-10 0029 AA5UN         599 8 W6YX          599 06
QSO: 14012 CW 2022-07-10 0029 AA5UN         599 08 S50HQ         599 ZRS
QSO: 14016 CW 2022-07-10 0031 AA5UN         599 07 K0MD          599 07
QSO: 14017 CW 2022-07-10 0034 AA5UN         599 8 YR0HQ         599 FRR
QSO: 14018 CW 2022-07-10 0037 AA5UN         599 07 K9MMS         599 8
QSO: 14020 CW 2022-07-10 0042 AA5UN         599 08 LZ0HQ         599 BFRA
QSO: 14021 CW 2022-07-10 0043 AA5UN         599 07 OE0HQ         599 OV
QSO: 14000 CW 2022-07-10 0044 AA5UN         599 08 SN0HQ         599 PZK
QSO: 14025 CW 2022-07-10 0048 AA5UN         599 08 OP0HQ         599 UBA
QSO: 14026 CW 2022-07-10 0050 AA5UN         599 08 YT0HQ         599 SRS
QSO: 14000 CW 2022-07-10 0059 AA5UN         599 08 9A0HQ         599 HRS
QSO: 14032 CW 2022-07-10 0101 AA5UN         599 08 DA0HQ         599 DARC
QSO: 14033 CW 2022-07-10 0103 AA5UN         599 08 EU2F          599 29
QSO: 14035 CW 2022-07-10 0105 AA5UN         599 08 OM2HQ         599 SARA
QSO: 14038 CW 2022-07-10 0106 AA5UN         599 8 RA3AN         599 29
QSO: 14040 CW 2022-07-10 0107 AA5UN         599 08 IR2Q          599 28
QSO: 14045 CW 2022-07-10 0115 AA5UN         599 08 EA2W          599 37
