START-OF-LOG: 3.0
CALLSIGN: VE7BGP
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 20367
NAME: Gerry Pement
LOCATION: BC
OPERATORS: VE7BGP
CLUB: Nanaimo Amateur Radio Association
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: I had a lot of fun operating this Contest again.this year. I
SOAPBOX: mostly used my venerable old IC-751A radio. 73 Gerry
QSO: 14030 CW 2017-11-25 0034 VE7BGP        599 3      KL0R          599 01
QSO: 14000 CW 2017-11-25 0039 VE7BGP        599 3      JA3YBK        599 25
QSO: 14026 CW 2017-11-25 0043 VE7BGP        599 3      KH7D          599 31
QSO: 14022 CW 2017-11-25 0049 VE7BGP        599 3      BG4AHK        599 24
QSO: 14019 CW 2017-11-25 0053 VE7BGP        599 3      RT0C          599 19
QSO: 14016 CW 2017-11-25 0058 VE7BGP        599 3      RM0F          599 19
QSO:  7013 CW 2017-11-25 0339 VE7BGP        599 3      KE2VB         599 03
QSO:  7025 CW 2017-11-25 0343 VE7BGP        599 3      WX0B          599 04
QSO:  7041 CW 2017-11-25 0350 VE7BGP        599 3      PJ2T          599 09
QSO:  3503 CW 2017-11-25 0409 VE7BGP        599 3      KH6J          599 31
QSO:  3500 CW 2017-11-25 0440 VE7BGP        599 3      K3LR          599 05
QSO:  3518 CW 2017-11-25 0450 VE7BGP        599 3      K9CT          599 04
QSO:  7016 CW 2017-11-25 0552 VE7BGP        599 3      K6LL          599 03
QSO:  7048 CW 2017-11-25 0622 VE7BGP        599 3      K5TR          599 04
QSO:  7047 CW 2017-11-25 0623 VE7BGP        599 3      KH6J          599 31
QSO:  3509 CW 2017-11-25 0646 VE7BGP        599 3      K2LE          599 05
QSO:  3517 CW 2017-11-25 0659 VE7BGP        599 3      N7AT          599 03
QSO:  3522 CW 2017-11-25 0708 VE7BGP        599 3      NA8V          599 04
QSO:  3532 CW 2017-11-25 0726 VE7BGP        599 3      KH7M          599 31
QSO:  3528 CW 2017-11-25 0736 VE7BGP        599 3      XE2ST         599 06
QSO:  7020 CW 2017-11-25 0739 VE7BGP        599 3      N5RO          599 04
QSO:  7019 CW 2017-11-25 0740 VE7BGP        599 3      JA7ZFN        599 25
QSO:  7013 CW 2017-11-25 0746 VE7BGP        599 3      NR5M          599 04
QSO:  7008 CW 2017-11-25 0749 VE7BGP        599 3      HQ9X          599 07
QSO:  7005 CW 2017-11-25 0755 VE7BGP        599 3      N7AT          599 03
QSO: 14006 CW 2017-11-25 1618 VE7BGP        599 3      M6T           599 14
QSO: 14012 CW 2017-11-25 1906 VE7BGP        599 3      VE3EJ         599 04
QSO: 14007 CW 2017-11-25 1914 VE7BGP        599 3      PJ4Y          599 09
